ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,195.33,195.75,195.225,195.71,19872.363091,3884506.45601442
1784043600000,2026-07-14T15:40:00Z,195.98,195.98,194.5,194.5,42455.462861,8289233.82848109
1784043900000,2026-07-14T15:45:00Z,193.7,194.541,193.7,194,31699.390171,6156050.10065935
1784044200000,2026-07-14T15:50:00Z,192.81,193.899,192.49,192.72,67654.72873,13046943.81666558
1784044500000,2026-07-14T15:55:00Z,193,193.886,192.532,193.495,36083.856187,6972681.99222304
1784044800000,2026-07-14T16:00:00Z,193.67,194.043,193.311,193.63,12545.706952999999,2429600.35394728
1784045100000,2026-07-14T16:05:00Z,194.38,194.448,193.35,194,28504.597713,5535889.32368082
1784045400000,2026-07-14T16:10:00Z,193.545,193.909,193.5,193.68,9825.796731,1903542.75747957
1784045700000,2026-07-14T16:15:00Z,193.695,193.876,193.53,193.53,17447.040762000004,3380704.36493236
1784046000000,2026-07-14T16:20:00Z,193.33,193.944,193.04,193.37,41698.614306,8070916.9139378
1784046300000,2026-07-14T16:25:00Z,193.46,193.805,193.093,193.805,19580.403045,3787717.36075789
1784046600000,2026-07-14T16:30:00Z,193.73,193.87,193.33,193.51,19553.476916,3785695.87131909
1784046900000,2026-07-14T16:35:00Z,193.47,194.39,193.459,194.39,8629.201567,1671207.97535917
1784047200000,2026-07-14T16:40:00Z,194.65,194.795,194.108,194.66,2169.147502,422020.66139911
1784047500000,2026-07-14T16:45:00Z,194.89,195.1,194.621,195,455.162324,88634.26003108
1784047800000,2026-07-14T16:50:00Z,194.91,195.71,194.91,195.41,4524.625,884799.468
1784048100000,2026-07-14T16:55:00Z,194.99,195.507,194.613,195,44743.122976,8727678.57963221
1784048400000,2026-07-14T17:00:00Z,195.25,195.346,195.135,195.135,14966.263266,2922068.61522792
1784048700000,2026-07-14T17:05:00Z,194.9,195.32,194.865,195,20471.630687,3995366.27465904
1784049000000,2026-07-14T17:10:00Z,195.19,195.233,194.47,195.01,30111.781805,5866503.80073368
1784049300000,2026-07-14T17:15:00Z,195.28,195.56,194.82,195.46,21933.251446000002,4281813.73393841
1784049600000,2026-07-14T17:20:00Z,195.6,196.075,195.342,195.89,35605.247194999996,6966657.96611304
1784049900000,2026-07-14T17:25:00Z,195.91,198.99,195.717,197.26,71528.234784,14087721.88388359
1784050200000,2026-07-14T17:30:00Z,197.72,197.752,196,196.07,22422.931049,4420627.04127583
1784050500000,2026-07-14T17:35:00Z,196.21,197.311,196,196.985,23959.397343,4711704.13727112
1784050800000,2026-07-14T17:40:00Z,196.79,197.55,196.483,197,35418.796349,6971453.35033659
1784051100000,2026-07-14T17:45:00Z,196.61,197.06,196.388,196.48,14237.152572,2800799.56858093
1784051400000,2026-07-14T17:50:00Z,197.01,198.59,196.675,198.59,23346.775445,4608772.54139777
1784051700000,2026-07-14T17:55:00Z,198.57,199.209,198.393,198.55,53655.192324,10659843.39010528
1784052000000,2026-07-14T18:00:00Z,198.455,198.94,197.611,198.21,74280.244111,14740795.59543737
1784052300000,2026-07-14T18:05:00Z,198.01,198.18,197.485,197.91,31323.200532,6195321.86362268
1784052600000,2026-07-14T18:10:00Z,198.16,198.31,197.586,197.825,17659.794318,3496430.88939105
1784052900000,2026-07-14T18:15:00Z,197.75,197.95,196.723,197.37,26154.271950000002,5164124.38054677
1784053200000,2026-07-14T18:20:00Z,196.89,197.028,196.08,196.08,17002.99486,3343326.08411358
1784053500000,2026-07-14T18:25:00Z,196.215,196.561,196.093,196.44,39072.019336000005,7668833.24475987
1784053800000,2026-07-14T18:30:00Z,196.58,196.902,196.157,196.355,22689.136115,4459837.85543191
1784054100000,2026-07-14T18:35:00Z,196.36,196.4,195.8,195.8,13774.422477000002,2700591.23176466
1784054400000,2026-07-14T18:40:00Z,195.895,195.991,195.4,195.64,29593.947533,5793595.2709564
1784054700000,2026-07-14T18:45:00Z,195.43,196.4,195.43,196.295,23572.425810000004,4614219.84881717
1784055000000,2026-07-14T18:50:00Z,195.99,196.917,195.96,196.625,16944.54172,3325488.31325038
1784055300000,2026-07-14T18:55:00Z,196.76,197.04,196.673,196.76,16508.294710000002,3249986.32872823
1784055600000,2026-07-14T19:00:00Z,196.51,197.819,196.27,197.175,49118.772706,9664108.70615096
1784055900000,2026-07-14T19:05:00Z,197.075,198.752,196.929,198.555,37283.525526,7378212.09891011
1784056200000,2026-07-14T19:10:00Z,198.03,198.75,197.827,198.57,27417.091813,5438887.52207733
1784056500000,2026-07-14T19:15:00Z,198.49,198.679,198.166,198.53,6881.031389,1365233.09704396
1784056800000,2026-07-14T19:20:00Z,199,201.29,198.602,201.29,132734.736687,26531231.54457626
1784057100000,2026-07-14T19:25:00Z,201.48,202.74,200.363,202.515,101052.831971,20368421.0230219
1784057400000,2026-07-14T19:30:00Z,202.2,202.7,201.301,202.625,71301.560207,14410544.42875615
1784057700000,2026-07-14T19:35:00Z,202.71,203.225,202.592,202.72,47158.330965,9568208.42447606
1784058000000,2026-07-14T19:40:00Z,202.84,202.99,202.222,202.99,42687.892134,8648020.54132908
1784058300000,2026-07-14T19:45:00Z,203,204.637,202.7,204.53,68350.81811,13946143.72028275
1784058600000,2026-07-14T19:50:00Z,204.2,204.617,202.26,202.285,97915.291511,19883452.6250266
1784058900000,2026-07-14T19:55:00Z,202.5,204.055,202.281,203.83,218931.09239399998,44506852.06252409
1784059200000,2026-07-14T20:00:00Z,203.849,203.86,202.725,203.13,173410.679287,35345795.86809928
1784059500000,2026-07-14T20:05:00Z,203.13,203.13,203,203,1257,255287.6496
1784059800000,2026-07-14T20:10:00Z,203,203.425,203,203,2692.4131319999997,547033.46126592
1784060100000,2026-07-14T20:15:00Z,203,203.44,203,203.44,777,157991.9943
1784060400000,2026-07-14T20:20:00Z,203.438,203.438,202.565,202.995,1009,204903.9867
1784060700000,2026-07-14T20:25:00Z,202.995,203.1,202.995,203.1,492.093643,99937.57562912
1784061000000,2026-07-14T20:30:00Z,203.1,203.225,203.1,203.225,365,74157.342
1784061300000,2026-07-14T20:35:00Z,203.225,203.574,203.225,203.574,1328.068964,270079.42469145
1784061600000,2026-07-14T20:40:00Z,203.575,203.575,203.375,203.375,1188,241612.8264
1784061900000,2026-07-14T20:45:00Z,203.375,203.375,203.375,203.375,375,76265.625
1784062200000,2026-07-14T20:50:00Z,203.375,203.375,203.375,203.375,85,17286.875
1784062500000,2026-07-14T20:55:00Z,203.375,203.375,203.375,203.375,209.33609,42573.72730375
1784062800000,2026-07-14T21:00:00Z,203.375,203.375,203.375,203.375,391,79519.625
1784063100000,2026-07-14T21:05:00Z,203.375,203.375,203.375,203.375,1113,226356.375
1784063400000,2026-07-14T21:10:00Z,203.375,203.375,203.375,203.375,254,51657.25
1784063700000,2026-07-14T21:15:00Z,203.325,203.325,203.05,203.05,505,102540.25
1784064000000,2026-07-14T21:20:00Z,203.05,203.24,203.05,203.24,4037,819712.85
1784064300000,2026-07-14T21:25:00Z,203.283,203.594,203.283,203.594,292,59421.8248
1784064600000,2026-07-14T21:30:00Z,203.595,203.595,203.595,203.595,141,28706.895
1784064900000,2026-07-14T21:35:00Z,203.595,203.595,203.595,203.595,270,54970.65
1784065200000,2026-07-14T21:40:00Z,203.595,203.595,203.595,203.595,151,30742.845
1784065500000,2026-07-14T21:45:00Z,203.595,203.595,203.595,203.595,298,60671.31
1784065800000,2026-07-14T21:50:00Z,203.595,203.595,203.595,203.595,68,13844.46
1784066100000,2026-07-14T21:55:00Z,203.595,203.595,203.595,203.595,575.97884,117266.4119298
1784066400000,2026-07-14T22:00:00Z,203.595,203.595,203.427,203.55,1660,337953.922
1784066700000,2026-07-14T22:05:00Z,203.55,203.55,203.55,203.55,98,19947.9
1784067000000,2026-07-14T22:10:00Z,203.55,203.55,203.55,203.55,376,76534.8
1784067300000,2026-07-14T22:15:00Z,203.33,203.55,203.33,203.33,277,56383.35
1784067600000,2026-07-14T22:20:00Z,203.55,203.55,203.55,203.55,1094,222683.7
1784067900000,2026-07-14T22:25:00Z,203.55,203.55,203.469,203.495,268,54537.3032
1784068200000,2026-07-14T22:30:00Z,203.495,203.594,203.495,203.594,491,99926.5524
1784068500000,2026-07-14T22:35:00Z,203.595,203.595,203.595,203.595,95,19341.525
1784068800000,2026-07-14T22:40:00Z,203.595,203.595,203.595,203.595,26,5293.47
1784069100000,2026-07-14T22:45:00Z,203.595,203.719,203.595,203.719,229,46626.5755
1784069400000,2026-07-14T22:50:00Z,203.72,203.72,203.72,203.72,11,2240.92
1784069700000,2026-07-14T22:55:00Z,203.74,203.915,203.74,203.915,169,34452.2555
1784070000000,2026-07-14T23:00:00Z,203.915,203.915,203.915,203.915,512,104404.48
1784070300000,2026-07-14T23:05:00Z,203.915,203.915,203.915,203.915,1290,263050.35
1784070600000,2026-07-14T23:10:00Z,203.915,203.915,203.915,203.915,260,53017.9
1784070900000,2026-07-14T23:15:00Z,203.915,203.915,203.915,203.915,260,53017.9
1784071200000,2026-07-14T23:20:00Z,203.915,203.915,203.915,203.915,108,22022.82
1784071500000,2026-07-14T23:25:00Z,203.915,203.915,203.915,203.915,88,17944.52
1784071800000,2026-07-14T23:30:00Z,203.915,204.124,203.915,204.124,265,54082.79
1784072100000,2026-07-14T23:35:00Z,204.147,204.26,203.876,203.876,1844,376452.0468
1784072400000,2026-07-14T23:40:00Z,203.875,203.875,203.875,203.875,283,57696.625
1784072700000,2026-07-14T23:45:00Z,203.875,204.062,203.875,204.062,83,16922.2973
1784073000000,2026-07-14T23:50:00Z,204.063,204.065,203.85,203.85,219,44656.4871
1784073300000,2026-07-14T23:55:00Z,203.85,203.85,203.631,203.631,291,59280.1629
1784073600000,2026-07-15T00:00:00Z,204.15,204.43,202.9,203.28,249,50790.7
1784073900000,2026-07-15T00:05:00Z,203.35,203.35,202.62,202.98,201,40806.63
1784074200000,2026-07-15T00:10:00Z,202.67,203.44,202.67,203.44,136,27622.7
1784074500000,2026-07-15T00:15:00Z,203.42,203.44,203.42,203.43,32,6509.67
1784074800000,2026-07-15T00:20:00Z,203.43,203.43,203.43,203.43,24,4882.32
1784075400000,2026-07-15T00:30:00Z,203.45,203.73,202.76,202.83,259,52569.89
1784075700000,2026-07-15T00:35:00Z,202.01,202.11,202.01,202.11,15,3030.65
1784076000000,2026-07-15T00:40:00Z,201.14,201.14,201.14,201.14,3,603.42
1784076300000,2026-07-15T00:45:00Z,201.79,202.08,201.77,202.04,320,64617.68
1784076600000,2026-07-15T00:50:00Z,201.99,201.99,201.99,201.99,12,2423.88
1784076900000,2026-07-15T00:55:00Z,202.48,202.5,202.48,202.5,9,1822.43
1784077200000,2026-07-15T01:00:00Z,202.5,203.23,202,202.2,1008,204129.49
1784077500000,2026-07-15T01:05:00Z,202.52,202.52,202.31,202.31,7,1416.73
1784077800000,2026-07-15T01:10:00Z,202.51,202.58,202.01,202.13,44,8895.47
1784078700000,2026-07-15T01:25:00Z,202.82,202.95,202.67,202.95,314,63688.94
1784079000000,2026-07-15T01:30:00Z,202.85,202.85,202.85,202.85,10,2028.5
1784079300000,2026-07-15T01:35:00Z,202.84,202.84,202.83,202.83,89,18052.56
1784079600000,2026-07-15T01:40:00Z,202.87,203,202.83,202.83,31,6288.6
1784079900000,2026-07-15T01:45:00Z,202.81,202.81,202.81,202.81,5,1014.05
1784080500000,2026-07-15T01:55:00Z,203.25,203.25,203.25,203.25,23,4674.75
1784080800000,2026-07-15T02:00:00Z,203.37,204.1,203.37,204,4888,996937.49
1784081100000,2026-07-15T02:05:00Z,203.82,203.82,203.82,203.82,1,203.82
1784081700000,2026-07-15T02:15:00Z,203.39,203.44,203.39,203.44,11,2237.34
1784082300000,2026-07-15T02:25:00Z,203.61,203.61,203.61,203.61,52,10587.72
1784082600000,2026-07-15T02:30:00Z,203.73,203.78,203.73,203.78,2,407.51
1784082900000,2026-07-15T02:35:00Z,203.53,203.53,203.49,203.49,107,21777.49
1784083200000,2026-07-15T02:40:00Z,203.51,203.8,203.51,203.8,301,61313.8
1784083500000,2026-07-15T02:45:00Z,204.01,204.02,204.01,204.02,20,4080.35
1784083800000,2026-07-15T02:50:00Z,204,204,204,204,3,612
1784084100000,2026-07-15T02:55:00Z,204.02,204.02,204.01,204.01,12,2448.18
1784084400000,2026-07-15T03:00:00Z,203.98,203.98,203.98,203.98,5,1019.9
1784085000000,2026-07-15T03:10:00Z,204.06,204.06,204.04,204.04,210,42851.5
1784085300000,2026-07-15T03:15:00Z,204.17,204.41,204.17,204.41,290,59253.98
1784085600000,2026-07-15T03:20:00Z,203.76,203.76,203.44,203.44,136,27672.53
1784085900000,2026-07-15T03:25:00Z,203.98,203.98,203.98,203.98,12,2447.76
1784086200000,2026-07-15T03:30:00Z,203.79,204.01,203.79,204.01,99,20187.09
1784086500000,2026-07-15T03:35:00Z,204,204.01,204,204.01,143,29172.43
1784087100000,2026-07-15T03:45:00Z,203.98,203.99,203.98,203.99,140,28557.6
1784087700000,2026-07-15T03:55:00Z,204.1,204.1,204.06,204.06,140,28572.4
1784088000000,2026-07-15T04:00:00Z,204.34,204.61,204.34,204.42,1134,231833.4
1784088300000,2026-07-15T04:05:00Z,204.61,204.69,204.6,204.68,180,36837.38
1784088600000,2026-07-15T04:10:00Z,204.81,204.81,204.81,204.81,50,10240.5
1784088900000,2026-07-15T04:15:00Z,204.82,204.9,204.82,204.9,14,2868.44
1784089200000,2026-07-15T04:20:00Z,204.89,205.51,204.89,205.51,195,39994.1
1784089500000,2026-07-15T04:25:00Z,205.5,205.5,205.5,205.5,20,4110
1784090100000,2026-07-15T04:35:00Z,205.49,205.49,205.47,205.47,7,1438.33
1784090400000,2026-07-15T04:40:00Z,205.55,205.55,205.55,205.55,14,2877.7
1784090700000,2026-07-15T04:45:00Z,205.61,205.61,205.6,205.6,145,29812.46
1784091000000,2026-07-15T04:50:00Z,205.96,207.87,205.96,207.87,2702,558853.11
1784091300000,2026-07-15T04:55:00Z,207.6,207.88,207.32,207.51,181,37563.62
1784091600000,2026-07-15T05:00:00Z,207.74,208,207.27,207.27,103,21415.03
1784091900000,2026-07-15T05:05:00Z,207.42,207.42,206.15,206.68,187,38644.7
1784092200000,2026-07-15T05:10:00Z,206.65,206.67,206.65,206.67,8,1653.27
1784092500000,2026-07-15T05:15:00Z,206.62,206.64,206.62,206.64,9,1859.66
1784092800000,2026-07-15T05:20:00Z,206.61,206.61,206.61,206.61,2,413.22
1784093100000,2026-07-15T05:25:00Z,206.59,206.59,206.59,206.59,10,2065.9
1784093400000,2026-07-15T05:30:00Z,206.01,206.04,206.01,206.04,130,26781.9
1784093700000,2026-07-15T05:35:00Z,206.05,206.05,206.05,206.05,10,2060.5
1784094000000,2026-07-15T05:40:00Z,206.18,206.22,206.18,206.22,132,27219.98
1784094300000,2026-07-15T05:45:00Z,206.22,206.22,206.05,206.05,22,4533.44
1784094600000,2026-07-15T05:50:00Z,205.97,205.97,205.64,205.78,391,80431.84
1784094900000,2026-07-15T05:55:00Z,205.83,205.89,205.83,205.89,9,1852.77
1784095200000,2026-07-15T06:00:00Z,206.15,206.17,205.91,205.91,3,618.23
1784095500000,2026-07-15T06:05:00Z,206.21,206.22,206.21,206.22,22,4536.73
1784095800000,2026-07-15T06:10:00Z,206.17,206.17,206.17,206.17,100,20617
1784096100000,2026-07-15T06:15:00Z,206.04,206.2,206.04,206.2,23,4742.36
1784096400000,2026-07-15T06:20:00Z,206.06,206.06,206.06,206.06,100,20606
1784096700000,2026-07-15T06:25:00Z,206.16,206.49,206.16,206.3,569,117339.87
1784097000000,2026-07-15T06:30:00Z,206.3,206.3,206.3,206.3,4,825.2
1784097300000,2026-07-15T06:35:00Z,206.22,206.3,205.7,205.7,1149,236794.72
1784097600000,2026-07-15T06:40:00Z,206.43,206.43,206.43,206.43,25,5160.75
1784098800000,2026-07-15T07:00:00Z,205.98,206.54,205.63,206.49,1389,286618
1784099100000,2026-07-15T07:05:00Z,206.29,206.29,205.67,205.69,449,92430.15
1784099400000,2026-07-15T07:10:00Z,205.7,205.7,205.68,205.68,10,2056.9
1784099700000,2026-07-15T07:15:00Z,205.68,205.69,205.01,205.01,438,90008.83
1784100300000,2026-07-15T07:25:00Z,205.07,205.13,204.1,204.5,402,82301.25
1784100600000,2026-07-15T07:30:00Z,204.49,204.95,204.49,204.95,166,33991.88
1784100900000,2026-07-15T07:35:00Z,204.97,204.97,204.97,204.97,9,1844.73
