ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,314.5,315.147,313.95,315.08,18726.334332,5892038.85315301
1784043600000,2026-07-14T15:40:00Z,314.72,315.49,314,315.4,17696.567171,5569392.83378844
1784043900000,2026-07-14T15:45:00Z,315.19,315.298,314.44,314.44,17026.531058,5361749.97873812
1784044200000,2026-07-14T15:50:00Z,314.1,314.586,311,311.31,39398.213567,12304586.09321454
1784044500000,2026-07-14T15:55:00Z,311.66,312.22,311.074,311.29,41561.892683,12945419.86821986
1784044800000,2026-07-14T16:00:00Z,311.74,312.045,310.61,311.015,15842.299839,4931966.16936808
1784045100000,2026-07-14T16:05:00Z,311.695,311.712,309.79,311.45,27246.071249999997,8468032.62617887
1784045400000,2026-07-14T16:10:00Z,310.6,311.838,310.42,311.56,15960.347303,4968338.00885386
1784045700000,2026-07-14T16:15:00Z,311.53,311.55,310.435,310.555,15467.695439000001,4808538.38083365
1784046000000,2026-07-14T16:20:00Z,310.61,311.64,310.501,311.64,20178.521066999998,6272880.70128144
1784046300000,2026-07-14T16:25:00Z,311.665,312.089,311.043,311.94,26127.504739,8144136.57068137
1784046600000,2026-07-14T16:30:00Z,311.97,312.535,311.463,311.505,27024.647328,8431095.42409478
1784046900000,2026-07-14T16:35:00Z,311.62,311.756,310.61,310.61,37514.667096000005,11675337.20241738
1784047200000,2026-07-14T16:40:00Z,310.55,311.15,310.38,310.38,52046.217216,16179649.18291169
1784047500000,2026-07-14T16:45:00Z,310.66,311.45,309.2,309.5,67076.093575,20792374.93095629
1784047800000,2026-07-14T16:50:00Z,310.05,310.115,309.474,309.91,9800.4535,3037536.8770644
1784048100000,2026-07-14T16:55:00Z,309.59,309.91,308.896,308.91,12248.991559999999,3789564.83615221
1784048400000,2026-07-14T17:00:00Z,308.935,309.47,308.88,308.88,20561.883704,6357765.28410236
1784048700000,2026-07-14T17:05:00Z,308.685,308.945,308.34,308.6,12334.285918,3806248.39229295
1784049000000,2026-07-14T17:10:00Z,308.6,309.194,307.77,307.77,21212.136518,6545371.69259066
1784049300000,2026-07-14T17:15:00Z,307.7,308.124,307.205,308.03,19842.508207,6102936.43821714
1784049600000,2026-07-14T17:20:00Z,308.29,309.274,308.114,309,22237.710927,6866008.88480807
1784049900000,2026-07-14T17:25:00Z,308.91,309.235,308.9,308.945,11843.914608,3660853.33205863
1784050200000,2026-07-14T17:30:00Z,309.26,309.42,308.209,308.53,15252.311961000001,4711289.69209568
