ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,244.29,244.639,244.106,244.29,15789.573848,3857751.31439275
1784043600000,2026-07-14T15:40:00Z,243.83,244.241,242.827,243.31,22548.032446,5488808.91344542
1784043900000,2026-07-14T15:45:00Z,243.435,243.806,243.074,243.2,15610.785792,3800614.39754895
1784044200000,2026-07-14T15:50:00Z,243,243.073,241.297,241.72,26272.442291,6362912.28948037
1784044500000,2026-07-14T15:55:00Z,241.27,242.192,241.27,242.1,13060.094280000001,3157084.50279466
1784044800000,2026-07-14T16:00:00Z,241.82,242.304,240.809,240.92,21988.200871,5305733.08079152
1784045100000,2026-07-14T16:05:00Z,241.27,241.749,240.681,241.44,21444.890295,5171263.73551689
1784045400000,2026-07-14T16:10:00Z,241.07,241.662,239.51,239.51,29667.574856,7138264.7512249
1784045700000,2026-07-14T16:15:00Z,239.38,240.05,239.105,239.565,36709.431882,8793399.33867341
1784046000000,2026-07-14T16:20:00Z,239.88,240.09,239.49,239.94,32557.053143000005,7807962.71296683
1784046300000,2026-07-14T16:25:00Z,240.04,240.997,239.826,240.175,92622.602433,22245948.45619405
1784046600000,2026-07-14T16:30:00Z,239.79,240.144,238.302,238.54,27638.205911999998,6609707.3458813
1784046900000,2026-07-14T16:35:00Z,238.52,239.245,238.465,238.95,18904.688123,4514165.40579462
1784047200000,2026-07-14T16:40:00Z,239.88,242.34,238.775,240,35442.135814,8535440.96274609
1784047500000,2026-07-14T16:45:00Z,239.47,241.107,238.295,238.295,11814.967562000002,2836724.08877244
1784047800000,2026-07-14T16:50:00Z,238.95,239.17,238.82,238.82,3616.039361,864400.10669354
1784048100000,2026-07-14T16:55:00Z,238.49,239.018,238.33,238.81,32229.209319999998,7697147.36169086
1784048400000,2026-07-14T17:00:00Z,238.6,238.918,238.435,238.46,16548.167634999998,3949187.10975748
1784048700000,2026-07-14T17:05:00Z,238.91,238.913,238.52,238.74,14284.611647999998,3409209.69820779
1784049000000,2026-07-14T17:10:00Z,238.8,239.667,238.44,238.44,42306.354732,10114768.28411001
1784049300000,2026-07-14T17:15:00Z,238.46,238.78,237.868,238.14,35991.243026000004,8577634.58891727
1784049600000,2026-07-14T17:20:00Z,239.48,239.565,238.134,239.51,24556.706635,5869895.18080258
1784049900000,2026-07-14T17:25:00Z,239.96,240.12,239.43,239.43,35632.662042,8546714.91327836
1784050200000,2026-07-14T17:30:00Z,239.81,240.109,239,239,15406.113206999999,3693370.68417826
1784050500000,2026-07-14T17:35:00Z,239.03,239.415,238.792,238.85,17739.488789000003,4241822.21050371
1784050800000,2026-07-14T17:40:00Z,239.62,239.895,239.379,239.895,17659.65231,4231863.71744593
1784051100000,2026-07-14T17:45:00Z,240.02,240.02,238.949,239.05,32199.875189,7719176.25944588
1784051400000,2026-07-14T17:50:00Z,239.32,239.96,239.032,239.9,17067.021391000002,4090453.01678097
1784051700000,2026-07-14T17:55:00Z,239.73,240.033,239.615,240.01,24803.392286,5948287.52954781
1784052000000,2026-07-14T18:00:00Z,239.67,239.949,239.225,239.67,16581.817296,3974324.99496009
1784052300000,2026-07-14T18:05:00Z,239.93,240.265,239.487,240.11,22740.131107,5454409.18910214
1784052600000,2026-07-14T18:10:00Z,240.18,240.322,240.01,240.155,54870.923101,13176176.71261237
1784052900000,2026-07-14T18:15:00Z,240.07,240.159,239.593,239.74,24826.709634,5957360.14234248
1784053200000,2026-07-14T18:20:00Z,239.57,240.08,239.506,239.64,16806.31162,4029955.21199888
1784053500000,2026-07-14T18:25:00Z,239.3,239.555,238.965,239.145,21403.772508000002,5122543.47056713
1784053800000,2026-07-14T18:30:00Z,239.76,239.77,239.12,239.12,29518.94203,7071758.4815126
1784054100000,2026-07-14T18:35:00Z,239.39,239.63,238.93,239.5,29654.050858999995,7101486.86080143
1784054400000,2026-07-14T18:40:00Z,239.025,239.342,238.23,238.47,28381.487850999998,6778671.45426705
1784054700000,2026-07-14T18:45:00Z,238.525,238.865,238.087,238.13,18743.279119,4470690.04500585
1784055000000,2026-07-14T18:50:00Z,238.01,238.726,238.01,238.515,18740.877109999998,4465128.29080787
1784055300000,2026-07-14T18:55:00Z,238.25,238.619,237.855,237.905,26844.417328999996,6394909.30941517
1784055600000,2026-07-14T19:00:00Z,238.05,238.05,237.16,237.53,31246.070733,7423019.66279124
1784055900000,2026-07-14T19:05:00Z,237.36,237.654,236.724,236.91,33628.122579,7976614.21542461
1784056200000,2026-07-14T19:10:00Z,237.375,237.68,236.821,237.32,23735.223995,5634989.02274255
1784056500000,2026-07-14T19:15:00Z,238.67,238.775,237.33,238.465,39262.306709,9347263.73528639
1784056800000,2026-07-14T19:20:00Z,238.78,238.874,238.25,238.28,24329.224204000002,5804896.93785873
1784057100000,2026-07-14T19:25:00Z,237.98,238.284,236.373,236.6,43385.290999000004,10297646.32860205
