ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1787144400000,2026-08-19T13:00:00Z,8.11,8.12,8.11,8.12,774,6282.7902
1787144700000,2026-08-19T13:05:00Z,8.1195,8.1195,8.1195,8.1195,770,6252.015
1787145000000,2026-08-19T13:10:00Z,8.1171,8.13,8.11,8.12,2778,22552.6374
1787145300000,2026-08-19T13:15:00Z,8.1162,8.14,8.1162,8.14,4523,36720.8801
1787145600000,2026-08-19T13:20:00Z,8.13,8.13,8.12,8.12,2850,23145.42
1787145900000,2026-08-19T13:25:00Z,8.14,8.14,8.13,8.14,3429,27880.1703
1787146200000,2026-08-19T13:30:00Z,8.19,8.23,8.14,8.22,167573.18210799998,1372055.70046388
1787146500000,2026-08-19T13:35:00Z,8.19,8.205,8.16,8.16,36877.081202,301702.46443792
1787146800000,2026-08-19T13:40:00Z,8.19,8.21,8.16,8.19,21846.674583999997,178817.2161375
1787147100000,2026-08-19T13:45:00Z,8.17,8.2,8.12,8.14,58132.787682999995,473869.41879797
1787147400000,2026-08-19T13:50:00Z,8.17,8.18,8.13,8.16,48630.308668,396458.59141587
1787147700000,2026-08-19T13:55:00Z,8.17,8.205,8.15,8.19,39396.754069999995,322300.90537126
1787148000000,2026-08-19T14:00:00Z,8.17,8.19,8.1214,8.13,34269.780403,279257.58654797
1787148300000,2026-08-19T14:05:00Z,8.15,8.16,8.125,8.125,17487.709248,142442.63813773
1787148600000,2026-08-19T14:10:00Z,8.14,8.15,8.11,8.125,59978.856252,487238.23876312
1787148900000,2026-08-19T14:15:00Z,8.13,8.18,8.12,8.17,56071.530516,456921.29502183
1787149200000,2026-08-19T14:20:00Z,8.175,8.175,8.13,8.13,25995.141632,211712.2319935
1787149500000,2026-08-19T14:25:00Z,8.145,8.15,8.13,8.135,31513.785026999998,256418.21462919
1787149800000,2026-08-19T14:30:00Z,8.145,8.1499,8.12,8.13,14616.633385999998,119001.32071212
1787150100000,2026-08-19T14:35:00Z,8.115,8.1299,8.105,8.115,67480.151847,548107.53337726
1787150400000,2026-08-19T14:40:00Z,8.11,8.15,8.11,8.15,20390.985908,165911.25684044
1787150700000,2026-08-19T14:45:00Z,8.17,8.17,8.13,8.145,21939.529648,178662.36573552
1787151000000,2026-08-19T14:50:00Z,8.155,8.1839,8.15,8.17,59148.508502,482799.70064758
1787151300000,2026-08-19T14:55:00Z,8.15,8.1899,8.14,8.165,47945.578294000006,391422.90663439
1787151600000,2026-08-19T15:00:00Z,8.19,8.215,8.17,8.2,29285.675667,239999.04065863
1787151900000,2026-08-19T15:05:00Z,8.18,8.205,8.17,8.18,16169.835315,132429.33424632
1787152200000,2026-08-19T15:10:00Z,8.18,8.18,8.15,8.16,25585.924843,209001.18567253
1787152500000,2026-08-19T15:15:00Z,8.17,8.17,8.135,8.135,12141.574636,99122.60117084
1787152800000,2026-08-19T15:20:00Z,8.17,8.18,8.145,8.18,10142.62715,82720.22424726
1787153100000,2026-08-19T15:25:00Z,8.195,8.215,8.16,8.18,18922.816577,155030.85165205
1787153400000,2026-08-19T15:30:00Z,8.21,8.31,8.19,8.28,125325.663692,1036017.13147629
1787153700000,2026-08-19T15:35:00Z,8.29,8.295,8.245,8.26,34484.412397,284875.73081162
1787154000000,2026-08-19T15:40:00Z,8.255,8.33,8.25,8.31,45703.18853100001,379322.75385074
1787154300000,2026-08-19T15:45:00Z,8.325,8.3673,8.315,8.345,77946.226635,650211.83334384
1787154600000,2026-08-19T15:50:00Z,8.37,8.385,8.35,8.36,56243.156214,470552.74214881
1787154900000,2026-08-19T15:55:00Z,8.36,8.435,8.36,8.415,395168.547016,3318744.00840447
1787155200000,2026-08-19T16:00:00Z,8.45,8.47,8.425,8.46,48111.695923,406437.98481832
1787155500000,2026-08-19T16:05:00Z,8.46,8.475,8.42,8.43,63651.576071999996,537658.49792258
1787155800000,2026-08-19T16:10:00Z,8.435,8.44,8.4,8.41,37178.708658,313152.54515547
1787156100000,2026-08-19T16:15:00Z,8.43,8.43,8.3901,8.42,53705.56202399999,451943.04554436
1787156400000,2026-08-19T16:20:00Z,8.395,8.415,8.39,8.4,36079.01758000001,303150.33731419
1787156700000,2026-08-19T16:25:00Z,8.39,8.425,8.39,8.4,43549.20654,366157.37366767
1787157000000,2026-08-19T16:30:00Z,8.38,8.4144,8.38,8.38,33886.465273,284476.87596684
1787157300000,2026-08-19T16:35:00Z,8.38,8.43,8.37,8.4,48961.742996,411283.5373407
1787157600000,2026-08-19T16:40:00Z,8.4,8.42,8.39,8.4,35686.494505,299855.77007826
1787157900000,2026-08-19T16:45:00Z,8.39,8.395,8.38,8.395,20403.560149,171169.54680199
1787158200000,2026-08-19T16:50:00Z,8.37,8.395,8.37,8.39,11702.029294,98142.57928292
1787158500000,2026-08-19T16:55:00Z,8.385,8.4,8.37,8.4,29259.41443,245343.11593699
1787158800000,2026-08-19T17:00:00Z,8.38,8.39,8.36,8.36,13832.880003,115880.80236113
1787159100000,2026-08-19T17:05:00Z,8.365,8.375,8.345,8.345,22724.41961,190007.96212705
1787159400000,2026-08-19T17:10:00Z,8.375,8.38,8.35,8.38,16949.544447,141840.56775027
1787159700000,2026-08-19T17:15:00Z,8.375,8.3799,8.3604,8.375,10167.871041,85110.16454869
1787160000000,2026-08-19T17:20:00Z,8.375,8.38,8.33,8.33,26879.369655,224461.55217801
1787160300000,2026-08-19T17:25:00Z,8.34,8.35,8.33,8.34,10414.184494000001,86911.57669468
1787160600000,2026-08-19T17:30:00Z,8.36,8.36,8.335,8.36,9679.662236,80816.46797459
1787160900000,2026-08-19T17:35:00Z,8.36,8.36,8.335,8.355,7256.855032000001,60575.14600861
1787161200000,2026-08-19T17:40:00Z,8.34,8.35,8.34,8.34,7023.108872999999,58615.56896495
1787161500000,2026-08-19T17:45:00Z,8.355,8.36,8.34,8.355,10695.592416,89306.05755512
