ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,25.36,25.465,25.325,25.415,379863.95197299996,9637110.47515981
1784043600000,2026-07-14T15:40:00Z,25.415,25.427,25.37,25.405,62677.062461,1592298.23640921
1784043900000,2026-07-14T15:45:00Z,25.395,25.432,25.385,25.43,115615.64505299999,2937932.27957079
1784044200000,2026-07-14T15:50:00Z,25.44,25.485,25.415,25.435,83279.123007,2118995.64535161
1784044500000,2026-07-14T15:55:00Z,25.42,25.444,25.365,25.37,38161.466954,969518.78099324
1784044800000,2026-07-14T16:00:00Z,25.335,25.363,25.24,25.28,96171.269115,2432084.84177615
1784045100000,2026-07-14T16:05:00Z,25.28,25.315,25.265,25.3,47960.953377,1212942.10309501
1784045400000,2026-07-14T16:10:00Z,25.3,25.325,25.26,25.325,61491.917651,1555112.14981849
1784045700000,2026-07-14T16:15:00Z,25.325,25.335,25.305,25.325,29949.241428,758368.70159153
1784046000000,2026-07-14T16:20:00Z,25.33,25.38,25.305,25.38,59008.33906200001,1495117.89014952
1784046300000,2026-07-14T16:25:00Z,25.375,25.415,25.36,25.38,96633.673954,2453355.04107894
1784046600000,2026-07-14T16:30:00Z,25.39,25.39,25.325,25.39,186580.06009800002,4731166.55792302
1784046900000,2026-07-14T16:35:00Z,25.385,25.4,25.185,25.19,187389.089514,4740587.92543412
1784047200000,2026-07-14T16:40:00Z,25.21,25.27,25.196,25.265,8584.69271,216581.49544205
1784047500000,2026-07-14T16:45:00Z,25.265,25.33,25.255,25.33,13081.86395,330712.13702879
1784047800000,2026-07-14T16:50:00Z,25.3,25.3,25.22,25.225,20014.637382,505275.5250998
1784048100000,2026-07-14T16:55:00Z,25.21,25.227,25.09,25.095,202621.832509,5092453.9920822
1784048400000,2026-07-14T17:00:00Z,25.12,25.155,25.09,25.09,246703.813083,6197619.1811272
1784048700000,2026-07-14T17:05:00Z,25.115,25.195,25.08,25.15,120771.57587499998,3034772.31290217
1784049000000,2026-07-14T17:10:00Z,25.155,25.19,25.135,25.145,62843.869424,1581421.98334636
1784049300000,2026-07-14T17:15:00Z,25.145,25.18,25.12,25.12,85699.20044,2155472.0097867
1784049600000,2026-07-14T17:20:00Z,25.13,25.269,25.09,25.24,235246.04708099997,5917073.24841427
1784049900000,2026-07-14T17:25:00Z,25.24,25.265,25.19,25.25,83922.879076,2117617.6154368
1784050200000,2026-07-14T17:30:00Z,25.27,25.325,25.249,25.29,132084.531303,3339453.57957436
1784050500000,2026-07-14T17:35:00Z,25.285,25.301,25.22,25.26,129539.296473,3271398.34705879
1784050800000,2026-07-14T17:40:00Z,25.24,25.3,25.2,25.275,49457.627383,1248795.19989527
1784051100000,2026-07-14T17:45:00Z,25.275,25.28,25.17,25.17,97263.66639399999,2455810.31278211
1784051400000,2026-07-14T17:50:00Z,25.17,25.18,25.08,25.1,83272.617834,2092016.34153467
1784051700000,2026-07-14T17:55:00Z,25.07,25.165,25.07,25.155,114100.12581399998,2866628.74092577
1784052000000,2026-07-14T18:00:00Z,25.145,25.22,25.14,25.22,73194.858921,1842219.44572497
1784052300000,2026-07-14T18:05:00Z,25.21,25.265,25.19,25.25,95627.72811200001,2412324.19489893
1784052600000,2026-07-14T18:10:00Z,25.22,25.239,25.169,25.17,99623.848743,2511238.28003455
1784052900000,2026-07-14T18:15:00Z,25.18,25.18,25.136,25.15,68840.678248,1732231.1026866
1784053200000,2026-07-14T18:20:00Z,25.14,25.17,25.12,25.15,40918.412947,1028934.41196526
1784053500000,2026-07-14T18:25:00Z,25.16,25.225,25.145,25.19,73337.359362,1847052.73168352
1784053800000,2026-07-14T18:30:00Z,25.19,25.23,25.18,25.18,41447.518536999996,1044017.39967664
1784054100000,2026-07-14T18:35:00Z,25.2,25.22,25.11,25.13,88856.75988,2236107.01940816
1784054400000,2026-07-14T18:40:00Z,25.1,25.16,25.1,25.16,196405.04194099997,4932437.6612895
1784054700000,2026-07-14T18:45:00Z,25.15,25.15,25.06,25.09,97484.468945,2445670.85999837
1784055000000,2026-07-14T18:50:00Z,25.135,25.19,25.106,25.19,93752.951556,2357192.95979189
1784055300000,2026-07-14T18:55:00Z,25.16,25.184,25.11,25.115,51554.124897,1296292.38264764
1784055600000,2026-07-14T19:00:00Z,25.115,25.16,25.085,25.135,187407.459048,4708200.11217109
1784055900000,2026-07-14T19:05:00Z,25.15,25.26,25.105,25.255,124177.48881000001,3125895.09031637
1784056200000,2026-07-14T19:10:00Z,25.265,25.305,25.23,25.3,208118.610397,5257825.32562565
1784056500000,2026-07-14T19:15:00Z,25.295,25.49,25.275,25.49,400163.937455,10147117.02762142
1784056800000,2026-07-14T19:20:00Z,25.49,25.535,25.44,25.45,134736.44702999998,3434809.29684638
