ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,60.97,61.275,60.905,61.21,828360.0516369999,50607000.63465923
1784043600000,2026-07-14T15:40:00Z,61.175,61.23,60.87,61.195,1502307.672075,91721141.45703101
1784043900000,2026-07-14T15:45:00Z,61.195,61.34,61.195,61.25,810472.237956,49649448.24996076
1784044200000,2026-07-14T15:50:00Z,61.25,61.27,60.76,60.8,706493.838552,43047588.02496348
1784044500000,2026-07-14T15:55:00Z,60.8,60.965,60.745,60.84,234847.38449,14288138.35711005
1784044800000,2026-07-14T16:00:00Z,60.825,60.861,60.59,60.68,524232.36829,31804968.09120698
1784045100000,2026-07-14T16:05:00Z,60.71,60.84,60.625,60.84,447293.523583,27158052.49527486
1784045400000,2026-07-14T16:10:00Z,60.79,60.865,60.71,60.85,290961.571183,17689910.70094115
1784045700000,2026-07-14T16:15:00Z,60.82,60.94,60.63,60.93,321078.502668,19519164.87344439
1784046000000,2026-07-14T16:20:00Z,60.93,61.11,60.926,61.04,549941.556986,33551604.42678167
1784046300000,2026-07-14T16:25:00Z,61.07,61.32,61.06,61.305,540529.5055730001,33083216.49449659
1784046600000,2026-07-14T16:30:00Z,61.29,61.375,61.23,61.295,409153.138563,25082519.42989687
1784046900000,2026-07-14T16:35:00Z,61.32,61.385,61.215,61.355,333145.21345599997,20426898.70661867
1784047200000,2026-07-14T16:40:00Z,61.33,61.66,61.32,61.585,714116.225219,43915934.09067032
1784047500000,2026-07-14T16:45:00Z,61.6,61.66,61.21,61.395,1068940.936374,65635859.63389181
1784047800000,2026-07-14T16:50:00Z,61.395,61.42,61.3,61.315,1201005.6980110002,73710643.81029693
1784048100000,2026-07-14T16:55:00Z,61.3,61.425,61.28,61.375,450803.40636900003,27659989.68492337
1784048400000,2026-07-14T17:00:00Z,61.39,61.4,61.28,61.305,497057.554709,30491498.6360689
1784048700000,2026-07-14T17:05:00Z,61.315,61.435,61.26,61.405,547965.153111,33616073.04441583
1784049000000,2026-07-14T17:10:00Z,61.41,61.43,61.27,61.28,458279.80184000003,28125639.65448485
1784049300000,2026-07-14T17:15:00Z,61.27,61.325,61.19,61.3,578947.052935,35470001.72393688
1784049600000,2026-07-14T17:20:00Z,61.325,61.415,61.3,61.38,422733.61688399996,25939822.47259769
1784049900000,2026-07-14T17:25:00Z,61.37,61.42,61.345,61.345,370337.16310500004,22732257.94800898
1784050200000,2026-07-14T17:30:00Z,61.345,61.375,61.11,61.2,396723.93183099997,24298269.6700328
1784050500000,2026-07-14T17:35:00Z,61.195,61.32,61.135,61.3,511330.349514,31307530.10790339
1784050800000,2026-07-14T17:40:00Z,61.31,61.325,61.195,61.205,316348.981356,19377387.42479534
1784051100000,2026-07-14T17:45:00Z,61.21,61.215,61.1,61.14,339743.98112799996,20777009.19148472
1784051400000,2026-07-14T17:50:00Z,61.15,61.34,61.14,61.305,256897.911093,15730655.47974878
1784051700000,2026-07-14T17:55:00Z,61.295,61.345,61.255,61.335,277383.345913,17001962.54272601
1784052000000,2026-07-14T18:00:00Z,61.335,61.36,61.28,61.31,380622.143213,23340625.25275055
1784052300000,2026-07-14T18:05:00Z,61.32,61.365,61.22,61.345,280003.44197600003,17162726.97488633
1784052600000,2026-07-14T18:10:00Z,61.335,61.345,61.275,61.305,292072.87689099996,17905995.03440578
1784052900000,2026-07-14T18:15:00Z,61.32,61.375,61.255,61.35,337434.56836200005,20689766.8156592
1784053200000,2026-07-14T18:20:00Z,61.355,61.425,61.23,61.23,337717.809838,20715374.05299603
1784053500000,2026-07-14T18:25:00Z,61.235,61.29,61.19,61.215,292285.858818,17898270.70764964
1784053800000,2026-07-14T18:30:00Z,61.215,61.29,61.175,61.24,345053.772431,21126262.27086041
1784054100000,2026-07-14T18:35:00Z,61.235,61.32,61.16,61.235,320848.61306799995,19647196.90608028
1784054400000,2026-07-14T18:40:00Z,61.25,61.25,60.92,60.97,363778.275071,22196040.58693959
1784054700000,2026-07-14T18:45:00Z,60.96,61.04,60.925,60.995,348277.00922,21238315.12694574
1784055000000,2026-07-14T18:50:00Z,61,61.135,60.97,61.105,326794.798129,19948959.69542611
1784055300000,2026-07-14T18:55:00Z,61.12,61.125,60.975,61.035,307656.728624,18778812.93309744
1784055600000,2026-07-14T19:00:00Z,61.02,61.028,60.75,60.82,431367.258144,26250854.49435312
1784055900000,2026-07-14T19:05:00Z,60.83,60.83,60.675,60.685,860161.457762,52232616.39343124
1784056200000,2026-07-14T19:10:00Z,60.665,60.913,60.645,60.85,730501.7973210001,44345038.55619158
1784056500000,2026-07-14T19:15:00Z,60.88,61,60.858,60.96,244224.755544,14882739.11066915
1784056800000,2026-07-14T19:20:00Z,60.94,61.095,60.901,61.09,210424.353682,12840641.16499521
1784057100000,2026-07-14T19:25:00Z,61.075,61.09,60.96,60.965,434350.843101,26509604.7017304
1784057400000,2026-07-14T19:30:00Z,60.985,61.065,60.82,61,426068.150342,25966041.71355264
1784057700000,2026-07-14T19:35:00Z,61.015,61.14,61,61.055,384485.72437500005,23479235.93611838
1784058000000,2026-07-14T19:40:00Z,61.04,61.09,60.95,61.005,491466.08787900006,29987786.28411295
1784058300000,2026-07-14T19:45:00Z,60.99,61.07,60.945,61.03,793654.119857,48414171.15786877
1784058600000,2026-07-14T19:50:00Z,60.99,61.095,60.94,61.065,1910070.5538980002,116505708.47028547
1784058900000,2026-07-14T19:55:00Z,61.07,61.28,61.04,61.22,12457071.148384001,761332588.8402108
1784059200000,2026-07-14T20:00:00Z,61.08,61.269,61.018,61.14,2311858.416253,141512552.63231213
1784059500000,2026-07-14T20:05:00Z,61.11,61.239,61.08,61.21,96685.126814,5909375.61384632
1784059800000,2026-07-14T20:10:00Z,61.22,61.24,61.096,61.24,56933.511349,3485537.8849994
1784060100000,2026-07-14T20:15:00Z,61.25,61.279,61.235,61.24,29634.5,1815021.25805
1784060400000,2026-07-14T20:20:00Z,61.237,61.245,61.17,61.17,46888,2871519.5848
1784060700000,2026-07-14T20:25:00Z,61.22,61.22,61.17,61.2,17269.922656000002,1056812.19302673
1784061000000,2026-07-14T20:30:00Z,61.22,61.22,61.18,61.22,31747,1942846.5566
1784061300000,2026-07-14T20:35:00Z,61.22,61.22,61.205,61.22,9031,552799.2503
1784061600000,2026-07-14T20:40:00Z,61.24,61.24,61.213,61.24,29669,1816374.7497
1784061900000,2026-07-14T20:45:00Z,61.225,61.225,61.185,61.194,9754.127516,596957.48104296
1784062200000,2026-07-14T20:50:00Z,61.2,61.2,61.11,61.2,23765.2,1453688.76576
1784062500000,2026-07-14T20:55:00Z,61.138,61.155,61.13,61.155,18209,1113280.051
1784062800000,2026-07-14T21:00:00Z,61.155,61.164,60.963,60.963,51215.809827000005,3128994.05031369
1784063100000,2026-07-14T21:05:00Z,60.949,61.078,60.881,61.078,84809.2,5172852.3448
1784063400000,2026-07-14T21:10:00Z,61.1,61.138,61.061,61.09,32633,1994176.5236
1784063700000,2026-07-14T21:15:00Z,61.1,61.129,61.075,61.129,20798.5,1270767.5515
1784064000000,2026-07-14T21:20:00Z,61.129,61.175,61.129,61.175,326118.6,19941956.71884
1784064300000,2026-07-14T21:25:00Z,61.175,61.175,61.125,61.169,14018.068259000001,857286.17883375
1784064600000,2026-07-14T21:30:00Z,61.169,61.17,61.103,61.103,19994.5,1222461.73055
1784064900000,2026-07-14T21:35:00Z,61.102,61.135,61.082,61.131,17786,1086689.028
1784065200000,2026-07-14T21:40:00Z,61.131,61.159,61.068,61.1,15930.427941000002,973651.82532598
