ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,96.09,96.24,96.02,96.05,26491.589773,2546445.78543212
1784043600000,2026-07-14T15:40:00Z,95.935,96.23,95.935,96.195,19906.592597000003,1912273.07003079
1784043900000,2026-07-14T15:45:00Z,96.12,96.356,96.092,96.3,18597.838220999998,1789837.35255082
1784044200000,2026-07-14T15:50:00Z,96.28,96.355,96.105,96.15,24156.194451,2323741.35950562
1784044500000,2026-07-14T15:55:00Z,96.095,96.289,96.095,96.2,14482.1767,1393013.06063727
1784044800000,2026-07-14T16:00:00Z,96.315,96.348,96.115,96.185,17982.333189999998,1730242.11720861
1784045100000,2026-07-14T16:05:00Z,96.175,96.209,96.062,96.13,33426.421933,3213820.10581241
1784045400000,2026-07-14T16:10:00Z,96.12,96.129,95.83,96,48911.184449,4693551.49755515
1784045700000,2026-07-14T16:15:00Z,96.13,96.273,95.954,96.185,25979.733719999997,2497865.66405672
1784046000000,2026-07-14T16:20:00Z,96.11,96.208,96.031,96.07,13553.982443,1303314.35596628
1784046300000,2026-07-14T16:25:00Z,96,96.053,95.93,95.93,37524.323996,3603074.33279872
1784046600000,2026-07-14T16:30:00Z,95.96,96.101,95.89,96.08,49041.256447,4708127.35918392
1784046900000,2026-07-14T16:35:00Z,95.95,96.025,95.722,95.8,27907.800945,2676235.31630134
1784047200000,2026-07-14T16:40:00Z,95.69,95.795,95.58,95.66,3034.476165,290166.32122103
1784047500000,2026-07-14T16:45:00Z,95.63,95.665,95.45,95.62,5843.25836,558623.6797777
1784047800000,2026-07-14T16:50:00Z,95.82,95.82,95.401,95.41,639,60984.0513
1784048100000,2026-07-14T16:55:00Z,95.27,95.436,95.266,95.33,15526.521268,1480208.48386777
1784048400000,2026-07-14T17:00:00Z,95.3,95.34,95.016,95.04,31668.731944000003,3014252.07454228
1784048700000,2026-07-14T17:05:00Z,95.04,95.082,94.75,94.81,125065.51964099999,11883087.84213765
1784049000000,2026-07-14T17:10:00Z,94.76,94.944,94.722,94.81,13616.68463,1290899.82964096
1784049300000,2026-07-14T17:15:00Z,94.78,94.995,94.752,94.93,16115.572170000001,1528977.80208649
1784049600000,2026-07-14T17:20:00Z,94.74,95.02,94.657,95.01,42918.159973,4066667.33008164
1784049900000,2026-07-14T17:25:00Z,95.05,95.135,95.015,95.085,16280.298439,1548082.1823556
1784050200000,2026-07-14T17:30:00Z,95.19,95.311,95.021,95.15,22456.086432,2137161.46499394
1784050500000,2026-07-14T17:35:00Z,95.16,95.215,95.09,95.135,7586.05254,721884.96668013
1784050800000,2026-07-14T17:40:00Z,95.135,95.154,95.035,95.12,15341.893522999999,1459149.0827003
1784051100000,2026-07-14T17:45:00Z,94.88,95.082,94.88,94.88,13893.560508,1319454.76917215
1784051400000,2026-07-14T17:50:00Z,95,95.227,94.939,95.16,30939.796510999997,2940456.38081242
1784051700000,2026-07-14T17:55:00Z,95.27,95.291,95.186,95.2,13481.631772,1283720.97732984
1784052000000,2026-07-14T18:00:00Z,95.2,95.21,94.907,94.965,19638.054264000002,1866846.46108235
1784052300000,2026-07-14T18:05:00Z,95.08,95.096,94.978,95,19995.102007999998,1900044.5658612
1784052600000,2026-07-14T18:10:00Z,95.01,95.075,94.95,95.075,26260.791219999996,2494822.4353242
1784052900000,2026-07-14T18:15:00Z,95.08,95.12,95.04,95.12,12522.7135,1190828.65621225
1784053200000,2026-07-14T18:20:00Z,95.075,95.119,94.923,95.04,9856.833505,936865.41119979
1784053500000,2026-07-14T18:25:00Z,94.91,95.032,94.91,94.93,17023.6812,1616526.207549
1784053800000,2026-07-14T18:30:00Z,94.94,95.005,94.931,94.975,11997.734062,1139416.4054543
1784054100000,2026-07-14T18:35:00Z,94.95,94.983,94.8,94.8,12846.122691,1219036.66659925
1784054400000,2026-07-14T18:40:00Z,94.83,94.875,94.782,94.8,15127.0177,1434337.76750692
1784054700000,2026-07-14T18:45:00Z,94.862,94.965,94.862,94.9,10288.632487,976691.65108492
1784055000000,2026-07-14T18:50:00Z,94.83,94.908,94.72,94.795,23418.3282,2220476.70143478
1784055300000,2026-07-14T18:55:00Z,94.75,94.821,94.711,94.76,35254.5429,3340311.53250636
1784055600000,2026-07-14T19:00:00Z,94.81,95.135,94.741,94.985,3448842.7949099997,327003064.25223009
1784055900000,2026-07-14T19:05:00Z,94.905,95.009,94.64,94.785,33599.706805999995,3184637.33057425
1784056200000,2026-07-14T19:10:00Z,94.785,94.827,94.65,94.66,30331.61929,2873832.96603156
1784056500000,2026-07-14T19:15:00Z,94.61,94.854,94.605,94.62,27078.994527000003,2565222.93843669
1784056800000,2026-07-14T19:20:00Z,94.7,94.75,94.566,94.6,28124.681329,2662456.70762738
1784057100000,2026-07-14T19:25:00Z,94.51,94.62,94.442,94.62,31875.8761,3012936.49726049
1784057400000,2026-07-14T19:30:00Z,94.49,94.508,94.253,94.41,38325.467705,3616371.96990995
1784057700000,2026-07-14T19:35:00Z,94.4,94.904,94.4,94.79,49499.1731,4688616.12512241
1784058000000,2026-07-14T19:40:00Z,94.705,94.79,94.635,94.77,38405.6425,3637851.5877565
1784058300000,2026-07-14T19:45:00Z,94.81,94.833,94.74,94.78,57789.1613,5477539.87490437
1784058600000,2026-07-14T19:50:00Z,94.82,95.019,94.685,94.745,112788.99960699999,10697269.64752662
1784058900000,2026-07-14T19:55:00Z,94.8,94.825,94.37,94.505,301311.105524,28489507.38728414
1784059200000,2026-07-14T20:00:00Z,94.48,94.63,94.47,94.5,506115.066838,47816992.34225398
1784059500000,2026-07-14T20:05:00Z,94.483,94.559,94.396,94.531,124,11714.7636
1784059800000,2026-07-14T20:10:00Z,94.53,94.53,94.53,94.53,24130.663691,2281071.63871023
1784060100000,2026-07-14T20:15:00Z,94.545,94.619,94.545,94.575,144360,13658173.884
1784060400000,2026-07-14T20:20:00Z,94.575,94.575,94.575,94.575,87,8228.025
1784060700000,2026-07-14T20:25:00Z,94.575,94.575,94.375,94.375,33,3116.3748
1784061000000,2026-07-14T20:30:00Z,94.375,94.375,94.375,94.375,2,188.75
1784061300000,2026-07-14T20:35:00Z,94.387,94.449,94.387,94.449,3,283.161
1784061600000,2026-07-14T20:40:00Z,94.452,94.48,94.452,94.48,30017,2836006.16
1784061900000,2026-07-14T20:45:00Z,94.48,94.48,94.48,94.48,27,2550.96
1784062500000,2026-07-14T20:55:00Z,94.478,94.478,94.465,94.465,22,2078.4896
1784062800000,2026-07-14T21:00:00Z,94.521,94.785,94.521,94.785,1,94.521
1784063100000,2026-07-14T21:05:00Z,94.787,94.8,94.695,94.695,141,13365.672
1784063400000,2026-07-14T21:10:00Z,94.695,94.743,94.695,94.743,24,2272.6992
1784063700000,2026-07-14T21:15:00Z,94.745,94.785,94.745,94.785,0,0
1784064000000,2026-07-14T21:20:00Z,94.787,94.8,94.787,94.8,0,0
1784064300000,2026-07-14T21:25:00Z,94.795,94.795,94.755,94.755,2,189.59
1784064600000,2026-07-14T21:30:00Z,94.763,94.844,94.763,94.844,2,189.526
1784064900000,2026-07-14T21:35:00Z,94.845,94.845,94.627,94.627,59,5595.855
1784065200000,2026-07-14T21:40:00Z,94.626,94.626,94.625,94.625,89,8421.625
1784065500000,2026-07-14T21:45:00Z,94.625,94.625,94.327,94.327,69,6525.9717
1784065800000,2026-07-14T21:50:00Z,94.326,94.326,94.325,94.325,132,12450.9
1784066100000,2026-07-14T21:55:00Z,94.325,94.624,94.325,94.624,1,94.325
