ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786417500000,2026-08-11T03:05:00Z,25.47,25.47,25.47,25.47,123,3132.81
1786420200000,2026-08-11T03:50:00Z,25.49,25.54,25.49,25.54,60,1529.45
1786421700000,2026-08-11T04:15:00Z,25.56,25.56,25.56,25.56,4,102.24
1786422000000,2026-08-11T04:20:00Z,25.6,25.6,25.6,25.6,100,2560
1786422300000,2026-08-11T04:25:00Z,25.6,25.62,25.6,25.62,20,512.2
1786422600000,2026-08-11T04:30:00Z,25.62,25.62,25.62,25.62,10,256.2
1786425300000,2026-08-11T05:15:00Z,25.63,25.63,25.63,25.63,81,2076.03
1786427400000,2026-08-11T05:50:00Z,25.52,25.52,25.52,25.52,200,5104
1786428000000,2026-08-11T06:00:00Z,25.52,25.52,25.52,25.52,150,3828
1786428300000,2026-08-11T06:05:00Z,25.52,25.52,25.52,25.52,10,255.2
1786428600000,2026-08-11T06:10:00Z,25.53,25.53,25.53,25.53,10,255.3
1786432200000,2026-08-11T07:10:00Z,25.45,25.45,25.41,25.41,250,6352.67
1786432500000,2026-08-11T07:15:00Z,25.41,25.41,25.41,25.41,4,101.64
1786434600000,2026-08-11T07:50:00Z,25.45,25.45,25.45,25.45,5,127.25
1786434900000,2026-08-11T07:55:00Z,25.52,25.52,25.51,25.51,67,1709.42
1786435200000,2026-08-11T08:00:00Z,25.52,25.6,25.4,25.4,7042.575644,179987.80999127
1786437300000,2026-08-11T08:35:00Z,25.33,25.33,25.33,25.33,456,11550.48
1786438200000,2026-08-11T08:50:00Z,25.55,25.55,25.55,25.55,196,5007.8
1786438500000,2026-08-11T08:55:00Z,25.5,25.5,25.4,25.4,564,14357.6352
1786439400000,2026-08-11T09:10:00Z,25.53,25.53,25.53,25.53,240,6127.2
1786440900000,2026-08-11T09:35:00Z,25.37,25.37,25.37,25.37,200,5074
1786441800000,2026-08-11T09:50:00Z,25.26,25.26,25.22,25.26,1978,49920.5662
1786442100000,2026-08-11T09:55:00Z,25.2285,25.2285,25.2285,25.2285,115,2901.2775
1786442700000,2026-08-11T10:05:00Z,25.25,25.25,25.25,25.25,315,7953.75
1786443900000,2026-08-11T10:25:00Z,25.5,25.5,25.5,25.5,124,3162
1786444800000,2026-08-11T10:40:00Z,25.22,25.22,25.22,25.22,100,2522
1786446000000,2026-08-11T11:00:00Z,25.5,25.5,25.5,25.5,805,20527.017
1786446600000,2026-08-11T11:10:00Z,25.55,25.575,25.55,25.56,1271,32487.5226
1786446900000,2026-08-11T11:15:00Z,25.6,25.6,25.6,25.6,500,12803.2
1786448100000,2026-08-11T11:35:00Z,25.6,25.65,25.6,25.65,820,21008.072
1786448400000,2026-08-11T11:40:00Z,25.52,25.52,25.49,25.49,572,14586.858
1786449000000,2026-08-11T11:50:00Z,25.64,25.64,25.64,25.64,302,7745.545
1786449900000,2026-08-11T12:05:00Z,25.6,25.6,25.5,25.5,923,23553.114
1786450200000,2026-08-11T12:10:00Z,25.69,25.73,25.6,25.73,1186,30451.2616
1786451400000,2026-08-11T12:30:00Z,25.53,25.55,25.5,25.55,1601,40881.535
1786452600000,2026-08-11T12:50:00Z,25.67,25.67,25.67,25.67,1000,25664.8
1786452900000,2026-08-11T12:55:00Z,25.61,25.61,25.61,25.61,140,3584.406
1786453200000,2026-08-11T13:00:00Z,25.73,26.2201,25.69,26.06,6948.223556,180490.52920243
1786453500000,2026-08-11T13:05:00Z,25.93,26.06,25.9,25.9,1774.550785,46067.69328876
1786453800000,2026-08-11T13:10:00Z,25.9,25.9,25.6798,25.6798,848,21904.0096
1786454100000,2026-08-11T13:15:00Z,25.72,25.81,25.72,25.81,477,12291.0975
1786454400000,2026-08-11T13:20:00Z,26,26.0169,25.81,25.81,2165,56110.9545
1786454700000,2026-08-11T13:25:00Z,25.51,25.8566,25.32,25.51,7661.223556000001,195246.28232466
1786455000000,2026-08-11T13:30:00Z,25.7,25.7887,25.165,25.245,79912.42750500001,2036296.51271141
1786455300000,2026-08-11T13:35:00Z,25.25,25.74,25.15,25.72,63866.654875,1633466.33841398
1786455600000,2026-08-11T13:40:00Z,25.61,25.7,25.1,25.15,34693.738852,879791.5848001
1786455900000,2026-08-11T13:45:00Z,25.105,25.35,25.05,25.24,30724.841161999997,773393.4117934
1786456200000,2026-08-11T13:50:00Z,25.38,25.61,25.25,25.38,23725.088259,603191.38891447
1786456500000,2026-08-11T13:55:00Z,25.31,25.66,25.22,25.56,30073.686749999997,764701.6772043
1786456800000,2026-08-11T14:00:00Z,25.54,25.89,25.54,25.87,33074.818671,852615.90562851
1786457100000,2026-08-11T14:05:00Z,26.07,26.09,25.865,25.97,24588.732956999997,639248.0439229
1786457400000,2026-08-11T14:10:00Z,26.07,26.2,25.965,26.13,33130.09317,863671.71185805
1786457700000,2026-08-11T14:15:00Z,25.99,26.17,25.92,26.17,38620.774791,1004480.00738416
1786458000000,2026-08-11T14:20:00Z,26.005,26.16,25.9,25.97,26256.491071,682655.63960046
1786458300000,2026-08-11T14:25:00Z,26.04,26.18,25.925,26.04,13523.325206,352703.19703021
1786458600000,2026-08-11T14:30:00Z,26.14,26.14,25.875,26.05,11148.415723,289711.64971046
1786458900000,2026-08-11T14:35:00Z,25.985,26.03,25.93,26.015,10684.617875999998,277772.28476952
1786459200000,2026-08-11T14:40:00Z,26.04,26.105,25.96,26.05,28909.159813,753051.81305286
1786459500000,2026-08-11T14:45:00Z,25.99,26.185,25.97,26.105,19356.612758,505075.96801705
1786459800000,2026-08-11T14:50:00Z,26.09,26.2387,26.065,26.19,24299.525929000003,635692.60797079
1786460100000,2026-08-11T14:55:00Z,26.13,26.16,26.0575,26.08,12994.994764000001,339259.02880427
1786460400000,2026-08-11T15:00:00Z,26.06,26.0915,25.94,25.96,11266.943101,292993.47525857
1786460700000,2026-08-11T15:05:00Z,25.935,26.0051,25.78,25.86,24317.080865,629678.65045874
1786461000000,2026-08-11T15:10:00Z,25.87,25.92,25.8101,25.88,13679.857524,353830.88284401
1786461300000,2026-08-11T15:15:00Z,25.8,25.81,25.7,25.72,16038.82212,413142.41510687
1786461600000,2026-08-11T15:20:00Z,25.72,25.81,25.66,25.81,14060.239857999999,361834.64864969
1786461900000,2026-08-11T15:25:00Z,25.71,25.745,25.619,25.7,6370.703875000001,163697.78434968
1786462200000,2026-08-11T15:30:00Z,25.66,25.79,25.63,25.69,29400.463480000002,755503.71004556
1786462500000,2026-08-11T15:35:00Z,25.75,25.85,25.73,25.85,16397.08517,422984.12817087
1786462800000,2026-08-11T15:40:00Z,25.76,25.9057,25.75,25.825,10604.876627,273841.24523772
1786463100000,2026-08-11T15:45:00Z,25.85,25.97,25.83,25.89,11478.47557,297388.93645779
1786463400000,2026-08-11T15:50:00Z,25.99,26,25.9,25.915,32583.101378,845857.31177288
1786463700000,2026-08-11T15:55:00Z,25.855,25.8799,25.8242,25.84,6074.031667,157104.82906696
1786464000000,2026-08-11T16:00:00Z,25.86,25.9,25.805,25.81,11681.569231,302194.01890751
1786464300000,2026-08-11T16:05:00Z,25.84,25.965,25.815,25.915,15166.658551999999,392173.3901742
1786464600000,2026-08-11T16:10:00Z,26.03,26.1395,25.98,26.1,32754.268151000004,853337.12185756
1786464900000,2026-08-11T16:15:00Z,26.075,26.11,26.02,26.02,10961.378498,285780.67564846
1786465200000,2026-08-11T16:20:00Z,25.99,26.035,25.955,25.955,21424.846318,557170.26837664
1786465500000,2026-08-11T16:25:00Z,25.86,25.945,25.77,25.85,29487.572315999998,762704.90422503
1786465800000,2026-08-11T16:30:00Z,25.87,25.88,25.8,25.805,8138.81827,210259.85895083
1786466100000,2026-08-11T16:35:00Z,25.83,25.98,25.815,25.94,16473.464211,427156.92699123
1786466400000,2026-08-11T16:40:00Z,25.9,25.9599,25.9,25.94,4887.310761000001,126749.47220008
1786466700000,2026-08-11T16:45:00Z,25.98,26.025,25.95,26.01,27206.362138,707106.95514769
1786467000000,2026-08-11T16:50:00Z,26.04,26.055,25.9209,26.04,12977.820751,337653.04695329
1786467300000,2026-08-11T16:55:00Z,25.945,25.985,25.92,25.965,6869.53933,178356.59744052
1786467600000,2026-08-11T17:00:00Z,25.91,25.95,25.88,25.88,12088.983429,313270.28988408
1786467900000,2026-08-11T17:05:00Z,25.91,26,25.87,25.985,10381.150929,269488.44942628
1786468200000,2026-08-11T17:10:00Z,25.995,26.0473,25.96,25.98,18019.482357,468612.85622791
1786468500000,2026-08-11T17:15:00Z,25.99,26.115,25.96,26.115,16961.000365,441835.75560829
1786468800000,2026-08-11T17:20:00Z,26.12,26.12,26.045,26.065,10739.378765,280081.92425332
1786469100000,2026-08-11T17:25:00Z,26.07,26.1,26.04,26.045,11079.794337000001,288910.06925501
1786469400000,2026-08-11T17:30:00Z,26.05,26.11,26.0427,26.05,7662.204192,199799.63651059
1786469700000,2026-08-11T17:35:00Z,26.13,26.15,25.95,25.97,33857.222454,880944.61391961
1786470000000,2026-08-11T17:40:00Z,25.95,26.0299,25.94,25.96,14043.36683,364853.69192682
1786470300000,2026-08-11T17:45:00Z,25.94,25.9773,25.9,25.9,19657.164598000003,510085.72986996
1786470600000,2026-08-11T17:50:00Z,25.93,25.95,25.865,25.895,18316.471300999998,474658.5322355
1786470900000,2026-08-11T17:55:00Z,25.945,25.9875,25.88,25.905,21437.912711,556180.91979164
1786471200000,2026-08-11T18:00:00Z,25.875,26.04,25.875,25.99,11542.069345,299670.20902504
1786471500000,2026-08-11T18:05:00Z,26.06,26.15,26.04,26.13,16788.726875,437866.78562688
1786471800000,2026-08-11T18:10:00Z,26.12,26.14,26.0701,26.13,12892.636332,336655.09842845
1786472100000,2026-08-11T18:15:00Z,26.07,26.11,26.0308,26.04,13696.172045,357167.40497231
1786472400000,2026-08-11T18:20:00Z,26.06,26.07,26,26.01,10700.3811,278571.58148118
1786472700000,2026-08-11T18:25:00Z,26.06,26.07,25.94,25.97,17102.229154,445061.57061203
1786473000000,2026-08-11T18:30:00Z,25.97,26.085,25.97,26.085,8930.939677,232685.80925059
1786473300000,2026-08-11T18:35:00Z,26.1,26.1499,26.09,26.09,15166.042510000001,396023.28504238
1786473600000,2026-08-11T18:40:00Z,26.095,26.14,26.05,26.12,16216.273202,423129.59503247
1786473900000,2026-08-11T18:45:00Z,26.14,26.37,26.13,26.34,37592.198675,986877.91805584
1786474200000,2026-08-11T18:50:00Z,26.385,26.55,26.335,26.54,82761.85417600001,2186874.40619037
1786474500000,2026-08-11T18:55:00Z,26.54,26.62,26.49,26.62,52411.51524,1391090.71404551
1786474800000,2026-08-11T19:00:00Z,26.63,26.8499,26.57,26.615,132023.211764,3523224.23841881
1786475100000,2026-08-11T19:05:00Z,26.615,26.67,26.5,26.6,96167.090947,2554707.62113434
1786475400000,2026-08-11T19:10:00Z,26.59,26.605,26.52,26.58,20389.32077,541752.40858721
1786475700000,2026-08-11T19:15:00Z,26.57,26.63,26.55,26.61,38757.95946,1030523.7566941
1786476000000,2026-08-11T19:20:00Z,26.625,26.85,26.57,26.655,59194.582736,1580258.58072026
1786476300000,2026-08-11T19:25:00Z,26.585,26.64,26.535,26.6,39466.595112,1049487.80389928
1786476600000,2026-08-11T19:30:00Z,26.68,26.73,26.59,26.665,56635.353402,1509643.66260701
1786476900000,2026-08-11T19:35:00Z,26.645,26.72,26.57,26.66,65650.935788,1748671.76055559
1786477200000,2026-08-11T19:40:00Z,26.66,26.7,26.58,26.58,71195.444395,1896347.61781634
1786477500000,2026-08-11T19:45:00Z,26.53,26.62,26.45,26.56,83990.12492799999,2229736.24053857
1786477800000,2026-08-11T19:50:00Z,26.58,26.6,26.34,26.42,128286.55639100002,3399337.17124872
1786478100000,2026-08-11T19:55:00Z,26.33,26.47,26.19,26.43,300017.424139,7908189.28462231
1786478400000,2026-08-11T20:00:00Z,26.36,26.43,26.0549,26.43,33535.531262000004,881914.04757495
1786478700000,2026-08-11T20:05:00Z,27.17,27.68,25.15,27.17,50680.551988,1344641.20118002
1786479000000,2026-08-11T20:10:00Z,24.84,26.4,24.61,26.36,57848.690407,1489424.44703999
1786479300000,2026-08-11T20:15:00Z,26.07,26.38,25.8362,26.31,15423.953843000001,402727.14681765
1786479600000,2026-08-11T20:20:00Z,26.01,26.38,25.75,26.01,17226.131282000002,449030.11890164
1786479900000,2026-08-11T20:25:00Z,26.24,26.9465,26.1762,26.63,24917.599967,660014.8961659
1786480200000,2026-08-11T20:30:00Z,26.61,26.8698,26.2,26.43,10855.826689,289200.30857763
1786480500000,2026-08-11T20:35:00Z,26.34,26.7931,26.26,26.33,13863.184874,367795.83998117
1786480800000,2026-08-11T20:40:00Z,26.52,26.82,26.27,26.52,16142.698918999999,428288.40209956
1786481100000,2026-08-11T20:45:00Z,26.64,26.69,26.3261,26.5624,12892.729323,342338.06316775
1786481400000,2026-08-11T20:50:00Z,26.5,26.6858,26.31,26.4815,6970,185112.048
1786481700000,2026-08-11T20:55:00Z,26.7,26.95,26.4815,26.5651,9574,255702.392
1786482000000,2026-08-11T21:00:00Z,26.9,27.76,26.7,27.49,20970.758546999998,572390.5633128
1786482300000,2026-08-11T21:05:00Z,26.99,27.3157,26.91,27.01,16559.154573,448662.01357815
1786482600000,2026-08-11T21:10:00Z,27.04,27.26,27,27.04,8919,241744.1436
1786482900000,2026-08-11T21:15:00Z,27.16,27.75,27.136,27.51,19074.198276,524607.21228397
1786483200000,2026-08-11T21:20:00Z,27.51,27.52,27,27.49,12143.255239,332362.11021695
1786483500000,2026-08-11T21:25:00Z,27.2,27.3,27,27.1,4487.098147,121564.01428871
1786483800000,2026-08-11T21:30:00Z,27.0145,27.2535,27.0096,27.0234,3583,96998.976
1786484100000,2026-08-11T21:35:00Z,27.1,27.12,27.08,27.08,2193,59437.7562
1786484400000,2026-08-11T21:40:00Z,27.08,27.25,27,27.25,12495,339727.8045
1786484700000,2026-08-11T21:45:00Z,27.2336,27.25,26.9524,27.15,2178.07927,59132.4562933
1786485000000,2026-08-11T21:50:00Z,27.26,27.356,27.25,27.35,1237,33767.0075
1786485300000,2026-08-11T21:55:00Z,27.31,27.35,27.25,27.3,6899,188348.2192
1786485600000,2026-08-11T22:00:00Z,27.3,27.3768,27.2,27.2,5810.71,158490.601676
1786485900000,2026-08-11T22:05:00Z,27.06,27.3282,27.06,27.3282,4645,126244.1325
1786486200000,2026-08-11T22:10:00Z,27.33,27.6794,27.3235,27.66,5137.895372999999,141459.10435712
1786486500000,2026-08-11T22:15:00Z,27.6,27.6383,27.56,27.6383,1060,29244.976
1786486800000,2026-08-11T22:20:00Z,27.6312,27.6384,27.5401,27.62,782,21581.1668
1786487100000,2026-08-11T22:25:00Z,27.5401,27.58,27.5,27.5,2496,68707.8912
