ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,22.33,22.375,22.33,22.36,37437.009789,836601.1140538
1784043600000,2026-07-14T15:40:00Z,22.33,22.37,22.33,22.36,10550.609032,235783.95558623
1784043900000,2026-07-14T15:45:00Z,22.355,22.382,22.355,22.365,7999.087235999999,178931.58238208
1784044200000,2026-07-14T15:50:00Z,22.33,22.39,22.32,22.36,24379.129942,544944.25368053
1784044500000,2026-07-14T15:55:00Z,22.34,22.365,22.33,22.34,17166.887003,383575.20650633
1784044800000,2026-07-14T16:00:00Z,22.36,22.37,22.33,22.345,28641.215621,640134.03325091
1784045100000,2026-07-14T16:05:00Z,22.32,22.38,22.31,22.38,40048.875091999995,894639.80601766
1784045400000,2026-07-14T16:10:00Z,22.35,22.409,22.35,22.38,26443.180968999997,592002.00257968
1784045700000,2026-07-14T16:15:00Z,22.385,22.41,22.375,22.39,21661.81253,484968.99128415
1784046000000,2026-07-14T16:20:00Z,22.405,22.405,22.365,22.385,15526.214194999999,347546.54164798
1784046300000,2026-07-14T16:25:00Z,22.385,22.395,22.385,22.39,9935.586397000001,222465.72789795
1784046600000,2026-07-14T16:30:00Z,22.4,22.415,22.395,22.405,23625.972672000004,529469.86056586
1784046900000,2026-07-14T16:35:00Z,22.425,22.43,22.37,22.39,21059.150061,471847.10443675
1784047200000,2026-07-14T16:40:00Z,22.365,22.38,22.343,22.38,29572.305715,661449.67638855
1784047500000,2026-07-14T16:45:00Z,22.35,22.35,22.32,22.32,24256.157643000002,541758.85534064
1784047800000,2026-07-14T16:50:00Z,22.33,22.35,22.325,22.35,12362.896543,276150.02008099
1784048100000,2026-07-14T16:55:00Z,22.35,22.36,22.325,22.34,16577.122927,370291.48338186
1784048400000,2026-07-14T17:00:00Z,22.34,22.356,22.335,22.34,21466.071064999996,479725.90276773
1784048700000,2026-07-14T17:05:00Z,22.35,22.355,22.29,22.33,53236.321814999996,1188128.23026717
1784049000000,2026-07-14T17:10:00Z,22.32,22.33,22.31,22.315,18210.37556,406592.1603159
1784049300000,2026-07-14T17:15:00Z,22.31,22.334,22.305,22.33,14690.455716,327932.10485712
1784049600000,2026-07-14T17:20:00Z,22.31,22.355,22.295,22.345,19055.939795,425452.43983307
1784049900000,2026-07-14T17:25:00Z,22.33,22.345,22.325,22.325,17194.785771000003,384066.17393821
1784050200000,2026-07-14T17:30:00Z,22.35,22.35,22.315,22.33,16825.393031,375692.5184499
1784050500000,2026-07-14T17:35:00Z,22.34,22.34,22.321,22.325,12048.95221,269013.34130701
1784050800000,2026-07-14T17:40:00Z,22.335,22.39,22.325,22.35,39597.637802,884785.45810301
1784051100000,2026-07-14T17:45:00Z,22.34,22.37,22.33,22.35,15913.201314,355728.47613355
1784051400000,2026-07-14T17:50:00Z,22.36,22.41,22.355,22.405,20050.817025,448608.95979054
1784051700000,2026-07-14T17:55:00Z,22.425,22.43,22.395,22.395,14195.780050000001,318154.4029026
1784052000000,2026-07-14T18:00:00Z,22.39,22.45,22.39,22.45,33560.507767,752480.28094857
1784052300000,2026-07-14T18:05:00Z,22.435,22.462,22.42,22.42,45407.483161000004,1018980.24811937
1784052600000,2026-07-14T18:10:00Z,22.405,22.43,22.405,22.43,19702.801162,441721.03981111
1784052900000,2026-07-14T18:15:00Z,22.415,22.415,22.395,22.4,16379.656207,366896.1092087
1784053200000,2026-07-14T18:20:00Z,22.385,22.415,22.385,22.415,14486.204569999998,324501.1227112
1784053500000,2026-07-14T18:25:00Z,22.39,22.435,22.39,22.425,29350.181630999996,657661.25987847
1784053800000,2026-07-14T18:30:00Z,22.46,22.49,22.429,22.49,36959.161458,830113.85409512
1784054100000,2026-07-14T18:35:00Z,22.485,22.485,22.435,22.435,15982.425894999998,358902.95414071
1784054400000,2026-07-14T18:40:00Z,22.455,22.457,22.415,22.425,24630.689484,552530.40491878
1784054700000,2026-07-14T18:45:00Z,22.44,22.465,22.42,22.465,24399.66089,547423.47182977
1784055000000,2026-07-14T18:50:00Z,22.45,22.475,22.45,22.46,15846.854801,355904.51197566
1784055300000,2026-07-14T18:55:00Z,22.46,22.46,22.43,22.43,35199.844492,790236.5088454
1784055600000,2026-07-14T19:00:00Z,22.45,22.52,22.44,22.49,34950.033004,785764.11701243
1784055900000,2026-07-14T19:05:00Z,22.52,22.52,22.46,22.465,25744.340491999996,578773.96520495
1784056200000,2026-07-14T19:10:00Z,22.47,22.54,22.464,22.51,39879.098064000005,897562.84803625
1784056500000,2026-07-14T19:15:00Z,22.5,22.515,22.48,22.5,32138.125549999997,722943.92043469
1784056800000,2026-07-14T19:20:00Z,22.49,22.51,22.47,22.485,32509.147134000003,731355.03215888
