ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,48.74,48.748,48.716,48.725,38280.19152,1865309.51634826
1784043600000,2026-07-14T15:40:00Z,48.725,48.725,48.677,48.69,83133.70654900001,4048711.26938416
1784043900000,2026-07-14T15:45:00Z,48.71,48.74,48.71,48.74,20527.966552,1000153.32236327
1784044200000,2026-07-14T15:50:00Z,48.725,48.725,48.675,48.685,33255.618293,1619083.032213
1784044500000,2026-07-14T15:55:00Z,48.68,48.69,48.66,48.67,24563.850076999996,1195579.08010277
1784044800000,2026-07-14T16:00:00Z,48.65,48.675,48.645,48.66,15985.302044,777804.83420593
1784045100000,2026-07-14T16:05:00Z,48.66,48.665,48.635,48.665,48247.370551,2347142.9073021
1784045400000,2026-07-14T16:10:00Z,48.65,48.695,48.65,48.66,14938,726972.708
1784045700000,2026-07-14T16:15:00Z,48.7,48.7,48.685,48.695,23680.061538,1153053.23646983
1784046000000,2026-07-14T16:20:00Z,48.695,48.695,48.665,48.67,32279.025999999998,1571394.6321216
1784046300000,2026-07-14T16:25:00Z,48.695,48.705,48.685,48.695,18833.414259,917072.39058632
1784046600000,2026-07-14T16:30:00Z,48.72,48.73,48.7,48.7,15138.756695999999,737476.96306729
1784046900000,2026-07-14T16:35:00Z,48.71,48.735,48.705,48.72,16043.125334,781627.48352261
1784047200000,2026-07-14T16:40:00Z,48.72,48.764,48.72,48.76,68188.1,3324374.4393
1784047500000,2026-07-14T16:45:00Z,48.75,48.754,48.715,48.72,70049.245706,3413835.97963277
1784047800000,2026-07-14T16:50:00Z,48.72,48.74,48.72,48.74,26802.025,1306132.363515
1784048100000,2026-07-14T16:55:00Z,48.735,48.745,48.735,48.744,11695.514915,570051.09247202
1784048400000,2026-07-14T17:00:00Z,48.745,48.745,48.72,48.735,36344,1771392.0224
1784048700000,2026-07-14T17:05:00Z,48.735,48.739,48.715,48.73,12584.047143,613138.82097196
1784049000000,2026-07-14T17:10:00Z,48.73,48.745,48.73,48.735,8495.051702,414041.17440895
1784049300000,2026-07-14T17:15:00Z,48.72,48.74,48.71,48.74,53852.738834,2624012.39660383
1784049600000,2026-07-14T17:20:00Z,48.74,48.755,48.735,48.74,15725.567500000001,766571.093809
1784049900000,2026-07-14T17:25:00Z,48.74,48.755,48.74,48.755,13131.793768000001,640161.81439623
1784050200000,2026-07-14T17:30:00Z,48.735,48.755,48.735,48.735,18235.270582,888825.3822349
1784050500000,2026-07-14T17:35:00Z,48.72,48.735,48.72,48.725,17513.941172,853454.35331156
1784050800000,2026-07-14T17:40:00Z,48.715,48.725,48.715,48.725,15305.82087,745664.3893984
1784051100000,2026-07-14T17:45:00Z,48.725,48.725,48.71,48.71,11764.575635000001,573121.8901771
1784051400000,2026-07-14T17:50:00Z,48.725,48.729,48.725,48.725,8475.016484999998,412946.87323492
1784051700000,2026-07-14T17:55:00Z,48.725,48.725,48.715,48.725,21191,1032482.7357
1784052000000,2026-07-14T18:00:00Z,48.705,48.72,48.695,48.72,26159.767954,1274161.20175868
1784052300000,2026-07-14T18:05:00Z,48.705,48.715,48.705,48.71,11890.052,579158.487894
1784052600000,2026-07-14T18:10:00Z,48.725,48.725,48.705,48.705,6210,302520.15
1784052900000,2026-07-14T18:15:00Z,48.71,48.725,48.705,48.71,13920.309669,678158.51020661
1784053200000,2026-07-14T18:20:00Z,48.71,48.725,48.71,48.71,6385.3119879999995,311094.31564896
1784053500000,2026-07-14T18:25:00Z,48.7,48.72,48.7,48.7,39854.799533,1941163.88057434
