ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,7.71,7.725,7.675,7.68,483266.99545200006,3721832.43877403
1784043600000,2026-07-14T15:40:00Z,7.67,7.725,7.67,7.725,1426633.828672,10970956.80587055
1784043900000,2026-07-14T15:45:00Z,7.71,7.76,7.705,7.76,754110.502672,5827765.96464922
1784044200000,2026-07-14T15:50:00Z,7.75,7.75,7.725,7.73,628861.941375,4865630.61280665
1784044500000,2026-07-14T15:55:00Z,7.74,7.775,7.72,7.775,841327.485756,6512716.0672372
1784044800000,2026-07-14T16:00:00Z,7.78,7.78,7.73,7.735,436523.164628,3383534.70134809
1784045100000,2026-07-14T16:05:00Z,7.74,7.795,7.73,7.78,749558.514699,5819122.57301422
1784045400000,2026-07-14T16:10:00Z,7.79,7.805,7.76,7.775,557781.552875,4342719.83621889
1784045700000,2026-07-14T16:15:00Z,7.77,7.79,7.755,7.79,315680.02197400003,2454601.57886103
1784046000000,2026-07-14T16:20:00Z,7.79,7.8,7.76,7.795,795366.42372,6186519.1169789
1784046300000,2026-07-14T16:25:00Z,7.8,7.805,7.785,7.795,609791.102093,4756126.67988456
1784046600000,2026-07-14T16:30:00Z,7.8,7.81,7.79,7.795,607653.8608789999,4738606.33790662
1784046900000,2026-07-14T16:35:00Z,7.795,7.81,7.76,7.775,1007353.7557300001,7839831.3393443
1784047200000,2026-07-14T16:40:00Z,7.775,7.795,7.765,7.795,389027.765698,3023835.01721741
1784047500000,2026-07-14T16:45:00Z,7.795,7.795,7.755,7.765,514760.72615400003,3999381.98578089
1784047800000,2026-07-14T16:50:00Z,7.76,7.79,7.756,7.77,651069.556681,5060633.45017008
1784048100000,2026-07-14T16:55:00Z,7.765,7.775,7.73,7.75,587989.898863,4559097.27881404
1784048400000,2026-07-14T17:00:00Z,7.76,7.77,7.74,7.74,1240630.518601,9621461.86090634
1784048700000,2026-07-14T17:05:00Z,7.76,7.76,7.71,7.73,885920.199662,6847985.95934733
1784049000000,2026-07-14T17:10:00Z,7.74,7.74,7.705,7.72,1032649.840255,7976084.10114559
1784049300000,2026-07-14T17:15:00Z,7.72,7.73,7.7,7.705,2676008.988743,20641127.73377026
1784049600000,2026-07-14T17:20:00Z,7.69,7.73,7.69,7.72,956306.904431,7373508.75592478
1784049900000,2026-07-14T17:25:00Z,7.7,7.76,7.7,7.745,1120888.348172,8658638.31195907
1784050200000,2026-07-14T17:30:00Z,7.745,7.775,7.735,7.74,576156.425088,4466652.68549472
1784050500000,2026-07-14T17:35:00Z,7.72,7.76,7.72,7.75,753817.24312,5836882.29520247
1784050800000,2026-07-14T17:40:00Z,7.75,7.76,7.735,7.74,291557.182074,2257381.48220795
1784051100000,2026-07-14T17:45:00Z,7.73,7.745,7.725,7.725,618469.7792110001,4784915.14082174
1784051400000,2026-07-14T17:50:00Z,7.725,7.77,7.71,7.77,858019.423409,6643815.99934057
1784051700000,2026-07-14T17:55:00Z,7.78,7.795,7.735,7.74,627877.178363,4876722.04434542
1784052000000,2026-07-14T18:00:00Z,7.76,7.775,7.745,7.77,453778.384074,3518824.47930183
1784052300000,2026-07-14T18:05:00Z,7.76,7.77,7.745,7.75,349985.131485,2714834.66492915
