ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,231.34,232.05,231.18,231.9,34041.534055,7884846.49641554
1784043600000,2026-07-14T15:40:00Z,231.81,231.941,230.985,231.73,41363.711228,9574503.73802751
1784043900000,2026-07-14T15:45:00Z,231.81,232.16,231.766,231.89,34690.313778,8048687.02732818
1784044200000,2026-07-14T15:50:00Z,231.96,231.96,230.62,230.62,45103.390960000004,10429789.31169413
1784044500000,2026-07-14T15:55:00Z,230.83,231.31,230.64,231.27,32434.716119000004,7490693.89659147
1784044800000,2026-07-14T16:00:00Z,231.41,231.445,230.36,230.68,44180.375124000006,10207221.80284837
1784045100000,2026-07-14T16:05:00Z,230.65,230.8,229.83,230.41,66231.597575,15247719.17684087
1784045400000,2026-07-14T16:10:00Z,230.35,230.49,230,230.09,23965.450352000003,5518835.80340962
1784045700000,2026-07-14T16:15:00Z,230.08,231.003,229.625,230.775,24711.764610000002,5688144.09322396
1784046000000,2026-07-14T16:20:00Z,231.04,231.54,230.84,231.09,42009.257324000006,9713430.88956407
1784046300000,2026-07-14T16:25:00Z,231.16,231.42,230.93,230.955,35017.857352000006,8095228.66084845
1784046600000,2026-07-14T16:30:00Z,230.945,231.16,229.82,230.33,75482.27341699999,17398747.05311926
1784046900000,2026-07-14T16:35:00Z,230.325,230.58,230.025,230.44,36225.582317,8342968.961099
1784047200000,2026-07-14T16:40:00Z,230.515,231.239,230.42,231.01,5685.0740000000005,1312364.0854412
1784047500000,2026-07-14T16:45:00Z,231.08,231.17,230.62,230.88,3839,886456.1959
1784047800000,2026-07-14T16:50:00Z,231.12,231.44,230.77,231.19,9599.388478,2220377.91245416
1784048100000,2026-07-14T16:55:00Z,231.205,231.59,231.205,231.335,39730.861411,9193216.74856548
1784048400000,2026-07-14T17:00:00Z,231.31,231.796,231.24,231.58,41768.466821,9671091.69196775
1784048700000,2026-07-14T17:05:00Z,231.59,231.99,231.48,231.99,38285.818866,8873454.46700829
1784049000000,2026-07-14T17:10:00Z,231.975,232.66,231.795,232.43,94144.089519,21860502.36094455
1784049300000,2026-07-14T17:15:00Z,232.35,232.95,232.1,232.94,39046.185066,9073513.43945201
1784049600000,2026-07-14T17:20:00Z,232.93,233.5,232.87,233.385,59268.394556,13824833.1041829
1784049900000,2026-07-14T17:25:00Z,233.41,233.61,233.15,233.245,39002.94705,9103081.12585064
1784050200000,2026-07-14T17:30:00Z,233.32,233.38,232.725,232.725,43457.893317,10132803.19999699
1784050500000,2026-07-14T17:35:00Z,232.63,233.505,232.58,233.285,48363.74613199999,11276215.37478417
1784050800000,2026-07-14T17:40:00Z,233.32,233.6,233.07,233.4,53173.402773,12408002.902399
1784051100000,2026-07-14T17:45:00Z,233.39,233.756,233.29,233.63,51727.5109,12077121.98938622
1784051400000,2026-07-14T17:50:00Z,233.715,234.21,233.672,234.17,42371.330453,9915120.13118645
1784051700000,2026-07-14T17:55:00Z,234.21,234.298,233.83,234.135,61619.626252,14423379.86035714
1784052000000,2026-07-14T18:00:00Z,234.08,234.129,233.32,233.515,51720.301324,12080765.91889833
1784052300000,2026-07-14T18:05:00Z,233.605,233.773,233.11,233.77,55378.509531,12930012.53288886
1784052600000,2026-07-14T18:10:00Z,233.8,233.905,233.689,233.78,44744.899487999995,10461907.8625581
1784052900000,2026-07-14T18:15:00Z,233.74,233.855,233.5,233.85,45291.641898999995,10583338.72501704
1784053200000,2026-07-14T18:20:00Z,233.805,233.847,233.12,233.15,39033.38288600001,9113381.52272147
1784053500000,2026-07-14T18:25:00Z,233.18,233.47,233.13,233.32,49818.422564,11623674.20737053
1784053800000,2026-07-14T18:30:00Z,233.29,233.435,232.82,233.075,55045.883291000006,12831668.7897284
1784054100000,2026-07-14T18:35:00Z,233.135,233.35,232.74,232.945,77683.85723600001,18108301.33135469
1784054400000,2026-07-14T18:40:00Z,232.92,232.964,232.38,232.66,64926.707781000005,15109211.03579052
1784054700000,2026-07-14T18:45:00Z,232.62,232.863,232.32,232.36,49608.614795,11541211.07156721
1784055000000,2026-07-14T18:50:00Z,232.39,232.71,232.235,232.58,54756.253582,12731639.35036801
1784055300000,2026-07-14T18:55:00Z,232.58,232.681,232.365,232.38,55247.160069,12847312.72034543
1784055600000,2026-07-14T19:00:00Z,232.34,232.62,230.74,230.83,68613.09555,15888569.86508418
1784055900000,2026-07-14T19:05:00Z,230.85,231.15,230.65,230.81,58297.112054,13462307.23875959
1784056200000,2026-07-14T19:10:00Z,230.76,231.66,230.505,231.515,71336.535338,16498806.63046858
1784056500000,2026-07-14T19:15:00Z,231.54,232.24,231.539,232.11,61895.016842,14359303.48475137
1784056800000,2026-07-14T19:20:00Z,232.06,232.22,231.75,231.945,61463.291075,14261585.57395477
1784057100000,2026-07-14T19:25:00Z,231.92,231.97,229.84,229.92,102018.32005099999,23551082.21125342
1784057400000,2026-07-14T19:30:00Z,229.95,230.765,229.41,230.68,148354.73955300002,34126352.28432966
1784057700000,2026-07-14T19:35:00Z,230.68,231.18,230.4,230.49,100750.91363699999,23263486.70969693
1784058000000,2026-07-14T19:40:00Z,230.47,230.99,230.27,230.84,120086.95665199998,27698440.83004508
1784058300000,2026-07-14T19:45:00Z,230.84,231.13,230.67,231.1,136762.939177,31574172.56562172
1784058600000,2026-07-14T19:50:00Z,231.05,232.21,230.26,231.47,224178.87482899998,51869880.35708449
1784058900000,2026-07-14T19:55:00Z,231.525,231.54,229.9,230.26,453521.20715800003,104605482.76916559
1784059200000,2026-07-14T20:00:00Z,230.317,230.349,229.544,229.658,2550020.176632,587317587.05767028
1784059500000,2026-07-14T20:05:00Z,229.662,230.369,229.45,229.45,1729,397209.9131
1784059800000,2026-07-14T20:10:00Z,229.45,229.664,229.45,229.66,1011.563222,232223.456155
1784060100000,2026-07-14T20:15:00Z,229.51,229.66,229.51,229.51,579.825976,133162.07987439
1784060400000,2026-07-14T20:20:00Z,229.655,229.655,229.655,229.655,1472,338052.16
1784060700000,2026-07-14T20:25:00Z,229.655,229.655,229.655,229.655,127760.622,29340865.64541
1784061000000,2026-07-14T20:30:00Z,229.94,230.328,229.655,230.05,180,41360.742
1784061300000,2026-07-14T20:35:00Z,230.09,230.09,230.09,230.09,69.479017,15986.42702153
1784061600000,2026-07-14T20:40:00Z,230.09,230.575,230.09,230.575,63014,14529081.2674
1784061900000,2026-07-14T20:45:00Z,230.575,230.575,230.575,230.575,166,38275.45
1784062200000,2026-07-14T20:50:00Z,230.575,230.575,230.575,230.575,321,74014.575
1784062500000,2026-07-14T20:55:00Z,230.575,230.575,230.575,230.575,27,6225.525
1784062800000,2026-07-14T21:00:00Z,230.575,230.625,230.575,230.625,147,33899.3172
1784063100000,2026-07-14T21:05:00Z,230.625,230.625,230.625,230.625,17.058517000000002,3934.12048313
1784063400000,2026-07-14T21:10:00Z,230.625,230.625,230.11,230.11,188.18461100000002,43305.70132946
