ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,26.23,26.25,26.21,26.21,87833.060563,2304019.2780765
1784043600000,2026-07-14T15:40:00Z,26.2,26.245,26.2,26.23,102335.322,2683661.9511924
1784043900000,2026-07-14T15:45:00Z,26.245,26.28,26.24,26.255,95196.034359,2499562.27416426
1784044200000,2026-07-14T15:50:00Z,26.23,26.265,26.23,26.245,108256.190512,2841346.10427321
1784044500000,2026-07-14T15:55:00Z,26.25,26.25,26.23,26.23,58939.03809,1546707.70707683
1784044800000,2026-07-14T16:00:00Z,26.235,26.255,26.23,26.24,65468.668768999996,1718127.00883925
1784045100000,2026-07-14T16:05:00Z,26.235,26.245,26.22,26.235,84342.48932699999,2212742.07599171
1784045400000,2026-07-14T16:10:00Z,26.235,26.28,26.235,26.275,43745.444012,1148628.49796749
1784045700000,2026-07-14T16:15:00Z,26.27,26.275,26.245,26.265,87304.49085200002,2292947.68683876
1784046000000,2026-07-14T16:20:00Z,26.26,26.275,26.245,26.245,90596.958203,2378813.39123199
1784046300000,2026-07-14T16:25:00Z,26.245,26.275,26.245,26.26,41251.45342,1083362.17029741
1784046600000,2026-07-14T16:30:00Z,26.26,26.283,26.26,26.28,57724.44,1516732.750776
1784046900000,2026-07-14T16:35:00Z,26.27,26.275,26.215,26.22,57578.053302,1511585.11772675
1784047200000,2026-07-14T16:40:00Z,26.24,26.245,26.23,26.23,39423.852,1034371.4896944
1784047500000,2026-07-14T16:45:00Z,26.23,26.245,26.215,26.22,62287.620933,1633960.01612492
1784047800000,2026-07-14T16:50:00Z,26.25,26.25,26.229,26.25,24909.38117,653589.77970528
1784048100000,2026-07-14T16:55:00Z,26.235,26.245,26.235,26.235,31883.415602,836525.17514967
1784048400000,2026-07-14T17:00:00Z,26.235,26.235,26.215,26.215,40629.405178,1065725.54958101
1784048700000,2026-07-14T17:05:00Z,26.21,26.215,26.2,26.21,57137.520000000004,1497368.704128
1784049000000,2026-07-14T17:10:00Z,26.2,26.215,26.18,26.195,342531.908645,8974781.29798024
1784049300000,2026-07-14T17:15:00Z,26.175,26.195,26.17,26.175,100730.220633,2637852.50678256
1784049600000,2026-07-14T17:20:00Z,26.175,26.185,26.17,26.185,69288.364158,1813913.94296511
1784049900000,2026-07-14T17:25:00Z,26.185,26.205,26.185,26.2,111899.51161399999,2930838.4383404
1784050200000,2026-07-14T17:30:00Z,26.21,26.22,26.195,26.195,107691.483298,2822733.77616887
1784050500000,2026-07-14T17:35:00Z,26.195,26.205,26.186,26.19,48470.600956,1270089.69803035
1784050800000,2026-07-14T17:40:00Z,26.185,26.19,26.185,26.185,21677.232389999997,567618.33013215
1784051100000,2026-07-14T17:45:00Z,26.185,26.185,26.17,26.18,57355.077783,1501446.96171115
1784051400000,2026-07-14T17:50:00Z,26.185,26.185,26.175,26.175,90109.722401,2359198.68606954
1784051700000,2026-07-14T17:55:00Z,26.175,26.175,26.17,26.17,46333.444043999996,1212777.8978517
1784052000000,2026-07-14T18:00:00Z,26.17,26.2,26.17,26.185,93146.824511,2438677.01252249
1784052300000,2026-07-14T18:05:00Z,26.18,26.195,26.18,26.19,27937,731809.715
1784052600000,2026-07-14T18:10:00Z,26.18,26.195,26.175,26.18,65603.559318,1717966.9682164
1784052900000,2026-07-14T18:15:00Z,26.2,26.205,26.195,26.2,36656.0481,960322.47933342
1784053200000,2026-07-14T18:20:00Z,26.205,26.215,26.2,26.205,86330.346942,2262934.21921718
1784053500000,2026-07-14T18:25:00Z,26.207,26.215,26.201,26.215,36525,957177.8025
1784053800000,2026-07-14T18:30:00Z,26.205,26.215,26.195,26.195,68180,1787270.52
1784054100000,2026-07-14T18:35:00Z,26.195,26.205,26.175,26.195,208184.40758600002,5453390.55671527
1784054400000,2026-07-14T18:40:00Z,26.195,26.195,26.175,26.175,103196,2701671.28
1784054700000,2026-07-14T18:45:00Z,26.16,26.18,26.16,26.17,61045,1597694.158
1784055000000,2026-07-14T18:50:00Z,26.175,26.175,26.175,26.175,15987.2968,418467.49374
1784055300000,2026-07-14T18:55:00Z,26.175,26.18,26.165,26.18,111973.579468,2930438.15354113
1784055600000,2026-07-14T19:00:00Z,26.185,26.185,26.15,26.15,66428.65828,1738590.77310164
1784055900000,2026-07-14T19:05:00Z,26.155,26.175,26.155,26.17,29254.111053,765483.54769054
1784056200000,2026-07-14T19:10:00Z,26.18,26.18,26.16,26.175,58059.710047,1519410.99998798
1784056500000,2026-07-14T19:15:00Z,26.18,26.19,26.165,26.175,67815.64502,1775237.26594655
1784056800000,2026-07-14T19:20:00Z,26.175,26.2,26.175,26.2,33289.84914,871698.02871581
1784057100000,2026-07-14T19:25:00Z,26.2,26.2,26.185,26.19,19375.19092,507339.3742402
1784057400000,2026-07-14T19:30:00Z,26.175,26.185,26.15,26.16,419941.695642,10987480.50728598
1784057700000,2026-07-14T19:35:00Z,26.15,26.18,26.15,26.16,114635.32788,2999708.47876711
1784058000000,2026-07-14T19:40:00Z,26.165,26.185,26.165,26.17,233333.06493899997,6107516.30808482
1784058300000,2026-07-14T19:45:00Z,26.19,26.215,26.17,26.215,215262.51314599998,5636864.16924116
1784058600000,2026-07-14T19:50:00Z,26.215,26.215,26.187,26.195,351753.221532,9215934.4041384
1784058900000,2026-07-14T19:55:00Z,26.19,26.205,26.18,26.185,866250.0847100001,22690294.84386833
1784059200000,2026-07-14T20:00:00Z,26.194,26.2,26.17,26.2,313001.647169,8198452.14429762
1784059500000,2026-07-14T20:05:00Z,26.196,26.196,26.176,26.176,1309,34264.384
1784059800000,2026-07-14T20:10:00Z,26.175,26.175,26.156,26.156,1325.8067780000001,34693.84434738
1784060100000,2026-07-14T20:15:00Z,26.156,26.163,26.156,26.163,2774.026719,72560.21688888
1784060400000,2026-07-14T20:20:00Z,26.164,26.204,26.164,26.191,12778.763792,334479.03075008
1784060700000,2026-07-14T20:25:00Z,26.188,26.208,26.175,26.208,13718,359079.6244
1784061000000,2026-07-14T20:30:00Z,26.209,26.209,26.209,26.209,20,524.18
1784061300000,2026-07-14T20:35:00Z,26.21,26.21,26.21,26.21,13,340.73
1784061600000,2026-07-14T20:40:00Z,26.21,26.21,26.21,26.21,1,26.21
1784061900000,2026-07-14T20:45:00Z,26.21,26.21,26.21,26.21,3,78.63
1784062800000,2026-07-14T21:00:00Z,26.21,26.21,26.21,26.21,1,26.21
1784063100000,2026-07-14T21:05:00Z,26.207,26.207,26.197,26.197,0,0
1784063400000,2026-07-14T21:10:00Z,26.196,26.196,26.196,26.196,26,681.096
1784063700000,2026-07-14T21:15:00Z,26.196,26.21,26.196,26.21,3115.186284,81649.03250364
1784064300000,2026-07-14T21:25:00Z,26.21,26.21,26.21,26.21,1002,26262.42
1784064900000,2026-07-14T21:35:00Z,26.21,26.21,26.21,26.21,4,104.84
1784065800000,2026-07-14T21:50:00Z,26.207,26.207,26.196,26.196,4,104.828
1784066100000,2026-07-14T21:55:00Z,26.196,26.196,26.196,26.196,4,104.784
1784067000000,2026-07-14T22:10:00Z,26.196,26.196,26.195,26.195,80,2095.632
1784067300000,2026-07-14T22:15:00Z,26.195,26.195,26.195,26.195,10,261.95
1784067600000,2026-07-14T22:20:00Z,26.195,26.195,26.195,26.195,40,1047.8
1784067900000,2026-07-14T22:25:00Z,26.197,26.203,26.197,26.203,0,0
1784068500000,2026-07-14T22:35:00Z,26.204,26.204,26.204,26.204,3,78.612
1784069100000,2026-07-14T22:45:00Z,26.205,26.205,26.205,26.205,56.723653,1486.44332687
1784070300000,2026-07-14T23:05:00Z,26.205,26.205,26.205,26.205,20,524.1
1784070600000,2026-07-14T23:10:00Z,26.205,26.205,26.205,26.205,42,1100.61
1784070900000,2026-07-14T23:15:00Z,26.205,26.205,26.205,26.205,27,707.535
1784071200000,2026-07-14T23:20:00Z,26.205,26.205,26.205,26.205,2,52.41
1784071500000,2026-07-14T23:25:00Z,26.205,26.205,26.205,26.205,6,157.23
1784072100000,2026-07-14T23:35:00Z,26.205,26.205,26.205,26.205,50,1310.25
1784072700000,2026-07-14T23:45:00Z,26.205,26.299,26.205,26.299,591,15492.5331
1784073000000,2026-07-14T23:50:00Z,26.3,26.324,26.3,26.324,15,394.56
1784073300000,2026-07-14T23:55:00Z,26.323,26.323,26.315,26.315,345,9081.0555
1784073900000,2026-07-15T00:05:00Z,26.21,26.21,26.21,26.21,198,5189.58
1784078100000,2026-07-15T01:15:00Z,26.34,26.39,26.34,26.39,4,105.45
1784079000000,2026-07-15T01:30:00Z,26.29,26.29,26.02,26.05,6927,181381.44
1784079300000,2026-07-15T01:35:00Z,26.05,26.14,26.05,26.11,5573,145526.54
1784079600000,2026-07-15T01:40:00Z,26.21,26.25,26.21,26.25,3955,103795.13
1784079900000,2026-07-15T01:45:00Z,26.2,26.2,26.2,26.2,94,2462.8
1784080200000,2026-07-15T01:50:00Z,26.28,26.28,26.28,26.28,1,26.28
1784080500000,2026-07-15T01:55:00Z,26.46,26.51,26.46,26.51,430,11396.25
1784080800000,2026-07-15T02:00:00Z,26.57,26.61,26.57,26.58,680,18073.97
1784081100000,2026-07-15T02:05:00Z,26.52,26.56,26.47,26.47,3145,83368.25
1784081400000,2026-07-15T02:10:00Z,26.45,26.46,26.44,26.44,202,5344.89
1784081700000,2026-07-15T02:15:00Z,26.42,26.42,26.35,26.35,4396,116003.81
1784082000000,2026-07-15T02:20:00Z,26.37,26.37,26.37,26.37,400,10548
1784082300000,2026-07-15T02:25:00Z,26.45,26.45,26.44,26.44,737,19488.28
1784082600000,2026-07-15T02:30:00Z,26.46,26.53,26.46,26.53,928,24591.38
1784082900000,2026-07-15T02:35:00Z,26.53,26.53,26.53,26.53,3,79.59
1784083200000,2026-07-15T02:40:00Z,26.58,26.58,26.58,26.58,350,9303
1784083500000,2026-07-15T02:45:00Z,26.62,26.62,26.62,26.62,51,1357.62
1784083800000,2026-07-15T02:50:00Z,26.63,26.63,26.63,26.63,50,1331.5
1784084700000,2026-07-15T03:05:00Z,26.64,26.69,26.64,26.69,110,2935.4
1784085000000,2026-07-15T03:10:00Z,26.68,26.85,26.68,26.73,4051,108621.69
1784085300000,2026-07-15T03:15:00Z,26.82,26.83,26.72,26.72,3968,106455.81
1784085600000,2026-07-15T03:20:00Z,26.75,26.76,26.75,26.76,650,17388.5
1784085900000,2026-07-15T03:25:00Z,26.69,26.69,26.69,26.69,508,13558.52
1784086200000,2026-07-15T03:30:00Z,26.68,26.7,26.68,26.7,210,5602.96
1784086500000,2026-07-15T03:35:00Z,26.74,26.78,26.74,26.78,2317,62048.06
1784086800000,2026-07-15T03:40:00Z,26.76,26.79,26.76,26.79,292,7814.88
1784087100000,2026-07-15T03:45:00Z,26.74,26.74,26.74,26.74,2,53.48
1784087400000,2026-07-15T03:50:00Z,26.73,26.78,26.73,26.78,2104,56344.92
1784088600000,2026-07-15T04:10:00Z,26.73,26.74,26.73,26.74,2700,72197
1784088900000,2026-07-15T04:15:00Z,26.71,26.71,26.71,26.71,22,587.62
1784089800000,2026-07-15T04:30:00Z,26.72,26.72,26.68,26.68,6399,170932.27
1784090700000,2026-07-15T04:45:00Z,26.66,26.69,26.66,26.69,2676,71361.68
1784091000000,2026-07-15T04:50:00Z,26.67,26.72,26.66,26.66,4883,130369.69
1784091300000,2026-07-15T04:55:00Z,26.67,26.67,26.67,26.67,300,8001
1784091900000,2026-07-15T05:05:00Z,26.67,26.67,26.67,26.67,105,2800.35
1784092200000,2026-07-15T05:10:00Z,26.73,26.74,26.73,26.74,158,4223.89
1784092500000,2026-07-15T05:15:00Z,26.7,26.7,26.7,26.7,55,1468.5
1784092800000,2026-07-15T05:20:00Z,26.69,26.69,26.69,26.69,50,1334.5
1784093100000,2026-07-15T05:25:00Z,26.64,26.64,26.64,26.64,1,26.64
1784093400000,2026-07-15T05:30:00Z,26.7,26.71,26.7,26.71,1112,29700.4
1784094300000,2026-07-15T05:45:00Z,26.75,26.79,26.75,26.79,1137,30445.86
1784094900000,2026-07-15T05:55:00Z,26.75,26.81,26.75,26.81,614,16448.09
1784095200000,2026-07-15T06:00:00Z,26.83,26.84,26.78,26.78,4450,119391
1784095500000,2026-07-15T06:05:00Z,26.77,26.77,26.75,26.75,1864,49879.77
1784095800000,2026-07-15T06:10:00Z,26.73,26.73,26.69,26.69,482,12864.66
1784096100000,2026-07-15T06:15:00Z,26.72,26.72,26.72,26.72,30,801.6
1784096400000,2026-07-15T06:20:00Z,26.74,26.74,26.74,26.74,2500,66850
1784096700000,2026-07-15T06:25:00Z,26.73,26.73,26.73,26.73,100,2673
1784097000000,2026-07-15T06:30:00Z,26.78,26.79,26.74,26.74,1164,31170.36
1784097300000,2026-07-15T06:35:00Z,26.74,26.76,26.74,26.76,2930,78351.3
1784097600000,2026-07-15T06:40:00Z,26.7,26.7,26.7,26.7,191,5099.7
1784098200000,2026-07-15T06:50:00Z,26.72,26.72,26.72,26.72,858,22925.76
1784098800000,2026-07-15T07:00:00Z,26.74,26.74,26.73,26.73,405,10826.68
1784099100000,2026-07-15T07:05:00Z,26.73,26.73,26.73,26.73,18,481.14
1784099400000,2026-07-15T07:10:00Z,26.72,26.72,26.72,26.72,2000,53440
1784099700000,2026-07-15T07:15:00Z,26.74,26.74,26.72,26.72,1650,44095
1784100000000,2026-07-15T07:20:00Z,26.7,26.7,26.7,26.7,1019,27207.3
1784100300000,2026-07-15T07:25:00Z,26.71,26.71,26.68,26.68,2157,57596.47
1784100600000,2026-07-15T07:30:00Z,26.71,26.71,26.68,26.68,2419,64554.63
1784100900000,2026-07-15T07:35:00Z,26.69,26.69,26.69,26.69,76,2028.44
1784102100000,2026-07-15T07:55:00Z,26.74,26.76,26.69,26.69,1033,27616.91
1784102400000,2026-07-15T08:00:00Z,26.391,26.77,26.391,26.589,52629.057792,1403548.55353751
1784102700000,2026-07-15T08:05:00Z,26.597,26.683,26.597,26.683,0,0
1784103000000,2026-07-15T08:10:00Z,26.684,26.684,26.67,26.67,3500,93387
1784103300000,2026-07-15T08:15:00Z,26.669,26.669,26.666,26.666,0,0
1784103600000,2026-07-15T08:20:00Z,26.664,26.664,26.66,26.66,1500,39990
1784103900000,2026-07-15T08:25:00Z,26.66,26.66,26.66,26.66,0,0
1784104800000,2026-07-15T08:40:00Z,26.658,26.658,26.652,26.652,0,0
1784105100000,2026-07-15T08:45:00Z,26.651,26.651,26.651,26.651,0,0
1784105400000,2026-07-15T08:50:00Z,26.68,26.73,26.652,26.68,5926,158132.9396
1784105700000,2026-07-15T08:55:00Z,26.73,26.75,26.73,26.75,2001,53496.735
1784106000000,2026-07-15T09:00:00Z,26.77,26.77,26.749,26.76,25926,693631.9818
1784106300000,2026-07-15T09:05:00Z,26.76,26.77,26.742,26.76,3920,104908.216
1784106600000,2026-07-15T09:10:00Z,26.764,26.764,26.752,26.752,7811,209031.7332
1784106900000,2026-07-15T09:15:00Z,26.751,26.751,26.74,26.749,6490,173597.765
1784107200000,2026-07-15T09:20:00Z,26.75,26.75,26.706,26.706,7707,206151.4602
1784107500000,2026-07-15T09:25:00Z,26.707,26.724,26.695,26.724,10430,278579.042
1784107800000,2026-07-15T09:30:00Z,26.723,26.723,26.716,26.719,1843,49249.0146
1784108100000,2026-07-15T09:35:00Z,26.72,26.72,26.72,26.72,2000,53440
1784109000000,2026-07-15T09:50:00Z,26.72,26.72,26.716,26.716,4823,128869.1131
1784109300000,2026-07-15T09:55:00Z,26.715,26.721,26.701,26.701,7617,203491.9635
1784110200000,2026-07-15T10:10:00Z,26.701,26.709,26.701,26.709,100,2670.1
1784110500000,2026-07-15T10:15:00Z,26.712,26.718,26.7,26.7,625,16696
1784110800000,2026-07-15T10:20:00Z,26.7,26.7,26.7,26.7,11792,314846.4
1784111100000,2026-07-15T10:25:00Z,26.68,26.697,26.67,26.67,5082,135596.3994
1784111400000,2026-07-15T10:30:00Z,26.668,26.669,26.66,26.669,2165,57721.065
1784111700000,2026-07-15T10:35:00Z,26.67,26.67,26.67,26.67,20,533.4
1784112300000,2026-07-15T10:45:00Z,26.658,26.658,26.596,26.596,61.9207,1650.6820206
1784113200000,2026-07-15T11:00:00Z,26.609,26.67,26.609,26.65,2766,73729.3896
1784113500000,2026-07-15T11:05:00Z,26.65,26.65,26.616,26.616,1525,40638.9625
1784113800000,2026-07-15T11:10:00Z,26.619,26.639,26.619,26.639,0,0
1784114100000,2026-07-15T11:15:00Z,26.66,26.66,26.627,26.66,1753,46690.9797
1784114400000,2026-07-15T11:20:00Z,26.67,26.67,26.645,26.67,2575,68619.115
1784114700000,2026-07-15T11:25:00Z,26.66,26.679,26.66,26.679,14,373.4304
1784115000000,2026-07-15T11:30:00Z,26.68,26.68,26.647,26.649,591.387607,15777.27513459
1784115300000,2026-07-15T11:35:00Z,26.65,26.658,26.645,26.649,831.247,22157.55235
1784115600000,2026-07-15T11:40:00Z,26.65,26.65,26.65,26.65,126,3357.9
1784115900000,2026-07-15T11:45:00Z,26.652,26.655,26.652,26.655,329,8769.1989
1784116200000,2026-07-15T11:50:00Z,26.64,26.66,26.63,26.65,19458,518335.8246
1784116500000,2026-07-15T11:55:00Z,26.635,26.643,26.626,26.643,1908,50825.6856
1784116800000,2026-07-15T12:00:00Z,26.645,26.654,26.641,26.641,65,1731.977
1784117100000,2026-07-15T12:05:00Z,26.64,26.649,26.64,26.649,30,799.2
1784117400000,2026-07-15T12:10:00Z,26.65,26.65,26.65,26.65,0,0
1784118000000,2026-07-15T12:20:00Z,26.65,26.678,26.62,26.621,1080,28787.436
1784118300000,2026-07-15T12:25:00Z,26.62,26.649,26.62,26.649,152,4046.78
1784118600000,2026-07-15T12:30:00Z,26.65,26.65,26.635,26.64,255.563168,6808.7184272
1784118900000,2026-07-15T12:35:00Z,26.642,26.708,26.642,26.708,676,18032.3
1784119200000,2026-07-15T12:40:00Z,26.709,26.709,26.709,26.709,0,0
1784119500000,2026-07-15T12:45:00Z,26.71,26.71,26.68,26.68,125.086258,3337.30136344
