ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786023000000,2026-08-06T13:30:00Z,25,25.58,24.54,25,38100.548171999995,950296.25239639
1786023300000,2026-08-06T13:35:00Z,24.77,24.84,24.6499,24.77,23585.025601,583998.2529166
1786023600000,2026-08-06T13:40:00Z,24.8,25.01,24.75,24.97,30689.322735,764059.7924042
1786023900000,2026-08-06T13:45:00Z,24.98,25.13,24.98,25.09,53036.56011699999,1327494.49241649
1786024200000,2026-08-06T13:50:00Z,25.19,25.2,25.07,25.07,32387.397,814160.8632654
1786024500000,2026-08-06T13:55:00Z,25.08,25.3292,25.065,25.275,28737.60861,725345.86259898
1786024800000,2026-08-06T14:00:00Z,25.325,25.38,25.28,25.33,33230.060399999995,841454.91245484
1786025100000,2026-08-06T14:05:00Z,25.5,25.585,25.405,25.56,50094.35896,1277015.41748011
1786025400000,2026-08-06T14:10:00Z,25.6,25.69,25.55,25.66,200683.233,5146160.2804656
1786025700000,2026-08-06T14:15:00Z,25.63,25.98,25.62,25.79,97909.087305,2519347.67998861
1786026000000,2026-08-06T14:20:00Z,25.775,25.81,25.59,25.71,70008.963792,1799643.42234077
1786026300000,2026-08-06T14:25:00Z,25.64,25.7,25.58,25.63,41982.326465,1076170.75837116
1786026600000,2026-08-06T14:30:00Z,25.6,25.835,25.6,25.805,34257.304334,882704.53504374
1786026900000,2026-08-06T14:35:00Z,25.81,25.97,25.81,25.925,111364.67711100001,2887374.25639232
1786027200000,2026-08-06T14:40:00Z,25.85,25.88,25.8,25.815,47234.58186599999,1221571.30930212
1786027500000,2026-08-06T14:45:00Z,25.73,25.85,25.56,25.62,32581.793700000002,836521.26235065
1786027800000,2026-08-06T14:50:00Z,25.865,25.92,25.645,25.88,85555.57569,2204570.40770721
1786028100000,2026-08-06T14:55:00Z,25.83,25.91,25.72,25.865,63325.179968,1637120.54764072
1786028400000,2026-08-06T15:00:00Z,25.865,25.95,25.75,25.84,100153.45643199999,2592301.95886639
1786028700000,2026-08-06T15:05:00Z,25.81,25.86,25.79,25.85,42176.372029,1089002.36106319
1786029000000,2026-08-06T15:10:00Z,25.86,26,25.84,25.955,109617.389641,2843518.9342434
1786029300000,2026-08-06T15:15:00Z,25.955,25.97,25.85,25.97,21037.6631,545188.93547019
1786029600000,2026-08-06T15:20:00Z,25.965,25.99,25.85,25.985,22994.6447,596844.39890426
1786029900000,2026-08-06T15:25:00Z,25.995,26,25.93,25.985,56189.737997,1459601.49113147
1786030200000,2026-08-06T15:30:00Z,25.985,26.01,25.81,25.81,116488.414,3022070.5732434
1786030500000,2026-08-06T15:35:00Z,25.84,25.88,25.81,25.87,25795,666630.503
1786030800000,2026-08-06T15:40:00Z,25.855,25.9,25.81,25.87,31582.379681000002,817153.01715229
1786031100000,2026-08-06T15:45:00Z,25.885,25.9097,25.81,25.885,18211.0541,471090.83188044
1786031400000,2026-08-06T15:50:00Z,25.905,25.915,25.815,25.85,34255.8139,886687.76373177
1786031700000,2026-08-06T15:55:00Z,25.83,25.87,25.8,25.81,24645.520697,636662.80706146
1786032000000,2026-08-06T16:00:00Z,25.835,25.835,25.73,25.73,12273.057917999999,316409.25157237
1786032300000,2026-08-06T16:05:00Z,25.73,25.825,25.73,25.75,24858.170541,640972.89903379
1786032600000,2026-08-06T16:10:00Z,25.74,25.81,25.56,25.57,42030.274,1078786.8397306
1786032900000,2026-08-06T16:15:00Z,25.57,25.61,25.53,25.53,37875.321076,968441.65965646
1786033200000,2026-08-06T16:20:00Z,25.6,25.6,25.48,25.495,63893.254206,1630383.33555076
1786033500000,2026-08-06T16:25:00Z,25.49,25.53,25.48,25.53,16109.979707999999,410827.03652559
1786033800000,2026-08-06T16:30:00Z,25.56,25.59,25.54,25.57,20147.258844,515094.89323513
1786034100000,2026-08-06T16:35:00Z,25.585,25.695,25.56,25.585,27569.386185,706189.82712878
1786034400000,2026-08-06T16:40:00Z,25.7,25.78,25.65,25.68,8881.222939,228430.38272484
1786034700000,2026-08-06T16:45:00Z,25.68,25.75,25.6,25.73,7835.86,201264.847686
1786035000000,2026-08-06T16:50:00Z,25.74,25.77,25.7,25.77,10663.644,274426.7456112
1786035300000,2026-08-06T16:55:00Z,25.7,25.83,25.7,25.73,5805.045964,149482.25559139
1786035600000,2026-08-06T17:00:00Z,25.82,25.8395,25.77,25.83,72828.313969,1880623.7031273
1786035900000,2026-08-06T17:05:00Z,25.77,25.84,25.77,25.81,14828.404242999999,382449.75371418
1786036200000,2026-08-06T17:10:00Z,25.76,25.8,25.692,25.76,8081.782843,208182.68514426
1786036500000,2026-08-06T17:15:00Z,25.7,25.73,25.67,25.7,5394,138663.0186
1786036800000,2026-08-06T17:20:00Z,25.71,25.7684,25.69,25.71,16636.6163,428015.21853499
1786037100000,2026-08-06T17:25:00Z,25.77,25.79,25.74,25.74,8559.436366,220534.73391363
1786037400000,2026-08-06T17:30:00Z,25.75,25.77,25.73,25.77,7007,180416.236
1786037700000,2026-08-06T17:35:00Z,25.77,25.8,25.75,25.76,23191.065382,597677.81791837
1786038000000,2026-08-06T17:40:00Z,25.74,25.76,25.6,25.65,6854.572658000001,175958.25104539
1786038300000,2026-08-06T17:45:00Z,25.61,25.66,25.59,25.6,7877.6966520000005,201827.37599391
1786038600000,2026-08-06T17:50:00Z,25.625,25.65,25.6,25.625,17727.559468000003,454158.8004988
1786038900000,2026-08-06T17:55:00Z,25.57,25.62,25.57,25.6,6658.519,170455.4229924
1786039200000,2026-08-06T18:00:00Z,25.54,25.595,25.53,25.54,20387,521238.5064
1786039500000,2026-08-06T18:05:00Z,25.55,25.56,25.49,25.55,43425.590061,1108403.44583498
1786039800000,2026-08-06T18:10:00Z,25.58,25.68,25.5499,25.57,33553.387976,858268.8217157
1786040100000,2026-08-06T18:15:00Z,25.6,25.67,25.55,25.58,23417.956632999998,599555.89290072
1786040400000,2026-08-06T18:20:00Z,25.63,25.67,25.6,25.61,14063.7721,360682.31203102
1786040700000,2026-08-06T18:25:00Z,25.54,25.64,25.54,25.54,11008.398374,281634.46064107
1786041000000,2026-08-06T18:30:00Z,25.57,25.599,25.51,25.57,13916.909304,355824.75370281
1786041300000,2026-08-06T18:35:00Z,25.58,25.58,25.53,25.58,23995.983109999997,613596.48490919
1786041600000,2026-08-06T18:40:00Z,25.52,25.57,25.5,25.51,34322.205812,876630.32308545
1786041900000,2026-08-06T18:45:00Z,25.5,25.58,25.5,25.5,13744.6481,350810.15131554
1786042200000,2026-08-06T18:50:00Z,25.51,25.54,25.49,25.5,15141.422219,386141.0918556
