ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,12.17,12.215,12.14,12.18,270887.16766000004,3299161.90364791
1784043600000,2026-07-14T15:40:00Z,12.18,12.21,12.13,12.195,201654.380756,2454375.79905743
1784043900000,2026-07-14T15:45:00Z,12.2,12.21,12.16,12.21,213318.71594800003,2600120.49681858
1784044200000,2026-07-14T15:50:00Z,12.195,12.195,12.11,12.135,272025.397921,3301871.48250489
1784044500000,2026-07-14T15:55:00Z,12.13,12.2,12.11,12.195,190275.709052,2308386.84707705
1784044800000,2026-07-14T16:00:00Z,12.185,12.21,12.15,12.21,360774.14726899995,4395131.04910459
1784045100000,2026-07-14T16:05:00Z,12.21,12.26,12.2,12.21,242903.504095,2967940.75513517
1784045400000,2026-07-14T16:10:00Z,12.21,12.215,12.14,12.14,217806.93184600002,2652147.886316
1784045700000,2026-07-14T16:15:00Z,12.14,12.17,12.09,12.125,228196.796325,2765631.07306084
1784046000000,2026-07-14T16:20:00Z,12.13,12.15,12.1,12.125,262594.814953,3183148.08737877
1784046300000,2026-07-14T16:25:00Z,12.13,12.16,12.117,12.13,202273.11249200001,2455150.5848054
1784046600000,2026-07-14T16:30:00Z,12.15,12.152,12.1,12.1,190081.90420299998,2306624.89931298
1784046900000,2026-07-14T16:35:00Z,12.09,12.124,12.01,12.03,311268.9363630001,3759101.56377504
1784047200000,2026-07-14T16:40:00Z,12.03,12.06,12.016,12.04,114746.752109,1382721.31226387
1784047500000,2026-07-14T16:45:00Z,12.045,12.052,11.975,12.02,40626.12887,488972.02446643
1784047800000,2026-07-14T16:50:00Z,12,12,11.89,11.89,148588.47933,1769688.7888203
1784048100000,2026-07-14T16:55:00Z,11.89,11.89,11.795,11.83,828408.889791,9810597.95912788
1784048400000,2026-07-14T17:00:00Z,11.825,11.845,11.765,11.775,638136.360128,7529945.23587439
1784048700000,2026-07-14T17:05:00Z,11.775,11.795,11.715,11.745,540323.3686220001,6355931.84977431
1784049000000,2026-07-14T17:10:00Z,11.74,11.793,11.725,11.75,345267.279434,4061344.4812542
1784049300000,2026-07-14T17:15:00Z,11.755,11.78,11.67,11.73,474365.81183,5564500.71909063
1784049600000,2026-07-14T17:20:00Z,11.72,11.83,11.715,11.765,602601.5867260001,7098947.99242564
1784049900000,2026-07-14T17:25:00Z,11.77,11.83,11.735,11.795,828195.792685,9753082.11339637
1784050200000,2026-07-14T17:30:00Z,11.8,11.83,11.775,11.825,587282.138055,6931514.89082175
1784050500000,2026-07-14T17:35:00Z,11.805,11.925,11.805,11.925,1113965.290412,13236135.58067538
1784050800000,2026-07-14T17:40:00Z,11.92,11.95,11.895,11.925,774082.648728,9229155.19598933
1784051100000,2026-07-14T17:45:00Z,11.92,11.95,11.895,11.945,774771.686583,9242019.01774263
1784051400000,2026-07-14T17:50:00Z,11.945,12.02,11.94,12.01,1009290.3683209999,12089582.81885943
1784051700000,2026-07-14T17:55:00Z,12,12.11,11.99,12.09,1073127.544042,12941274.30462009
1784052000000,2026-07-14T18:00:00Z,12.075,12.2,12.065,12.15,1475903.760555,17917176.47238559
1784052300000,2026-07-14T18:05:00Z,12.17,12.215,12.15,12.185,891477.2136230001,10857568.42787861
1784052600000,2026-07-14T18:10:00Z,12.185,12.2,12.137,12.18,645765.8592119999,7864653.2461711
1784052900000,2026-07-14T18:15:00Z,12.17,12.23,12.155,12.19,839522.072585,10236880.29647971
1784053200000,2026-07-14T18:20:00Z,12.18,12.2,12.135,12.135,663228.8864290001,8072092.45383872
1784053500000,2026-07-14T18:25:00Z,12.14,12.18,12.107,12.16,712394.397432,8653525.98504625
1784053800000,2026-07-14T18:30:00Z,12.16,12.2,12.12,12.175,636858.1336149999,7749417.14145404
1784054100000,2026-07-14T18:35:00Z,12.185,12.2,12.13,12.17,765966.390172,9313078.95154528
1784054400000,2026-07-14T18:40:00Z,12.18,12.18,12.105,12.155,660795.832735,8020607.65857088
1784054700000,2026-07-14T18:45:00Z,12.16,12.185,12.139,12.175,572694.872187,6966661.3116932
1784055000000,2026-07-14T18:50:00Z,12.17,12.19,12.125,12.15,734752.385774,8935397.23863619
1784055300000,2026-07-14T18:55:00Z,12.145,12.167,12.075,12.125,1023699.491148,12422798.06497921
1784055600000,2026-07-14T19:00:00Z,12.13,12.23,12.111,12.19,1158666.69737,14118237.84078371
1784055900000,2026-07-14T19:05:00Z,12.19,12.195,12.06,12.06,841547.6922820001,10203849.92368848
1784056200000,2026-07-14T19:10:00Z,12.06,12.15,12.03,12.12,1613525.4967,19484127.13540085
1784056500000,2026-07-14T19:15:00Z,12.115,12.13,12.01,12.03,1081293.5040950002,13052510.14663157
1784056800000,2026-07-14T19:20:00Z,12.045,12.05,11.99,12.01,1068502.662121,12843295.14842821
1784057100000,2026-07-14T19:25:00Z,11.99,12,11.945,11.96,810540.18643,9703138.67979082
1784057400000,2026-07-14T19:30:00Z,11.95,12,11.93,11.98,729195.053938,8722120.7986686
1784057700000,2026-07-14T19:35:00Z,11.97,12.08,11.96,12.03,829561.6926000001,9971663.36972904
1784058000000,2026-07-14T19:40:00Z,12.02,12.14,12.01,12.13,963905.426412,11636169.91710302
1784058300000,2026-07-14T19:45:00Z,12.145,12.19,12.135,12.175,1041639.324319,12675813.10157034
1784058600000,2026-07-14T19:50:00Z,12.17,12.17,12.08,12.09,772045.18622,9346610.63793519
1784058900000,2026-07-14T19:55:00Z,12.12,12.21,12.095,12.16,1666753.347985,20292055.31037818
1784059200000,2026-07-14T20:00:00Z,12.149,12.149,12.1,12.11,3137098.320899,38107274.4334564227
1784059500000,2026-07-14T20:05:00Z,12.11,12.125,12.11,12.125,12267.7985,148650.14120435
1784059800000,2026-07-14T20:10:00Z,12.15,12.15,12.125,12.15,1018.276988,12346.6084795
1784060100000,2026-07-14T20:15:00Z,12.125,12.13,12.125,12.13,24604.791897,298360.16702221
