ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,1866.34,1870.09,1863.737,1870.09,3755.2608,7009591.96531872
1784043600000,2026-07-14T15:40:00Z,1870.11,1873.24,1869.708,1873.24,1856.372891,3472669.42968498
1784043900000,2026-07-14T15:45:00Z,1872.985,1873.503,1871.213,1871.97,1595.0888019999998,2987399.38790367
1784044200000,2026-07-14T15:50:00Z,1870.365,1872.591,1869.71,1871.11,1662.116136,3109817.96076309
1784044500000,2026-07-14T15:55:00Z,1870.49,1871.297,1869.928,1871.18,1399.953384,2618534.26738716
1784044800000,2026-07-14T16:00:00Z,1869.66,1871.103,1864.611,1865.37,4796.953337,8963706.44965629
1784045100000,2026-07-14T16:05:00Z,1867.88,1868.4,1864.984,1867,1382.3010679999998,2579925.74570445
1784045400000,2026-07-14T16:10:00Z,1867.83,1872.79,1867.497,1872,1708.359362,3194160.49975609
1784045700000,2026-07-14T16:15:00Z,1873.99,1873.99,1870.875,1871.81,2174.873086,4072712.14322917
1784046000000,2026-07-14T16:20:00Z,1871.67,1874.012,1870.112,1873.77,1775.3623859999998,3322890.564106
1784046300000,2026-07-14T16:25:00Z,1875.55,1878.86,1873.109,1878.23,4520.375782,8482462.55304409
1784046600000,2026-07-14T16:30:00Z,1879.09,1879.105,1877.84,1879.09,1134.79644,2131999.15208893
1784046900000,2026-07-14T16:35:00Z,1877.85,1877.85,1873.41,1873.41,1667.732908,3129069.02581212
1784047200000,2026-07-14T16:40:00Z,1873.47,1874.364,1873.41,1874.29,379.049043,710227.94445463
1784047500000,2026-07-14T16:45:00Z,1873.61,1874.365,1873.5,1873.61,69.011376,129320.5831137
1784047800000,2026-07-14T16:50:00Z,1874.62,1875.79,1873.882,1874.74,189.5204,355457.9237862
1784048100000,2026-07-14T16:55:00Z,1874.85,1876.993,1873.815,1873.815,1436.027683,2692506.67075299
1784048400000,2026-07-14T17:00:00Z,1873.66,1876.361,1872.558,1873.66,3590.650606,6730000.95489331
1784048700000,2026-07-14T17:05:00Z,1875.09,1876.46,1871.915,1873.8,1379.0325810000002,2583174.871045
1784049000000,2026-07-14T17:10:00Z,1872.2,1873.974,1870.42,1870.43,1421.964678,2662641.51504063
1784049300000,2026-07-14T17:15:00Z,1870.42,1870.839,1867.61,1867.615,2783.004086,5204415.23411011
1784049600000,2026-07-14T17:20:00Z,1868.69,1870.68,1867.235,1870.24,3863.0402099999997,7217135.30254107
1784049900000,2026-07-14T17:25:00Z,1870.295,1874.862,1868.955,1872.46,1638.549533,3067308.19581711
1784050200000,2026-07-14T17:30:00Z,1873,1874.059,1870.763,1871.67,2414.623184,4520806.74879757
1784050500000,2026-07-14T17:35:00Z,1869.24,1871.083,1868.52,1869.495,3911.870203,7309993.70986597
1784050800000,2026-07-14T17:40:00Z,1869.58,1870.304,1865.216,1869.51,2958.1557959999996,5527467.33729623
1784051100000,2026-07-14T17:45:00Z,1860.9,1865.549,1860.01,1861.81,5466.41278,10175086.17975091
1784051400000,2026-07-14T17:50:00Z,1860.05,1861.353,1854.284,1854.79,6720.311874999999,12488289.02622494
1784051700000,2026-07-14T17:55:00Z,1854.02,1855.01,1853.406,1854.21,1963.6311999999998,3641250.87574272
1784052000000,2026-07-14T18:00:00Z,1853.16,1858.469,1853.16,1854.54,2390.9776309999997,4434715.9716275
1784052300000,2026-07-14T18:05:00Z,1858,1858.138,1856.178,1856.85,2145.059106,3984261.52727642
1784052600000,2026-07-14T18:10:00Z,1855.86,1856.99,1855.319,1856.61,3571.0774839999995,6627792.32283782
1784052900000,2026-07-14T18:15:00Z,1857.68,1858.198,1856.99,1857.57,2065.122761,3835528.96160582
1784053200000,2026-07-14T18:20:00Z,1856.28,1857.291,1855.859,1856.305,2096.548196,3891991.60767422
1784053500000,2026-07-14T18:25:00Z,1857.42,1857.76,1855.803,1856.6,3155.922427,5859550.99104431
1784053800000,2026-07-14T18:30:00Z,1856.64,1857.319,1855.885,1855.885,2204.903564,4093446.02120479
1784054100000,2026-07-14T18:35:00Z,1856.605,1857.97,1854.58,1856.73,3373.024622,6260808.95760124
1784054400000,2026-07-14T18:40:00Z,1856.82,1858.387,1853.467,1855.435,3954.296114,7340597.92504426
1784054700000,2026-07-14T18:45:00Z,1856.01,1856.962,1854.88,1855,1796.170823,3333805.84701568
1784055000000,2026-07-14T18:50:00Z,1851.96,1855.182,1851.915,1851.96,2076.1480619999998,3847802.02078289
1784055300000,2026-07-14T18:55:00Z,1851.37,1851.915,1848.19,1851.86,5828.724686,10783111.52547657
1784055600000,2026-07-14T19:00:00Z,1851.14,1852.84,1850.461,1851.12,1159.120314,2146336.71027207
1784055900000,2026-07-14T19:05:00Z,1853.84,1856.147,1852.809,1856.015,3173.587788,5888396.64762626
1784056200000,2026-07-14T19:10:00Z,1856.165,1858.124,1855.72,1856.59,2156.449696,4003706.77200764
1784056500000,2026-07-14T19:15:00Z,1857.81,1868.51,1857.525,1867.36,7036.09458,13111938.85580396
1784056800000,2026-07-14T19:20:00Z,1866.41,1868.557,1864.515,1868.53,7771.077954,14500246.29999406
1784057100000,2026-07-14T19:25:00Z,1868.74,1869.316,1867.45,1868.75,3320.0058409999997,6203291.47366318
1784057400000,2026-07-14T19:30:00Z,1869.28,1872.812,1868.46,1871.65,7176.343324,13421059.49875298
1784057700000,2026-07-14T19:35:00Z,1871.58,1873.409,1871.178,1872.64,2371.445276,4440483.1389709
1784058000000,2026-07-14T19:40:00Z,1872.28,1875.89,1872.049,1875.14,3824.8505369999993,7169055.82108854
1784058300000,2026-07-14T19:45:00Z,1876.05,1883.05,1875.115,1881.05,12192.785281,22908908.43301073
1784058600000,2026-07-14T19:50:00Z,1881.39,1881.795,1869.942,1871.38,23060.876739000003,43246389.6130964
1784058900000,2026-07-14T19:55:00Z,1877.995,1877.995,1871.236,1873.29,32584.872498,61070264.99643737
1784059200000,2026-07-14T20:00:00Z,1873.079,1873.59,1869.875,1869.875,48404.089856000006,90667172.19360523
1784059500000,2026-07-14T20:05:00Z,1869.875,1877.499,1869.875,1877.499,8,14959
1784059800000,2026-07-14T20:10:00Z,1877.499,1877.499,1877.499,1877.499,4.132335,7758.45483017
1784060100000,2026-07-14T20:15:00Z,1877.5,1877.5,1877.5,1877.5,36.759781,69016.4888275
1784060400000,2026-07-14T20:20:00Z,1877.5,1877.5,1877.5,1877.5,3,5632.5
1784060700000,2026-07-14T20:25:00Z,1877.5,1877.5,1877.5,1877.5,1826,3428315
1784061000000,2026-07-14T20:30:00Z,1877.5,1879.812,1875,1879.812,3608.004135,6765913.7229633
1784061300000,2026-07-14T20:35:00Z,1879.843,1881.323,1879.843,1881.323,1414.054866,2659022.99015416
1784061600000,2026-07-14T20:40:00Z,1887.25,1889.455,1881.352,1888.47,6065.001584,11422196.86214181
1784061900000,2026-07-14T20:45:00Z,1882,1882.5,1882,1882.5,22,41407.5002
1784062200000,2026-07-14T20:50:00Z,1882.5,1882.5,1879.976,1879.976,95,178834.973
1784062500000,2026-07-14T20:55:00Z,1879.976,1879.976,1879.975,1879.975,22,41359.461
1784062800000,2026-07-14T21:00:00Z,1880.404,1882.549,1880.404,1882.549,6,11290.866
1784063100000,2026-07-14T21:05:00Z,1882.55,1882.55,1882.55,1882.55,5.001326,9415.2462613
1784063400000,2026-07-14T21:10:00Z,1882.55,1882.55,1882.55,1882.55,3,5647.65
1784063700000,2026-07-14T21:15:00Z,1882.468,1882.468,1882.061,1882.061,0,0
1784064000000,2026-07-14T21:20:00Z,1882.061,1882.061,1882.061,1882.061,0.019689,37.05589903
1784064300000,2026-07-14T21:25:00Z,1882.061,1882.061,1882.06,1882.06,37.026611,69686.34052527
1784064600000,2026-07-14T21:30:00Z,1882.06,1882.06,1882.06,1882.06,1.003182,1888.04871492
1784065200000,2026-07-14T21:40:00Z,1882.06,1882.06,1882.06,1882.06,39,73400.34
1784065500000,2026-07-14T21:45:00Z,1882.06,1882.06,1882.06,1882.06,2,3764.12
1784065800000,2026-07-14T21:50:00Z,1882.06,1882.06,1882.06,1882.06,2,3764.12
1784066100000,2026-07-14T21:55:00Z,1882.06,1882.06,1882.06,1882.06,2,3764.12
1784066400000,2026-07-14T22:00:00Z,1882.06,1882.06,1882.06,1882.06,6,11292.36
1784066700000,2026-07-14T22:05:00Z,1882.06,1882.06,1882.06,1882.06,0.013517,25.43980502
1784067300000,2026-07-14T22:15:00Z,1881.975,1881.975,1881.55,1881.55,3.048005,5735.40083325
1784067600000,2026-07-14T22:20:00Z,1881.55,1881.55,1881.55,1881.55,5,9407.75
1784067900000,2026-07-14T22:25:00Z,1881.55,1881.55,1881.55,1881.55,0.130221,245.01732255
1784068200000,2026-07-14T22:30:00Z,1881.55,1881.55,1881.55,1881.55,1,1881.55
1784069100000,2026-07-14T22:45:00Z,1881.635,1882.06,1881.635,1882.06,110,206979.85
1784069700000,2026-07-14T22:55:00Z,1882.051,1882.051,1882.006,1882.006,5,9410.255
1784070000000,2026-07-14T23:00:00Z,1882.005,1882.005,1882.005,1882.005,1,1882.005
1784070300000,2026-07-14T23:05:00Z,1882.005,1882.005,1882.005,1882.005,4.110522,7736.02295661
1784070600000,2026-07-14T23:10:00Z,1881.929,1881.929,1881.551,1881.551,3,5644.653
1784071200000,2026-07-14T23:20:00Z,1881.55,1881.55,1881.55,1881.55,5,9407.75
1784071500000,2026-07-14T23:25:00Z,1881.55,1881.55,1881.55,1881.55,5,9407.75
1784072100000,2026-07-14T23:35:00Z,1881.5,1881.5,1881.252,1881.252,1,1881.261
1784072400000,2026-07-14T23:40:00Z,1881.251,1881.703,1877.251,1877.251,5.001598,9406.20376224
1784072700000,2026-07-14T23:45:00Z,1877.251,1877.251,1877.25,1877.25,6,11263.5012
1784073300000,2026-07-14T23:55:00Z,1877.25,1877.6,1877.25,1877.6,26.003762000000002,48815.91326529
1784076900000,2026-07-15T00:55:00Z,1869.49,1869.49,1869.49,1869.49,1,1869.49
1784085900000,2026-07-15T03:25:00Z,1871.32,1871.32,1869.99,1869.99,44,82282.41
1784087400000,2026-07-15T03:50:00Z,1873.94,1873.94,1873.94,1873.94,2,3747.88
1784093100000,2026-07-15T05:25:00Z,1874.99,1874.99,1874.99,1874.99,1,1874.99
1784096400000,2026-07-15T06:20:00Z,1871.29,1871.29,1870,1870,4,7482.67
1784097300000,2026-07-15T06:35:00Z,1875,1875.01,1875,1875.01,10,18750.04
1784102400000,2026-07-15T08:00:00Z,1877.6,1877.6,1877.6,1877.6,42.580797000000004,79949.7044472
1784102700000,2026-07-15T08:05:00Z,1877.6,1877.6,1877.6,1877.6,0.002764,5.1896864
1784103000000,2026-07-15T08:10:00Z,1876.323,1876.323,1869.94,1869.94,0,0
1784103300000,2026-07-15T08:15:00Z,1869.94,1869.94,1869.94,1869.94,40,74797.6
1784103600000,2026-07-15T08:20:00Z,1871.7,1880.499,1871.7,1880.499,2,3752.199
1784104200000,2026-07-15T08:30:00Z,1879.552,1879.552,1874.812,1874.812,0,0
1784104800000,2026-07-15T08:40:00Z,1874.811,1874.811,1874.811,1874.811,0,0
1784105700000,2026-07-15T08:55:00Z,1874.81,1874.81,1874.81,1874.81,0.020915,39.21165115
1784106600000,2026-07-15T09:10:00Z,1875.227,1877.309,1875.227,1877.309,0.001992,3.73904376
1784106900000,2026-07-15T09:15:00Z,1877.309,1877.309,1877.309,1877.309,0,0
1784109000000,2026-07-15T09:50:00Z,1877.544,1878.714,1877.544,1878.714,0,0
1784109300000,2026-07-15T09:55:00Z,1878.715,1878.715,1878.715,1878.715,1,1878.715
1784109600000,2026-07-15T10:00:00Z,1878.715,1878.715,1878.715,1878.715,15,28180.725
1784109900000,2026-07-15T10:05:00Z,1878.715,1879.509,1878.715,1879.509,16,30059.44
1784110200000,2026-07-15T10:10:00Z,1879.51,1879.51,1879.51,1879.51,1,1879.51
1784110500000,2026-07-15T10:15:00Z,1879.143,1879.143,1877.311,1877.311,0,0
1784111100000,2026-07-15T10:25:00Z,1877.31,1877.31,1877.31,1877.31,0,0
1784111700000,2026-07-15T10:35:00Z,1877.31,1877.31,1877.31,1877.31,3,5631.93
1784112600000,2026-07-15T10:50:00Z,1877.31,1877.31,1877.31,1877.31,3.015084,5660.24734404
1784113200000,2026-07-15T11:00:00Z,1877.31,1881.504,1877.31,1880.501,36.001695,67639.35453634
1784113500000,2026-07-15T11:05:00Z,1880.501,1880.501,1880.5,1880.5,7.001414,13166.16392799
1784113800000,2026-07-15T11:10:00Z,1880.5,1880.5,1880.5,1880.5,3,5641.5
1784114100000,2026-07-15T11:15:00Z,1880.5,1880.5,1880.5,1880.5,3,5641.5
1784114400000,2026-07-15T11:20:00Z,1880.5,1880.5,1880.5,1880.5,3,5641.5
1784115000000,2026-07-15T11:30:00Z,1880.5,1880.5,1880.5,1880.5,3,5641.5
1784115300000,2026-07-15T11:35:00Z,1880.5,1880.5,1880.5,1880.5,1.9400000000000002,3648.17
1784115600000,2026-07-15T11:40:00Z,1880.5,1880.5,1880.5,1880.5,3.106732,5842.209526
1784115900000,2026-07-15T11:45:00Z,1880.672,1881.534,1880.672,1881.534,0,0
1784116200000,2026-07-15T11:50:00Z,1881.535,1881.535,1881.535,1881.535,1,1881.535
1784117100000,2026-07-15T12:05:00Z,1881.535,1881.535,1881.535,1881.535,6,11289.21
1784117400000,2026-07-15T12:10:00Z,1881.535,1881.535,1881.535,1881.535,9.030179,16990.59784477
1784117700000,2026-07-15T12:15:00Z,1881.535,1881.535,1881.535,1881.535,2,3763.07
1784118000000,2026-07-15T12:20:00Z,1881.535,1881.535,1880.501,1880.501,1,1881.535
1784118300000,2026-07-15T12:25:00Z,1880.5,1880.5,1880.5,1880.5,0,0
1784118600000,2026-07-15T12:30:00Z,1881.175,1884.549,1881.175,1884.549,0,0
1784118900000,2026-07-15T12:35:00Z,1884.55,1884.55,1884.55,1884.55,5.000266,9423.2512903
1784119200000,2026-07-15T12:40:00Z,1884.55,1885.005,1884.55,1885.005,37.052975,69843.73887516
1784119500000,2026-07-15T12:45:00Z,1885.005,1885.005,1885.005,1885.005,13,24505.065
1784120100000,2026-07-15T12:55:00Z,1885.671,1888.958,1885.671,1888.535,105.000678,198297.45542673
1784120400000,2026-07-15T13:00:00Z,1888.535,1888.535,1884.45,1886.064,108.14737500000001,203806.97260875
1784120700000,2026-07-15T13:05:00Z,1887.99,1889.6,1886.052,1887.99,235.27739,444449.17722099
1784121000000,2026-07-15T13:10:00Z,1889.6,1889.6,1889.6,1889.6,38,71804.8
1784121300000,2026-07-15T13:15:00Z,1889.6,1889.6,1885.941,1885.941,268.006949,505652.08756586
1784121600000,2026-07-15T13:20:00Z,1885.94,1890.099,1885.94,1890.099,13,24529.6701
1784121900000,2026-07-15T13:25:00Z,1890.092,1890.092,1877.545,1877.545,1117.083094,2105047.24491353
1784122200000,2026-07-15T13:30:00Z,1877.045,1904.34,1875.595,1882.13,18521.637685,35054227.43818901
1784122500000,2026-07-15T13:35:00Z,1887.84,1899.99,1884.678,1899.99,8031.475729,15199652.14762765
1784122800000,2026-07-15T13:40:00Z,1888.765,1892.056,1874.763,1877.71,3086.207979,5816282.0624009
1784123100000,2026-07-15T13:45:00Z,1873.61,1874.488,1867.423,1871.51,3750.9006899999995,7020937.03681221
1784123400000,2026-07-15T13:50:00Z,1867.765,1871.046,1860.83,1868.81,6637.220362999999,12378517.52646655
1784123700000,2026-07-15T13:55:00Z,1868.83,1872.095,1855.12,1857.36,6026.386403,11238888.83256108
1784124000000,2026-07-15T14:00:00Z,1857.69,1860.81,1850,1856.66,6436.743487999999,11955064.73713516
1784124300000,2026-07-15T14:05:00Z,1856.51,1857.989,1847.398,1852.53,11909.99035,22069107.31063492
1784124600000,2026-07-15T14:10:00Z,1854.92,1854.92,1845.65,1847.85,12592.274763000001,23289666.53811871
1784124900000,2026-07-15T14:15:00Z,1847.84,1847.959,1832.01,1834.05,15736.912859000002,28935478.98444745
1784125200000,2026-07-15T14:20:00Z,1831.64,1842.526,1831.64,1840.86,6340.652306,11642178.85607057
1784125500000,2026-07-15T14:25:00Z,1842.06,1846.842,1841.11,1844.01,5002.416506,9223623.6349574
1784125800000,2026-07-15T14:30:00Z,1843.5,1844.91,1830.18,1831.13,9814.434419000001,18031773.77654367
1784126100000,2026-07-15T14:35:00Z,1828.03,1832.46,1823.68,1832.46,9623.747083,17583596.41408472
1784126400000,2026-07-15T14:40:00Z,1830.546,1833.085,1824.66,1825.54,2392.0820189999999,4373013.7306995277168918
1784126700000,2026-07-15T14:45:00Z,1825.426,1826.33,1820.564,1824.354,11931.563959,21737586.9955147008
1784127000000,2026-07-15T14:50:00Z,1824.356,1834.243,1823.61,1833.977,4681.970446,8557327.4282547402
1784127300000,2026-07-15T14:55:00Z,1833.997,1836.422,1830.542,1832.702,6012.971256,11021511.3506495244
1784127600000,2026-07-15T15:00:00Z,1830.53,1837.19,1830.53,1834.16,5203.946759,9539027.99606643
1784127900000,2026-07-15T15:05:00Z,1835.11,1841.357,1833.348,1839.79,4068.976588,7472916.38727601
1784128200000,2026-07-15T15:10:00Z,1842.95,1850.528,1841.271,1849.015,7467.005803,13780404.7581719
1784128500000,2026-07-15T15:15:00Z,1849.27,1853.234,1846.48,1853.16,12278.338128999998,22717001.80562761
1784128800000,2026-07-15T15:20:00Z,1853.68,1855.2,1847.77,1847.77,4486.590508,8300575.14597033
1784129100000,2026-07-15T15:25:00Z,1848.38,1852.174,1846.915,1851.57,2836.0334169999996,5246441.74525684
1784129400000,2026-07-15T15:30:00Z,1851.75,1854.755,1851.404,1852.905,5156.06899,9551777.12650679
1784129700000,2026-07-15T15:35:00Z,1850.02,1852.78,1848.918,1851.52,5283.18181,9780006.3863087
1784130000000,2026-07-15T15:40:00Z,1851.9,1853.767,1851.058,1851.058,1166.959901,2161876.8876274
1784130300000,2026-07-15T15:45:00Z,1852.57,1854.362,1850.273,1850.88,2454.282205,4545669.58003251
1784130600000,2026-07-15T15:50:00Z,1850.11,1851.382,1848.257,1849.315,3011.3584199999996,5570919.42375314
1784130900000,2026-07-15T15:55:00Z,1849.38,1849.38,1846.975,1848.1,1617.315389,2989067.31322657
1784131200000,2026-07-15T16:00:00Z,1847.425,1847.781,1842.3,1844.161,1289.74129,2381119.463751125
1784131500000,2026-07-15T16:05:00Z,1844.18,1846.394,1844.18,1846.304,2510.892836,4632803.4265183324
1784131800000,2026-07-15T16:10:00Z,1846.14,1849.635,1845.75,1845.75,5398.925496,9973023.13074546
1784132100000,2026-07-15T16:15:00Z,1844.27,1848.71,1843.516,1847.91,3555.561849,6563514.55093863
1784132400000,2026-07-15T16:20:00Z,1846.47,1853.04,1845.475,1853.04,5552.582857,10260465.72068002
1784132700000,2026-07-15T16:25:00Z,1850.985,1852.505,1847.555,1849.07,3188.320305,5899533.0264231
1784133000000,2026-07-15T16:30:00Z,1847.77,1849.65,1846.994,1848.96,3827.076578,7072341.45652189
1784133300000,2026-07-15T16:35:00Z,1849.64,1851.595,1847.596,1848.97,4131.823013,7643648.21606039
1784133600000,2026-07-15T16:40:00Z,1846.73,1848.11,1842.967,1844.99,1269.972409,2344771.26727593
1784133900000,2026-07-15T16:45:00Z,1842.65,1844.75,1841.83,1842.31,6068.799181,11182321.42739707
1784134200000,2026-07-15T16:50:00Z,1842.625,1844.3,1842.06,1842.99,3020.0771179999997,5566270.00931437
1784134500000,2026-07-15T16:55:00Z,1841.64,1842.86,1841.27,1841.8,3201.272599,5895791.10850528
1784134800000,2026-07-15T17:00:00Z,1842.7,1842.94,1840.565,1840.585,2655.823988,4891748.92437726
1784135100000,2026-07-15T17:05:00Z,1840.49,1841.829,1836.454,1841.27,6590.354106999999,12120695.8883678
1784135400000,2026-07-15T17:10:00Z,1841.677,1845.09,1840.73,1844.574,4536.842608,8357560.4810465668
1784135700000,2026-07-15T17:15:00Z,1844.572,1845.62,1843.26,1843.648,2510.486461,4631602.2709306018
1784136000000,2026-07-15T17:20:00Z,1843.623,1845.957,1841.718,1844.171,2962.11418,5459832.0698929386
1784136300000,2026-07-15T17:25:00Z,1842.76,1845.326,1842.33,1844.08,1941.881744,3580115.71183056
1784136600000,2026-07-15T17:30:00Z,1845.855,1847.89,1845.094,1846.29,3202.033984,5914022.92342747
1784136900000,2026-07-15T17:35:00Z,1845.04,1848.1,1844.672,1848.1,2353.4350160000004,4343864.44795708
1784137200000,2026-07-15T17:40:00Z,1848.73,1848.775,1845.937,1847.58,1772.5949199999998,3275397.87976464
1784137500000,2026-07-15T17:45:00Z,1846.73,1849.654,1844.78,1847.495,15320.749154000001,28285514.8691206
1784137800000,2026-07-15T17:50:00Z,1847.5,1847.67,1841.1,1842.27,11128.71758,20532259.13500488
1784138100000,2026-07-15T17:55:00Z,1842.155,1844.54,1842.145,1843.43,1517.052601,2795711.6119421
1784138400000,2026-07-15T18:00:00Z,1843.44,1845.61,1842.091,1842.335,12314.285909999999,22710413.67808562
1784138700000,2026-07-15T18:05:00Z,1841.98,1848.679,1840.71,1845.045,2624.2761769999997,4834274.14444931
1784139000000,2026-07-15T18:10:00Z,1847.07,1851.055,1846.232,1851.055,2077.7347870000003,3840696.07814516
1784139300000,2026-07-15T18:15:00Z,1851.07,1853.584,1850.594,1852.325,3329.10793,6167108.18854195
1784139600000,2026-07-15T18:20:00Z,1852.72,1853.888,1851.882,1853.185,1254.263844,2324136.35347141
