ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,50.72,50.812,50.65,50.7,22754.313248000002,1153493.50320616
1784043600000,2026-07-14T15:40:00Z,50.72,50.795,50.645,50.69,14152.283203,717550.47818683
1784043900000,2026-07-14T15:45:00Z,50.83,51.01,50.791,50.95,25697.351986,1308825.24055655
1784044200000,2026-07-14T15:50:00Z,50.915,50.949,50.77,50.77,11769.709866,598805.17491051
1784044500000,2026-07-14T15:55:00Z,50.85,50.885,50.759,50.83,23981.156242,1218727.15644969
1784044800000,2026-07-14T16:00:00Z,50.85,50.91,50.835,50.89,16476.794256,838326.11030988
1784045100000,2026-07-14T16:05:00Z,50.955,50.97,50.896,50.96,10368.504618,528165.40413815
1784045400000,2026-07-14T16:10:00Z,50.87,50.958,50.837,50.87,10434.381469999998,531169.49279738
1784045700000,2026-07-14T16:15:00Z,50.835,50.864,50.745,50.82,16198.831002,822892.5154861
1784046000000,2026-07-14T16:20:00Z,50.885,50.939,50.851,50.865,9999.496742,508741.39589371
1784046300000,2026-07-14T16:25:00Z,50.935,51.034,50.935,50.98,20641.64135,1052180.8336825
1784046600000,2026-07-14T16:30:00Z,51.08,51.08,50.977,51.02,16264.088751,830210.16874805
1784046900000,2026-07-14T16:35:00Z,51.085,51.14,51.031,51.11,35760.207053,1826695.74463994
1784047200000,2026-07-14T16:40:00Z,51.03,51.065,50.988,50.99,29578.705735000003,1509392.48004533
1784047500000,2026-07-14T16:45:00Z,50.955,50.987,50.706,50.75,24955.513713,1267790.00764783
1784047800000,2026-07-14T16:50:00Z,50.77,50.845,50.74,50.845,17167.101513,871711.08062711
1784048100000,2026-07-14T16:55:00Z,50.82,50.832,50.74,50.8,15831.773493,804005.53460056
1784048400000,2026-07-14T17:00:00Z,50.76,50.795,50.661,50.69,20416.007532,1036275.71030926
1784048700000,2026-07-14T17:05:00Z,50.635,50.69,50.61,50.61,23779.47107,1204603.79983431
1784049000000,2026-07-14T17:10:00Z,50.675,50.675,50.58,50.58,15913.675892,805809.66657008
1784049300000,2026-07-14T17:15:00Z,50.58,50.604,50.542,50.59,22504.040258,1138267.85867379
1784049600000,2026-07-14T17:20:00Z,50.58,50.727,50.58,50.725,19349.926686000003,980396.93042156
1784049900000,2026-07-14T17:25:00Z,50.75,50.813,50.715,50.79,16545.127999000004,840024.27522683
1784050200000,2026-07-14T17:30:00Z,50.8,50.81,50.77,50.795,14091.196335,715822.90998057
1784050500000,2026-07-14T17:35:00Z,50.85,50.88,50.785,50.81,16438.241719,835506.51185161
1784050800000,2026-07-14T17:40:00Z,50.82,50.86,50.8,50.8,12590.95264,640085.00026442
1784051100000,2026-07-14T17:45:00Z,50.79,50.822,50.746,50.82,15656.455827000002,795183.56322542
1784051400000,2026-07-14T17:50:00Z,50.8,50.94,50.8,50.94,16688.520228,848808.17813249
1784051700000,2026-07-14T17:55:00Z,50.875,50.957,50.865,50.875,12660.024856000002,644492.74736179
1784052000000,2026-07-14T18:00:00Z,50.87,50.91,50.84,50.84,12699.731850999999,646081.07829503
1784052300000,2026-07-14T18:05:00Z,50.96,51.035,50.91,51.015,20481.409161,1043925.13609067
1784052600000,2026-07-14T18:10:00Z,51.06,51.135,51.025,51.125,12195.454555999999,623113.33553881
1784052900000,2026-07-14T18:15:00Z,51.15,51.235,51.115,51.235,27731.823949999998,1419073.48289263
1784053200000,2026-07-14T18:20:00Z,51.235,51.235,51.11,51.11,21272.324381,1088268.71577514
1784053500000,2026-07-14T18:25:00Z,51.1,51.199,51.085,51.14,37628.170907,1924300.89736689
1784053800000,2026-07-14T18:30:00Z,51.13,51.19,51.127,51.19,12284.130804,628464.7308242
1784054100000,2026-07-14T18:35:00Z,51.21,51.21,51.1,51.12,27331.861337000002,1398144.96757743
1784054400000,2026-07-14T18:40:00Z,51.11,51.12,51.065,51.085,27264.075245,1392880.70815418
1784054700000,2026-07-14T18:45:00Z,51.14,51.167,51.075,51.14,18524.946255,947117.51720088
1784055000000,2026-07-14T18:50:00Z,51.12,51.305,51.116,51.295,28812.344207999995,1474857.80025679
1784055300000,2026-07-14T18:55:00Z,51.26,51.32,51.218,51.24,39406.18629400001,2020422.16181008
1784055600000,2026-07-14T19:00:00Z,51.185,51.219,51.091,51.16,21467.787756,1098023.67425001
1784055900000,2026-07-14T19:05:00Z,51.13,51.175,51.063,51.09,15194.555384,776549.66146563
1784056200000,2026-07-14T19:10:00Z,51.07,51.246,51.065,51.215,17954.423282,918156.88867957
1784056500000,2026-07-14T19:15:00Z,51.215,51.218,51.073,51.08,18666.389861,954851.17375466
1784056800000,2026-07-14T19:20:00Z,50.99,51.072,50.97,51.01,18080.957056,922280.68989527
1784057100000,2026-07-14T19:25:00Z,51.015,51.04,50.983,51.01,27483.448177000002,1402112.08226674
1784057400000,2026-07-14T19:30:00Z,50.92,51.075,50.836,51.075,32097.623912000003,1635078.64017641
1784057700000,2026-07-14T19:35:00Z,51.05,51.18,51.04,51.18,47631.572482,2435154.61682775
1784058000000,2026-07-14T19:40:00Z,51.12,51.22,51.07,51.21,87662.593199,4483643.58931197
1784058300000,2026-07-14T19:45:00Z,51.24,51.33,51.205,51.3,89953.638828,4610537.77667361
1784058600000,2026-07-14T19:50:00Z,51.28,51.311,51.05,51.12,130062.14231699999,6651729.12587564
1784058900000,2026-07-14T19:55:00Z,51.11,51.116,50.789,50.79,318975.421395,16239868.03931508
1784059200000,2026-07-14T20:00:00Z,50.788,51.145,50.726,50.726,282187.493484,14335632.60647547
1784059500000,2026-07-14T20:05:00Z,50.725,50.725,50.725,50.725,1027,52094.575
1784059800000,2026-07-14T20:10:00Z,50.725,50.725,50.692,50.725,73.65809,3736.25505459
1784060100000,2026-07-14T20:15:00Z,50.725,50.86,50.725,50.86,4118.768734,209478.93030375
