ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,537.35,537.434,536.305,536.7,3245.055188,1742824.71036883
1784043600000,2026-07-14T15:40:00Z,536.9,536.98,536.311,536.98,2586.370601,1387725.42235247
1784043900000,2026-07-14T15:45:00Z,536.77,537.395,536.73,537.23,3851.002183,2067750.56543631
1784044200000,2026-07-14T15:50:00Z,537.405,537.543,537.095,537.42,2615.826403,1405625.30412294
1784044500000,2026-07-14T15:55:00Z,537.48,537.48,536.436,536.53,5527.820452,2969456.14890512
1784044800000,2026-07-14T16:00:00Z,536.725,536.775,536.411,536.775,2259.244386,1212144.25714079
1784045100000,2026-07-14T16:05:00Z,536.485,536.51,535.92,536.22,4326.748491,2320126.71855589
1784045400000,2026-07-14T16:10:00Z,536.09,536.39,535.981,536.32,3234.561882,1734513.43148264
1784045700000,2026-07-14T16:15:00Z,536.405,536.461,536.12,536.13,3179.73752,1705476.0668834
1784046000000,2026-07-14T16:20:00Z,535.64,536.321,535.52,535.665,5470.895951,2932652.43803934
1784046300000,2026-07-14T16:25:00Z,535.67,536.252,535.67,536.125,2521.496213,1351524.49166421
1784046600000,2026-07-14T16:30:00Z,536.27,539,535.941,538.935,13142.521529999998,7070119.34022713
1784046900000,2026-07-14T16:35:00Z,538.57,539.1,538.036,538.42,10286.886058999999,5540856.29861735
1784047200000,2026-07-14T16:40:00Z,538.4,538.678,537.9,538.42,4425.959393,2382723.20594846
1784047500000,2026-07-14T16:45:00Z,537.92,538.06,537.665,537.93,3930.6295029999997,2114122.09547638
1784047800000,2026-07-14T16:50:00Z,537.47,537.84,536.375,536.63,6796.4287970000005,3652338.98800575
1784048100000,2026-07-14T16:55:00Z,536.39,536.39,536.043,536.08,3324.478776,1782766.37133661
1784048400000,2026-07-14T17:00:00Z,536.03,536.04,534.645,535.03,7135.8704720000005,3820200.388165
1784048700000,2026-07-14T17:05:00Z,534.655,535.052,534.286,534.615,7889.301835,4217424.31737531
1784049000000,2026-07-14T17:10:00Z,535.54,535.54,534.87,535.275,4853.75876,2597680.23850914
1784049300000,2026-07-14T17:15:00Z,534.895,535.01,534.44,534.79,3370.717888,1802544.98502242
1784049600000,2026-07-14T17:20:00Z,535.3,535.621,534.8,535.21,4324.701486,2314354.05341948
1784049900000,2026-07-14T17:25:00Z,535.73,536.213,535.501,535.89,5387.673654,2886237.11839272
1784050200000,2026-07-14T17:30:00Z,535.65,535.904,535.48,535.48,3952.30847,2117437.01064624
1784050500000,2026-07-14T17:35:00Z,535.49,535.829,535.475,535.67,3436.137346,1840407.18899831
1784050800000,2026-07-14T17:40:00Z,535.545,535.545,535.226,535.54,3046.8710410000003,1631590.60652948
1784051100000,2026-07-14T17:45:00Z,535.53,535.55,535.176,535.245,6549.2045339999995,3506768.29312803
