ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,7.2,7.205,7.18,7.195,921048.481289,6626667.50832997
1784043600000,2026-07-14T15:40:00Z,7.19,7.2,7.165,7.2,1117398.183122,8028952.90500482
1784043900000,2026-07-14T15:45:00Z,7.21,7.22,7.18,7.195,1228007.379829,8844231.95026644
1784044200000,2026-07-14T15:50:00Z,7.19,7.195,7.15,7.15,1653124.207466,11856372.1283669
1784044500000,2026-07-14T15:55:00Z,7.15,7.193,7.147,7.185,1793532.03453,12850657.02740745
1784044800000,2026-07-14T16:00:00Z,7.185,7.21,7.185,7.185,1175667.835523,8453522.00454458
1784045100000,2026-07-14T16:05:00Z,7.19,7.205,7.18,7.18,807575.533031,5807275.65802592
1784045400000,2026-07-14T16:10:00Z,7.18,7.195,7.17,7.17,953401.146279,6847231.69246115
1784045700000,2026-07-14T16:15:00Z,7.18,7.18,7.15,7.17,1428706.812288,10229826.51734454
1784046000000,2026-07-14T16:20:00Z,7.175,7.175,7.13,7.16,788395.9055369999,5641603.42084166
1784046300000,2026-07-14T16:25:00Z,7.185,7.19,7.165,7.18,1189364.279033,8537494.66775468
1784046600000,2026-07-14T16:30:00Z,7.18,7.2,7.17,7.2,909986.413801,6539253.36821537
1784046900000,2026-07-14T16:35:00Z,7.18,7.195,7.16,7.17,780967.0785069999,5609842.71833148
1784047200000,2026-07-14T16:40:00Z,7.16,7.2,7.16,7.2,324876.26062,2334365.88305895
1784047500000,2026-07-14T16:45:00Z,7.2,7.2,7.16,7.17,76809.84965399999,551617.61627517
1784047800000,2026-07-14T16:50:00Z,7.165,7.19,7.155,7.155,257751.287554,1848721.10998107
1784048100000,2026-07-14T16:55:00Z,7.15,7.166,7.13,7.15,973254.6497079999,6957116.2125077
1784048400000,2026-07-14T17:00:00Z,7.15,7.15,7.115,7.115,935883.0039740001,6671348.40552826
1784048700000,2026-07-14T17:05:00Z,7.12,7.125,7.1,7.1,824956.214317,5870305.92545834
1784049000000,2026-07-14T17:10:00Z,7.095,7.115,7.07,7.085,1009901.151963,7168783.32720936
1784049300000,2026-07-14T17:15:00Z,7.085,7.09,7.06,7.07,1285175.0018179999,9093898.31286417
1784049600000,2026-07-14T17:20:00Z,7.08,7.115,7.065,7.11,1122635.874016,7958927.02883643
1784049900000,2026-07-14T17:25:00Z,7.12,7.15,7.105,7.15,1359795.876781,9688273.66288927
1784050200000,2026-07-14T17:30:00Z,7.14,7.195,7.135,7.195,3371187.16731,24127923.6751544
1784050500000,2026-07-14T17:35:00Z,7.21,7.215,7.17,7.21,1542014.502805,11096953.1679859
1784050800000,2026-07-14T17:40:00Z,7.21,7.24,7.205,7.235,1754602.4392300001,12666124.08831352
1784051100000,2026-07-14T17:45:00Z,7.235,7.245,7.22,7.245,1142217.9413009998,8263718.36172447
1784051400000,2026-07-14T17:50:00Z,7.24,7.295,7.24,7.28,1777989.8594870002,12908561.97784752
1784051700000,2026-07-14T17:55:00Z,7.285,7.37,7.285,7.32,2971329.424906,21766473.7021489
1784052000000,2026-07-14T18:00:00Z,7.32,7.36,7.305,7.335,1960079.3147069998,14377181.77337584
1784052300000,2026-07-14T18:05:00Z,7.33,7.35,7.33,7.34,1469055.693894,10787863.5825412
1784052600000,2026-07-14T18:10:00Z,7.32,7.37,7.32,7.355,1069495.7347890001,7849563.94548387
1784052900000,2026-07-14T18:15:00Z,7.34,7.39,7.34,7.37,1707693.087639,12582624.20834168
1784053200000,2026-07-14T18:20:00Z,7.345,7.38,7.34,7.35,1686012.494417,12414784.40139014
1784053500000,2026-07-14T18:25:00Z,7.36,7.36,7.345,7.355,710499.7296160001,5225370.26146087
1784053800000,2026-07-14T18:30:00Z,7.35,7.375,7.34,7.37,1317753.320106,9705253.20258069
1784054100000,2026-07-14T18:35:00Z,7.38,7.38,7.32,7.33,972640.6920269999,7160094.45435676
1784054400000,2026-07-14T18:40:00Z,7.325,7.37,7.32,7.37,1167421.81878,8573312.35275656
1784054700000,2026-07-14T18:45:00Z,7.36,7.39,7.347,7.39,1201091.8568590002,8841477.37671047
1784055000000,2026-07-14T18:50:00Z,7.37,7.41,7.37,7.395,1383823.462298,10228254.35688321
1784055300000,2026-07-14T18:55:00Z,7.395,7.395,7.3,7.3,1072073.70111,7900003.89610948
1784055600000,2026-07-14T19:00:00Z,7.32,7.39,7.31,7.39,2024903.847417,14894180.24967574
1784055900000,2026-07-14T19:05:00Z,7.38,7.38,7.33,7.335,1630739.8703680001,11990341.04485479
1784056200000,2026-07-14T19:10:00Z,7.34,7.385,7.32,7.375,2140231.517595,15744399.13603586
1784056500000,2026-07-14T19:15:00Z,7.38,7.38,7.35,7.37,1277039.1702090001,9410246.23743608
1784056800000,2026-07-14T19:20:00Z,7.37,7.41,7.35,7.41,1696880.0481190002,12517544.73896424
1784057100000,2026-07-14T19:25:00Z,7.41,7.41,7.345,7.345,1082141.991192,7996488.24391328
1784057400000,2026-07-14T19:30:00Z,7.34,7.38,7.316,7.37,1759010.8380960003,12925915.24266465
1784057700000,2026-07-14T19:35:00Z,7.365,7.385,7.355,7.385,952309.296815,7018043.36287814
1784058000000,2026-07-14T19:40:00Z,7.37,7.405,7.365,7.395,1357670.0523410002,10025986.03552258
1784058300000,2026-07-14T19:45:00Z,7.395,7.415,7.375,7.415,1082312.625595,8008572.2730902
1784058600000,2026-07-14T19:50:00Z,7.4,7.44,7.375,7.425,2322837.886636,17207118.49662216
1784058900000,2026-07-14T19:55:00Z,7.43,7.43,7.345,7.36,3696862.965988,27293569.59159281
1784059200000,2026-07-14T20:00:00Z,7.36,7.365,7.346,7.36,4943966.759594,36369302.67360134
1784059500000,2026-07-14T20:05:00Z,7.365,7.375,7.365,7.365,25579,188453.2825
1784059800000,2026-07-14T20:10:00Z,7.38,7.385,7.365,7.38,12078.026691,89080.2780568
1784060100000,2026-07-14T20:15:00Z,7.385,7.385,7.381,7.381,10257,75742.8165
1784060400000,2026-07-14T20:20:00Z,7.381,7.381,7.375,7.375,10586,78098.215
1784060700000,2026-07-14T20:25:00Z,7.375,7.39,7.371,7.371,4097,30237.4988
1784061000000,2026-07-14T20:30:00Z,7.37,7.375,7.358,7.37,24653.508152000002,181703.75113269
1784061300000,2026-07-14T20:35:00Z,7.366,7.366,7.365,7.365,38192.128551999995,281285.02678548
1784061600000,2026-07-14T20:40:00Z,7.365,7.373,7.355,7.373,17204.3741,126608.70943931
1784061900000,2026-07-14T20:45:00Z,7.374,7.375,7.365,7.37,3943,29056.3613
1784062200000,2026-07-14T20:50:00Z,7.37,7.374,7.37,7.374,17098.543363,126023.10400266
1784062500000,2026-07-14T20:55:00Z,7.374,7.375,7.37,7.375,4291,31633.6811
1784062800000,2026-07-14T21:00:00Z,7.375,7.375,7.37,7.37,4309.279500000001,31759.82084295
1784063100000,2026-07-14T21:05:00Z,7.37,7.374,7.37,7.374,4452,32811.24
1784063400000,2026-07-14T21:10:00Z,7.375,7.38,7.375,7.38,9802.634395000001,72320.89577599
1784063700000,2026-07-14T21:15:00Z,7.38,7.38,7.375,7.375,3012.715518,22227.2125487
1784064000000,2026-07-14T21:20:00Z,7.375,7.375,7.37,7.375,2755.81,20322.169683
1784064300000,2026-07-14T21:25:00Z,7.375,7.375,7.375,7.375,1002.630091,7394.39692113
1784064600000,2026-07-14T21:30:00Z,7.365,7.379,7.365,7.365,5012,36965.0036
1784064900000,2026-07-14T21:35:00Z,7.375,7.375,7.375,7.375,6694.701433,49373.42306838
1784065200000,2026-07-14T21:40:00Z,7.37,7.38,7.37,7.37,3640,26857.012
1784065500000,2026-07-14T21:45:00Z,7.38,7.38,7.375,7.375,5472,40381.1712
1784065800000,2026-07-14T21:50:00Z,7.375,7.375,7.375,7.375,6593.883336,48629.889603
