ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,136.485,136.537,136.447,136.5,46063.845432,6286922.60332657
1784043600000,2026-07-14T15:40:00Z,136.54,136.62,136.445,136.445,58311.646538,7961860.55596921
1784043900000,2026-07-14T15:45:00Z,136.48,136.506,136.389,136.395,40000.593154999995,5457872.93291534
1784044200000,2026-07-14T15:50:00Z,136.305,136.56,136.291,136.5,46378.621034,6325677.51793143
1784044500000,2026-07-14T15:55:00Z,136.4,136.486,136.31,136.33,46574.879642,6352874.13051233
1784044800000,2026-07-14T16:00:00Z,136.29,136.41,136.28,136.41,44618.453821,6083079.21091295
1784045100000,2026-07-14T16:05:00Z,136.375,136.415,136.26,136.26,49663.59660999999,6771273.81987791
1784045400000,2026-07-14T16:10:00Z,136.31,136.364,136.235,136.35,65140.811427,8878549.28771496
1784045700000,2026-07-14T16:15:00Z,136.355,136.434,136.296,136.32,39206.891581,5346349.75321411
1784046000000,2026-07-14T16:20:00Z,136.225,136.292,136.07,136.11,74949.096477,10204731.70537417
1784046300000,2026-07-14T16:25:00Z,136.115,136.21,136.058,136.1,76973.302394,10479345.51850538
1784046600000,2026-07-14T16:30:00Z,136.05,136.28,136.05,136.25,55639.149056999995,7575782.02428187
1784046900000,2026-07-14T16:35:00Z,136.25,136.347,136.19,136.195,31827.990336,4337642.65215239
1784047200000,2026-07-14T16:40:00Z,136.23,136.293,136.02,136.075,12399.023181,1688930.46279528
1784047500000,2026-07-14T16:45:00Z,136.05,136.05,135.88,135.93,18167.355907999998,2469405.11873726
1784047800000,2026-07-14T16:50:00Z,135.89,136.049,135.8,135.92,18332.74758,2491596.39049877
1784048100000,2026-07-14T16:55:00Z,135.93,135.955,135.79,135.8,59443.819515999996,8075514.21383202
1784048400000,2026-07-14T17:00:00Z,135.83,135.85,135.72,135.8,54835.05958,7445970.48777883
1784048700000,2026-07-14T17:05:00Z,135.82,135.95,135.783,135.94,46142.214165000005,6268959.65822098
1784049000000,2026-07-14T17:10:00Z,135.965,136.293,135.951,136.29,115939.6807,15784886.08413518
1784049300000,2026-07-14T17:15:00Z,136.245,136.282,136.14,136.185,61488.53707300001,8374191.50136265
1784049600000,2026-07-14T17:20:00Z,136.14,136.189,136.039,136.05,32874.769469,4473585.47943373
