ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,8.19,8.205,8.15,8.185,64758.518799,529621.07014574
1784043600000,2026-07-14T15:40:00Z,8.17,8.205,8.157,8.2,43933.928152,359076.38817911
1784043900000,2026-07-14T15:45:00Z,8.195,8.22,8.185,8.195,98689.95551100001,810155.71378535
1784044200000,2026-07-14T15:50:00Z,8.19,8.195,8.14,8.14,76329.19275799999,622914.90917876
1784044500000,2026-07-14T15:55:00Z,8.145,8.205,8.145,8.19,60850.525934000005,497446.96445786
1784044800000,2026-07-14T16:00:00Z,8.205,8.215,8.19,8.215,48670.143698,399250.92278343
1784045100000,2026-07-14T16:05:00Z,8.225,8.25,8.208,8.25,122951.661924,1012593.00210749
1784045400000,2026-07-14T16:10:00Z,8.26,8.26,8.22,8.235,74266.842596,611565.16872528
1784045700000,2026-07-14T16:15:00Z,8.22,8.235,8.2,8.225,46967.631848000005,385890.76002635
1784046000000,2026-07-14T16:20:00Z,8.23,8.24,8.21,8.24,36624.366465,301059.61721559
1784046300000,2026-07-14T16:25:00Z,8.245,8.275,8.235,8.27,96675.540109,797534.53568321
1784046600000,2026-07-14T16:30:00Z,8.275,8.275,8.24,8.24,46242.004309,382009.82179708
1784046900000,2026-07-14T16:35:00Z,8.25,8.255,8.21,8.21,33951.407279,279691.6931644
1784047200000,2026-07-14T16:40:00Z,8.2,8.215,8.2,8.2,2982.724828,24482.50366071
1784047500000,2026-07-14T16:45:00Z,8.215,8.215,8.185,8.185,4830.187,39614.2956618
1784047800000,2026-07-14T16:50:00Z,8.215,8.215,8.18,8.18,11797.873197,96716.60489437
1784048100000,2026-07-14T16:55:00Z,8.19,8.195,8.15,8.175,45332.830172,370750.01827868
1784048400000,2026-07-14T17:00:00Z,8.175,8.18,8.14,8.14,55672.963979,454725.63518768
1784048700000,2026-07-14T17:05:00Z,8.14,8.145,8.12,8.125,25786.959086,209738.23172598
1784049000000,2026-07-14T17:10:00Z,8.12,8.145,8.12,8.125,22381.287276999996,181966.57994819
1784049300000,2026-07-14T17:15:00Z,8.14,8.14,8.12,8.12,41923.078906999996,340809.47766657
1784049600000,2026-07-14T17:20:00Z,8.13,8.16,8.125,8.15,35849.975062,291843.89198722
1784049900000,2026-07-14T17:25:00Z,8.16,8.195,8.155,8.175,37911.957951,309714.1580891
1784050200000,2026-07-14T17:30:00Z,8.191,8.205,8.185,8.195,49775.765357,407922.35225369
1784050500000,2026-07-14T17:35:00Z,8.21,8.215,8.195,8.21,44572.689375,365696.62997719
1784050800000,2026-07-14T17:40:00Z,8.2,8.205,8.195,8.195,48522.48871,397947.48665732
1784051100000,2026-07-14T17:45:00Z,8.195,8.215,8.195,8.215,23319.515961,191250.34625095
1784051400000,2026-07-14T17:50:00Z,8.23,8.285,8.205,8.275,75268.862085,620486.39148391
1784051700000,2026-07-14T17:55:00Z,8.275,8.295,8.25,8.265,96154.22340999999,795964.66138798
1784052000000,2026-07-14T18:00:00Z,8.26,8.295,8.235,8.285,54482.536530000005,449911.33841109
