ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,10.01,10.03,9.97,10,96320.46290999999,963503.22253502
1784043600000,2026-07-14T15:40:00Z,10,10.015,9.96,10.01,54441.03122999999,544029.22508139
1784043900000,2026-07-14T15:45:00Z,10.015,10.05,9.995,10.03,76019.63340600001,761823.15421489
1784044200000,2026-07-14T15:50:00Z,10.015,10.023,9.94,9.94,151252.901802,1509821.59107774
1784044500000,2026-07-14T15:55:00Z,9.945,9.985,9.937,9.98,100851.79214399999,1004342.65724524
1784044800000,2026-07-14T16:00:00Z,9.98,9.995,9.955,9.96,87236.42139,870392.67077659
1784045100000,2026-07-14T16:05:00Z,9.95,9.98,9.94,9.97,76390.625931,761026.3327124
1784045400000,2026-07-14T16:10:00Z,9.975,9.975,9.92,9.94,64939.287689000004,645957.58857125
1784045700000,2026-07-14T16:15:00Z,9.92,9.94,9.907,9.94,59278.605305,588304.59048894
1784046000000,2026-07-14T16:20:00Z,9.95,9.965,9.92,9.95,44704.622793,444372.89148698
1784046300000,2026-07-14T16:25:00Z,9.965,9.995,9.965,9.99,111700.95657100002,1114764.37648292
1784046600000,2026-07-14T16:30:00Z,10.01,10.02,9.986,10.005,128369.204133,1283640.69364835
1784046900000,2026-07-14T16:35:00Z,9.995,10,9.93,9.93,106275.84691200001,1060165.33845535
1784047200000,2026-07-14T16:40:00Z,9.935,9.954,9.93,9.94,40609.171359,403809.47815962
1784047500000,2026-07-14T16:45:00Z,9.92,9.935,9.89,9.9,71955.34414300001,712976.72297533
1784047800000,2026-07-14T16:50:00Z,9.895,9.925,9.895,9.925,55052.112461,545632.49702346
1784048100000,2026-07-14T16:55:00Z,9.9,9.9,9.855,9.86,81410.898809,804266.41042399
1784048400000,2026-07-14T17:00:00Z,9.875,9.89,9.86,9.875,68346.97581500001,674905.88208038
1784048700000,2026-07-14T17:05:00Z,9.87,9.874,9.8,9.82,85490.69271199999,840681.27585272
1784049000000,2026-07-14T17:10:00Z,9.81,9.84,9.79,9.8,57738.65035899999,566895.39081977
1784049300000,2026-07-14T17:15:00Z,9.805,9.83,9.76,9.8,89998.98894000001,881810.09363412
1784049600000,2026-07-14T17:20:00Z,9.76,9.86,9.76,9.85,76179.373012,747456.77211914
1784049900000,2026-07-14T17:25:00Z,9.86,9.885,9.835,9.88,42341.673964999994,417556.65197324
1784050200000,2026-07-14T17:30:00Z,9.88,9.905,9.856,9.87,58748.097672,580542.82638494
1784050500000,2026-07-14T17:35:00Z,9.865,9.885,9.855,9.865,61637.282995,608181.23503996
1784050800000,2026-07-14T17:40:00Z,9.87,9.88,9.855,9.865,43220.080289000005,426331.51598675
1784051100000,2026-07-14T17:45:00Z,9.85,9.893,9.85,9.865,62698.757603000005,618623.56176576
1784051400000,2026-07-14T17:50:00Z,9.865,9.905,9.865,9.88,42226.260905,417469.92843728
1784051700000,2026-07-14T17:55:00Z,9.895,9.935,9.88,9.92,86700.979262,858183.63293113
1784052000000,2026-07-14T18:00:00Z,9.915,9.94,9.895,9.93,59620.656594,590882.44130616
1784052300000,2026-07-14T18:05:00Z,9.93,9.93,9.905,9.93,53073.17169,526459.32657896
1784052600000,2026-07-14T18:10:00Z,9.88,9.905,9.88,9.88,64175.427847,635157.04448733
1784052900000,2026-07-14T18:15:00Z,9.89,9.915,9.89,9.9,28705.177673,284339.1374399
1784053200000,2026-07-14T18:20:00Z,9.88,9.905,9.848,9.9,41850.667444,413455.29887951
1784053500000,2026-07-14T18:25:00Z,9.82,9.85,9.82,9.83,58641.612385,577015.87338468
1784053800000,2026-07-14T18:30:00Z,9.85,9.854,9.835,9.84,64352.68887,633520.04558072
1784054100000,2026-07-14T18:35:00Z,9.875,9.875,9.835,9.85,61284.191314,604035.37484818
1784054400000,2026-07-14T18:40:00Z,9.835,9.845,9.81,9.825,69077.83568399999,678703.55116244
1784054700000,2026-07-14T18:45:00Z,9.83,9.845,9.817,9.845,31368.047501999998,308228.70836415
1784055000000,2026-07-14T18:50:00Z,9.82,9.85,9.815,9.84,59716.255654,587231.74322474
1784055300000,2026-07-14T18:55:00Z,9.83,9.845,9.785,9.8,86373.828672,848095.9863475
1784055600000,2026-07-14T19:00:00Z,9.79,9.824,9.783,9.81,127361.14437299999,1247859.02033778
1784055900000,2026-07-14T19:05:00Z,9.81,9.82,9.785,9.81,137588.803699,1348425.31177168
1784056200000,2026-07-14T19:10:00Z,9.79,9.85,9.79,9.84,164655.394651,1615960.97418384
1784056500000,2026-07-14T19:15:00Z,9.82,9.83,9.79,9.79,374687.160898,3677292.20320124
1784056800000,2026-07-14T19:20:00Z,9.81,9.835,9.775,9.835,293120.225867,2872783.39765471
1784057100000,2026-07-14T19:25:00Z,9.83,9.83,9.78,9.8,256118.317442,2512136.51662986
1784057400000,2026-07-14T19:30:00Z,9.76,9.8,9.73,9.785,346334.49326899997,3382579.72885967
1784057700000,2026-07-14T19:35:00Z,9.78,9.805,9.77,9.795,148670.106478,1455703.34757934
1784058000000,2026-07-14T19:40:00Z,9.8,9.83,9.76,9.825,173433.90235299998,1698282.11523081
1784058300000,2026-07-14T19:45:00Z,9.825,9.855,9.817,9.83,232786.181118,2289289.14096875
1784058600000,2026-07-14T19:50:00Z,9.81,9.817,9.76,9.78,246423.75467300002,2411478.22085451
1784058900000,2026-07-14T19:55:00Z,9.775,9.78,9.72,9.75,840443.115151,8201632.22782406
1784059200000,2026-07-14T20:00:00Z,9.741,9.8,9.741,9.77,1027119.8711209999,10013391.62355863
1784059500000,2026-07-14T20:05:00Z,9.74,9.77,9.71,9.72,15894.617752,155067.89078851
1784059800000,2026-07-14T20:10:00Z,9.73,9.755,9.73,9.73,13187.985831,128584.18065083
1784060100000,2026-07-14T20:15:00Z,9.72,9.73,9.72,9.72,5287.814345999999,51445.14577223
1784060400000,2026-07-14T20:20:00Z,9.71,9.76,9.71,9.71,8114.481002,78994.47255447
1784060700000,2026-07-14T20:25:00Z,9.726,9.78,9.724,9.78,2791.5293739999997,27301.15727772
