ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,751.99,752.022,751.53,751.86,213682.827905,160650083.47109432
1784043600000,2026-07-14T15:40:00Z,751.83,751.857,750.81,751.57,839193.533198,630588986.61882747
1784043900000,2026-07-14T15:45:00Z,751.55,751.94,751.53,751.62,195919.365258,147276172.18882282
1784044200000,2026-07-14T15:50:00Z,751.595,751.65,750.92,751.02,227136.88888200003,170629569.24273607
1784044500000,2026-07-14T15:55:00Z,750.96,751.12,750.68,751,201176.516785,151066101.98387806
1784044800000,2026-07-14T16:00:00Z,751.05,751.05,750.01,750.28,324124.999978,243240384.13349005
1784045100000,2026-07-14T16:05:00Z,750.32,750.71,750.03,750.48,271468.35093200003,203695571.3041138
1784045400000,2026-07-14T16:10:00Z,750.47,750.67,750.105,750.55,362942.23033,272348800.92489723
1784045700000,2026-07-14T16:15:00Z,750.54,750.58,750.025,750.41,187942.909209,141016816.19184202
1784046000000,2026-07-14T16:20:00Z,750.41,750.56,750.01,750.385,248851.63869999998,186723338.58215798
1784046300000,2026-07-14T16:25:00Z,750.38,750.89,750.26,750.78,327913.325939,246149908.84807042
1784046600000,2026-07-14T16:30:00Z,750.78,751.1,750.63,751.01,215737.695411,161987187.94358788
1784046900000,2026-07-14T16:35:00Z,751.04,751.32,750.97,751.24,246427.46176600002,185109680.37989771
1784047200000,2026-07-14T16:40:00Z,751.26,751.74,751.06,751.44,272744.10527199996,204949003.08008633
1784047500000,2026-07-14T16:45:00Z,751.56,751.74,750.95,751.37,192722.841656,144794578.89228519
1784047800000,2026-07-14T16:50:00Z,751.35,751.64,751.32,751.47,123835.331059,93057136.89166576
1784048100000,2026-07-14T16:55:00Z,751.55,751.82,751.46,751.82,136476.27334999997,102578119.15617162
1784048400000,2026-07-14T17:00:00Z,751.87,752.04,751.66,751.71,242003.197383,181969633.61043736
1784048700000,2026-07-14T17:05:00Z,751.74,752.16,751.61,752.11,141364.524547,106279531.79227671
1784049000000,2026-07-14T17:10:00Z,752.02,752.21,751.8,751.8,259359.11429199998,195063523.01260746
1784049300000,2026-07-14T17:15:00Z,751.79,752.12,751.58,752.09,224583.61559,168853573.173488
