ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,357.145,358.288,356.999,357.815,9908.880533,3545054.60744096
1784043600000,2026-07-14T15:40:00Z,357.395,357.83,356.54,357.44,12759.834031999999,4556447.41398898
1784043900000,2026-07-14T15:45:00Z,357.55,358.376,357.445,357.95,9158.035394,3279100.51067654
1784044200000,2026-07-14T15:50:00Z,357.715,358.142,355.005,355.195,13935.060094999999,4968179.18479175
1784044500000,2026-07-14T15:55:00Z,355.685,356.532,355.202,356.365,9835.944334,3499972.26849446
1784044800000,2026-07-14T16:00:00Z,355.885,357.072,354.964,355.01,12479.892484,4439495.86512904
1784045100000,2026-07-14T16:05:00Z,355.165,355.905,354.628,355.63,14633.928222999999,5200497.12082089
1784045400000,2026-07-14T16:10:00Z,354.76,355.706,354.29,354.49,9767.173245,3468942.45808323
1784045700000,2026-07-14T16:15:00Z,353.81,355.423,353.42,355.14,7749.690740999999,2745931.64590797
1784046000000,2026-07-14T16:20:00Z,355.16,356.11,355.049,355.54,8875.846749,3155705.23936934
1784046300000,2026-07-14T16:25:00Z,356.245,356.545,355.414,356.17,6523.619098000001,2324156.72880626
1784046600000,2026-07-14T16:30:00Z,356.385,356.385,354.52,355.39,7021.0117979999995,2496938.59381712
1784046900000,2026-07-14T16:35:00Z,355.19,355.87,354.78,355.13,12709.589166999998,4514016.48800455
1784047200000,2026-07-14T16:40:00Z,355.01,356.052,355.01,356.045,1844.550984,655673.68443776
1784047500000,2026-07-14T16:45:00Z,356.17,356.175,354.9,355.52,1296.571104,461527.70949406
1784047800000,2026-07-14T16:50:00Z,355.58,355.779,354.652,354.725,3599.216417,1279544.83115021
1784048100000,2026-07-14T16:55:00Z,355.245,355.362,354.609,354.9,8601.484381,3052698.63230911
1784048400000,2026-07-14T17:00:00Z,355.5,355.936,355.18,355.215,13435.61846,4777253.1440339
1784048700000,2026-07-14T17:05:00Z,355.06,355.865,354.869,355.76,8878.288894,3155519.6630477
1784049000000,2026-07-14T17:10:00Z,355.75,355.968,355.127,355.37,5929.709147,2109344.00740383
1784049300000,2026-07-14T17:15:00Z,354.96,355.416,354.357,355.37,10687.859397,3793936.78366729
1784049600000,2026-07-14T17:20:00Z,355.4,356.064,355.011,356.02,13675.904734,4862848.11832531
1784049900000,2026-07-14T17:25:00Z,355.87,356.32,355.51,355.51,7627.384445000001,2714660.10960462
1784050200000,2026-07-14T17:30:00Z,355.92,355.978,354.805,355.055,6575.170931,2337859.88602124
1784050500000,2026-07-14T17:35:00Z,354.71,355.905,354.52,355.755,7057.355807,2506930.1616809
1784050800000,2026-07-14T17:40:00Z,356.015,356.445,355.834,356.42,6017.607216999999,2143184.04907043
1784051100000,2026-07-14T17:45:00Z,356.485,356.95,356.212,356.65,8677.901828,3094135.40163962
1784051400000,2026-07-14T17:50:00Z,357.105,357.562,356.674,356.99,7978.387660999999,2850191.22962798
1784051700000,2026-07-14T17:55:00Z,356.99,357.21,356.72,357.21,8360.421273,2984671.23050313
1784052000000,2026-07-14T18:00:00Z,357.04,357.069,356.36,357,11814.727463000001,4215178.12410239
1784052300000,2026-07-14T18:05:00Z,357.035,357.42,356.65,357.415,9289.666427,3316631.07953332
1784052600000,2026-07-14T18:10:00Z,357.34,357.454,356.99,357.185,8609.106541000001,3075988.99974529
1784052900000,2026-07-14T18:15:00Z,357.25,357.313,356.39,356.83,9520.040515,3396643.83129823
1784053200000,2026-07-14T18:20:00Z,356.89,357.038,356.182,356.25,8246.431369,2940998.21236565
1784053500000,2026-07-14T18:25:00Z,356.14,356.606,355.94,356.15,7267.683562000001,2588857.90003783
1784053800000,2026-07-14T18:30:00Z,356.62,356.675,355.813,356.055,11097.648203,3953001.15591055
1784054100000,2026-07-14T18:35:00Z,356.2,356.43,355.487,355.56,11247.077334000001,4003345.44048156
1784054400000,2026-07-14T18:40:00Z,355.64,355.644,354.56,354.945,13384.220017999998,4754453.72382011
1784054700000,2026-07-14T18:45:00Z,354.94,355.394,354.703,354.92,10271.439389,3646679.39771606
1784055000000,2026-07-14T18:50:00Z,355.2,355.88,354.831,355.51,7752.520043,2755063.43906119
1784055300000,2026-07-14T18:55:00Z,355.49,355.693,355.206,355.52,9342.341827,3320671.87448273
1784055600000,2026-07-14T19:00:00Z,355.34,355.583,353.456,353.6,12019.058687,4259556.80248454
1784055900000,2026-07-14T19:05:00Z,353.535,353.774,352.86,353.19,14727.217368000001,5203868.14786975
1784056200000,2026-07-14T19:10:00Z,353.19,354.285,352.966,353.71,12343.002294,4366156.85366901
1784056500000,2026-07-14T19:15:00Z,354.255,354.435,353.721,354.25,14000.708795999999,4958810.24335191
1784056800000,2026-07-14T19:20:00Z,354.625,354.89,354.15,354.32,15513.457074999998,5498755.7196537
1784057100000,2026-07-14T19:25:00Z,354.08,354.262,351.743,351.75,23514.103288,8303271.93613461
1784057400000,2026-07-14T19:30:00Z,351.72,353.462,350.8,353.4,33247.414739,11704406.58575166
1784057700000,2026-07-14T19:35:00Z,353.67,353.98,353.03,353.59,21263.069470000002,7518453.38634319
