ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,357.27,357.47,357.098,357.42,20647.77451,7376586.75544848
1784043600000,2026-07-14T15:40:00Z,357.31,357.34,357.1,357.185,31252.784967000003,11163529.16827586
1784043900000,2026-07-14T15:45:00Z,357.41,357.73,357.229,357.65,20874.9441,7462203.84232638
1784044200000,2026-07-14T15:50:00Z,357.63,357.84,357.411,357.69,26013.366485,9302967.75711856
1784044500000,2026-07-14T15:55:00Z,357.51,357.803,357.458,357.47,22865.076372000003,8176773.10186801
1784044800000,2026-07-14T16:00:00Z,357.62,357.649,357.364,357.52,17556.201144,6276162.83572833
1784045100000,2026-07-14T16:05:00Z,357.57,357.767,357.52,357.69,24294.96143,8688735.81950648
1784045400000,2026-07-14T16:10:00Z,357.7,358.361,357.699,358.295,34071.969875999996,12198678.34440068
1784045700000,2026-07-14T16:15:00Z,358.39,358.555,358.318,358.435,49180.956728,17627517.19998052
1784046000000,2026-07-14T16:20:00Z,358.4,358.474,358.172,358.395,39145.95776799999,14028455.03442223
1784046300000,2026-07-14T16:25:00Z,358.08,358.412,357.85,358.22,22634.693617999998,8106167.35235306
1784046600000,2026-07-14T16:30:00Z,358.31,358.79,358.31,358.645,31973.347741999998,11465047.7960132
1784046900000,2026-07-14T16:35:00Z,358.71,358.8,358.195,358.195,30860.500883,11067038.52415705
1784047200000,2026-07-14T16:40:00Z,358.31,358.648,358.05,358.05,53302.667419,19102711.22468932
1784047500000,2026-07-14T16:45:00Z,358.21,358.219,357.606,357.615,20566.524486,7360845.49294224
1784047800000,2026-07-14T16:50:00Z,357.595,357.781,357.56,357.725,28961.578865,10358656.0549078
1784048100000,2026-07-14T16:55:00Z,357.6,357.808,357.557,357.78,17663.169281000002,6317456.81559952
1784048400000,2026-07-14T17:00:00Z,357.815,358.105,357.73,357.99,35150.449251,12581083.94636717
1784048700000,2026-07-14T17:05:00Z,357.93,358.097,357.86,358.04,17423.311745,6237167.51884513
1784049000000,2026-07-14T17:10:00Z,358.04,358.1,357.874,357.885,17048.550583,6103508.97284337
1784049300000,2026-07-14T17:15:00Z,357.875,358.125,357.79,358.1,47662.312866,17061334.96798938
1784049600000,2026-07-14T17:20:00Z,358.06,358.178,357.82,358.16,27904.713772,9990523.75785
1784049900000,2026-07-14T17:25:00Z,358.1,358.139,358.01,358.11,25000.485399,8952386.31579981
1784050200000,2026-07-14T17:30:00Z,358.08,358.28,358.05,358.155,26385.457757000004,9449342.19159536
1784050500000,2026-07-14T17:35:00Z,357.97,358.141,357.82,357.88,50539.078896,18088325.4877859
1784050800000,2026-07-14T17:40:00Z,357.93,357.947,357.44,357.54,29923.70931,10703848.46924983
1784051100000,2026-07-14T17:45:00Z,357.52,357.564,357.24,357.24,30367.375233,10854575.33803399
1784051400000,2026-07-14T17:50:00Z,357.21,357.25,356.713,356.73,32914.837101,11751969.39376411
1784051700000,2026-07-14T17:55:00Z,356.775,356.95,356.58,356.62,33949.335367,12111802.22979982
1784052000000,2026-07-14T18:00:00Z,356.65,356.721,356.165,356.43,43551.791423,15522742.56452309
1784052300000,2026-07-14T18:05:00Z,356.5,356.914,356.452,356.89,41186.673391,14688399.21276499
1784052600000,2026-07-14T18:10:00Z,356.82,356.859,356.311,356.44,30910.002005999995,11020936.48723769
1784052900000,2026-07-14T18:15:00Z,356.28,356.55,356.21,356.44,48166.406557999995,17164667.34054068
1784053200000,2026-07-14T18:20:00Z,356.32,356.696,356.27,356.59,20529.244402,7319490.64031576
1784053500000,2026-07-14T18:25:00Z,356.525,357.172,356.525,357.11,34052.384896,12148201.93260196
1784053800000,2026-07-14T18:30:00Z,357.08,357.34,357.08,357.09,46336.817372,16552720.55621181
1784054100000,2026-07-14T18:35:00Z,357.03,357.169,356.915,357.09,23967.287082,8557673.24326542
1784054400000,2026-07-14T18:40:00Z,356.94,357.089,356.727,356.96,30192.262543,10774534.59937141
1784054700000,2026-07-14T18:45:00Z,356.94,356.964,356.726,356.89,24387.915219000002,8703039.72076256
1784055000000,2026-07-14T18:50:00Z,356.85,356.93,356.581,356.6,29867.070583,10655140.15133347
1784055300000,2026-07-14T18:55:00Z,356.745,356.745,356.394,356.57,22934.255062999997,8177669.62123942
1784055600000,2026-07-14T19:00:00Z,356.45,356.765,356.445,356.595,23077.883702,8230291.05031633
1784055900000,2026-07-14T19:05:00Z,356.565,356.805,356.539,356.57,29965.255608000003,10688157.19653948
1784056200000,2026-07-14T19:10:00Z,356.52,356.535,356.12,356.24,48293.401077,17206224.06139916
1784056500000,2026-07-14T19:15:00Z,356.31,356.6,356.24,356.6,45435.996025,16194002.36925634
1784056800000,2026-07-14T19:20:00Z,356.65,356.65,356.394,356.53,45215.153936,16120273.97733228
1784057100000,2026-07-14T19:25:00Z,356.61,356.629,356.415,356.52,51194.77398,18252006.89464618
1784057400000,2026-07-14T19:30:00Z,356.5,356.73,356.38,356.41,58272.64748500001,20776710.37950911
1784057700000,2026-07-14T19:35:00Z,356.32,356.44,356.078,356.13,348021.814358,124038698.47060483
1784058000000,2026-07-14T19:40:00Z,356.125,356.32,356.025,356.31,49804.610521,17738469.84869199
1784058300000,2026-07-14T19:45:00Z,356.26,356.36,355.825,356.29,83138.59073,29605693.72824837
1784058600000,2026-07-14T19:50:00Z,356.365,356.365,355.663,355.82,91300.636544,32502186.6438078
1784058900000,2026-07-14T19:55:00Z,355.55,356.575,355.28,356.02,334789.705584,119180715.96379029
1784059200000,2026-07-14T20:00:00Z,356.094,356.094,356,356,1865898.347442,664402366.32309657
1784059500000,2026-07-14T20:05:00Z,356,356.965,356,356.965,802,286092.648
1784059800000,2026-07-14T20:10:00Z,356.965,356.965,356.965,356.965,500051.019078,178500712.02517827
1784060100000,2026-07-14T20:15:00Z,356.965,356.965,356.126,356.126,32.980524,11772.89274966
1784060400000,2026-07-14T20:20:00Z,356.126,356.126,356.125,356.125,2159.069957,768898.78843663
1784060700000,2026-07-14T20:25:00Z,356.125,356.476,356.125,356.476,12.014436,4278.76717208
1784061000000,2026-07-14T20:30:00Z,356.48,356.5,356.48,356.5,158,56326.8578
1784061300000,2026-07-14T20:35:00Z,356.5,356.999,356.5,356.501,176.08899,62825.66377256
1784061600000,2026-07-14T20:40:00Z,356.5,356.5,356.5,356.5,390334,139154071
1784061900000,2026-07-14T20:45:00Z,356.5,356.5,356.5,356.5,16.027984,5713.976296
1784062200000,2026-07-14T20:50:00Z,356.5,356.5,356.5,356.5,39.102451,13940.0237815
1784062500000,2026-07-14T20:55:00Z,356.5,356.5,356.5,356.5,107.058263,38166.2707595
1784062800000,2026-07-14T21:00:00Z,356.5,356.5,356,356,95037,33880671.4926
1784063100000,2026-07-14T21:05:00Z,356,356,355.847,355.847,4.158964,1480.591184
1784063400000,2026-07-14T21:10:00Z,355.789,355.999,355.501,355.999,57.085292,20294.00397893
1784063700000,2026-07-14T21:15:00Z,356,356.749,356,356.749,56.080025,19982.01951582
1784064000000,2026-07-14T21:20:00Z,356.75,356.75,356.75,356.75,110.01999799999999,39249.6342865
1784064300000,2026-07-14T21:25:00Z,356.75,356.75,356.75,356.75,2,713.5
1784064600000,2026-07-14T21:30:00Z,356.75,356.75,356.75,356.75,2,713.5
1784064900000,2026-07-14T21:35:00Z,356.75,356.75,356.75,356.75,110,39242.5
1784065200000,2026-07-14T21:40:00Z,356.75,356.75,356.75,356.75,1069,381365.75
1784065500000,2026-07-14T21:45:00Z,356.75,356.75,356.75,356.75,3,1070.25
1784065800000,2026-07-14T21:50:00Z,356.75,356.75,356.75,356.75,1613,575437.75
1784066100000,2026-07-14T21:55:00Z,356.75,356.75,356.75,356.75,1886.003173,672831.63196775
1784066400000,2026-07-14T22:00:00Z,356.75,356.75,356.75,356.75,21,7491.75
1784066700000,2026-07-14T22:05:00Z,356.75,356.75,356.75,356.75,89.003117,31751.86198975
1784067000000,2026-07-14T22:10:00Z,356.75,356.75,356.75,356.75,3,1070.25
1784067300000,2026-07-14T22:15:00Z,356.75,356.75,356.75,356.75,4.031085,1438.08957375
1784067600000,2026-07-14T22:20:00Z,356.715,356.715,356.541,356.541,49,17470.5286
1784067900000,2026-07-14T22:25:00Z,356.54,356.54,356.54,356.54,0.014429,5.14451566
1784068200000,2026-07-14T22:30:00Z,356.54,357.073,356.54,357.073,6.042013,2154.22294023
1784068500000,2026-07-14T22:35:00Z,357.074,357.074,357.074,357.074,0,0
1784068800000,2026-07-14T22:40:00Z,357.075,357.075,357.075,357.075,14,4999.05
1784069100000,2026-07-14T22:45:00Z,357.075,357.075,357.075,357.075,15.027784,5366.0459718
1784069400000,2026-07-14T22:50:00Z,356.983,356.983,356.076,356.076,318,113272.1724
1784069700000,2026-07-14T22:55:00Z,356.075,356.075,356.075,356.075,280,99701
1784070000000,2026-07-14T23:00:00Z,356.075,356.075,356.075,356.075,0.002861,1.01873058
1784070300000,2026-07-14T23:05:00Z,356.075,356.075,356.075,356.075,2,712.15
1784070600000,2026-07-14T23:10:00Z,356.075,356.075,356.075,356.075,4,1424.3
1784070900000,2026-07-14T23:15:00Z,356.075,356.075,356.075,356.075,4.005815,1426.37057613
1784071200000,2026-07-14T23:20:00Z,356.075,356.075,356.075,356.075,63,22432.725
1784071500000,2026-07-14T23:25:00Z,356.229,357,356.229,357,17.032104,6079.69298011
1784071800000,2026-07-14T23:30:00Z,357,357,357,357,1.028014,367.000998
1784072100000,2026-07-14T23:35:00Z,357,357,357,357,0.074717,26.673969
1784072400000,2026-07-14T23:40:00Z,357,357,357,357,1,357
1784072700000,2026-07-14T23:45:00Z,357,357,357,357,29.005771,10355.060247
1784073000000,2026-07-14T23:50:00Z,357,357,357,357,41.006387000000004,14639.280159
1784073300000,2026-07-14T23:55:00Z,357,357,357,357,128.02840600000002,45706.140942
1784074200000,2026-07-15T00:10:00Z,356.05,356.05,356.05,356.05,11,3916.55
1784074800000,2026-07-15T00:20:00Z,356.02,356.02,356.02,356.02,2,712.04
1784075100000,2026-07-15T00:25:00Z,356.02,356.02,355.79,355.79,17,6048.66
1784075700000,2026-07-15T00:35:00Z,355.64,355.8,355.35,355.8,91,32351.94
1784076000000,2026-07-15T00:40:00Z,356.14,356.14,356.14,356.14,2,712.28
1784077800000,2026-07-15T01:10:00Z,356.01,356.01,356.01,356.01,4,1424.04
1784078400000,2026-07-15T01:20:00Z,356,356,356,356,3,1068
1784078700000,2026-07-15T01:25:00Z,355.91,355.91,355.91,355.91,1,355.91
1784081400000,2026-07-15T02:10:00Z,355.89,355.9,355.89,355.9,10,3558.92
1784082300000,2026-07-15T02:25:00Z,355.8,355.89,355.8,355.89,10,3558.72
1784082600000,2026-07-15T02:30:00Z,355.9,355.95,355.9,355.95,13,4627.1
1784082900000,2026-07-15T02:35:00Z,356.02,356.14,356.02,356.14,21,7477.98
1784087400000,2026-07-15T03:50:00Z,356.12,356.25,356.12,356.25,35,12467.69
1784087700000,2026-07-15T03:55:00Z,356.15,356.15,356.15,356.15,9,3205.35
1784088000000,2026-07-15T04:00:00Z,356.51,356.51,356.51,356.51,20,7130.2
1784089800000,2026-07-15T04:30:00Z,356.67,356.67,356.67,356.67,20,7133.4
1784090100000,2026-07-15T04:35:00Z,356.67,356.67,356.48,356.48,210,74872.76
1784091600000,2026-07-15T05:00:00Z,356.14,356.15,356.1,356.15,22,7835.19
1784094000000,2026-07-15T05:40:00Z,356,356,355.81,355.81,98,34869.57
1784094300000,2026-07-15T05:45:00Z,355.88,355.88,355.83,355.83,187,66542.71
1784094600000,2026-07-15T05:50:00Z,355.69,355.69,355.69,355.69,1,355.69
