ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1784043300000,2026-07-14T15:35:00Z,572.72,574.356,572.667,574.05,28344.157432,16258625.36210945
1784043600000,2026-07-14T15:40:00Z,573.105,573.519,570.57,572.08,39400.068606,22548808.9834745
1784043900000,2026-07-14T15:45:00Z,573.07,573.07,569.535,569.535,36178.336155,20665431.01293117
1784044200000,2026-07-14T15:50:00Z,569.49,569.722,562.98,563.67,51087.56678,28917953.6956053
1784044500000,2026-07-14T15:55:00Z,564.26,566.654,563.678,566.5,23546.626576,13318638.3609177
1784044800000,2026-07-14T16:00:00Z,566.465,566.99,564.567,564.77,45805.972719,25905288.45479686
1784045100000,2026-07-14T16:05:00Z,565.59,566.17,564.561,564.92,22483.412139,12711712.02528967
1784045400000,2026-07-14T16:10:00Z,564.98,565.7,564.31,564.31,17256.267832,9748716.25959407
1784045700000,2026-07-14T16:15:00Z,564.01,564.562,562.73,564.33,38187.677756000005,21530407.47598936
1784046000000,2026-07-14T16:20:00Z,564.76,565.722,563.975,565.275,42402.90633500001,23950217.33037575
1784046300000,2026-07-14T16:25:00Z,565.82,567.565,565.669,567.06,26147.354674000002,14813169.32771986
1784046600000,2026-07-14T16:30:00Z,567.1,567.303,565.39,565.99,21009.457979,11900769.65518019
1784046900000,2026-07-14T16:35:00Z,566.18,566.39,564,564.7,34855.818699,19717187.23792227
1784047200000,2026-07-14T16:40:00Z,564.61,567.68,564.251,567.68,5349.7777750000005,3025319.12594027
1784047500000,2026-07-14T16:45:00Z,568.08,568.455,566.375,566.955,997.703245,566074.47266031
1784047800000,2026-07-14T16:50:00Z,567.3,568.15,566.375,567.53,1771.843408,1005170.48622956
1784048100000,2026-07-14T16:55:00Z,566.925,566.969,565.97,566.43,28879.008108,16360630.97407092
1784048400000,2026-07-14T17:00:00Z,566.1,566.49,565.52,566.16,17624.788481000003,9975847.06514432
1784048700000,2026-07-14T17:05:00Z,565.01,566.477,564.61,566.31,14659.882137,8292157.09244413
1784049000000,2026-07-14T17:10:00Z,565.97,566.429,565.577,566.05,13365.836595,7566335.94041384
1784049300000,2026-07-14T17:15:00Z,565.81,566.54,565.51,566.525,19953.684289,11293364.2848355
1784049600000,2026-07-14T17:20:00Z,566.97,567.36,566.466,567.165,16162.023814,9166091.39701481
1784049900000,2026-07-14T17:25:00Z,567,567.69,566.753,567.01,104097.229417,59024503.1628673
1784050200000,2026-07-14T17:30:00Z,567.41,567.41,564.555,564.895,26661.505718,15080806.0958778
1784050500000,2026-07-14T17:35:00Z,565.24,566.444,564.717,566.415,12837.085473000003,7258918.6858643
1784050800000,2026-07-14T17:40:00Z,566.16,566.62,565.64,566.125,12248.202057,6934429.82838906
1784051100000,2026-07-14T17:45:00Z,565.69,565.799,564.95,565.63,16323.178362,9229516.80215549
1784051400000,2026-07-14T17:50:00Z,566.235,567,565.52,566.625,16606.30858,9404321.93320152
1784051700000,2026-07-14T17:55:00Z,566.595,566.608,565.793,565.86,16341.295541000001,9255003.85045503
1784052000000,2026-07-14T18:00:00Z,566.16,566.31,565.617,565.84,16614.230111,9404239.06372591
1784052300000,2026-07-14T18:05:00Z,565.83,567.559,565.27,567.01,23189.783309000002,13133202.16315083
1784052600000,2026-07-14T18:10:00Z,566.985,567.06,565.585,565.585,13744.724719,7786092.41620451
1784052900000,2026-07-14T18:15:00Z,565.65,566.26,564.39,565.26,36561.30811,20659303.51159011
1784053200000,2026-07-14T18:20:00Z,565,565.235,562.99,562.99,21679.863430999998,12237179.40175086
1784053500000,2026-07-14T18:25:00Z,562.99,563.662,562.971,563.33,32347.203709,18219141.97544603
1784053800000,2026-07-14T18:30:00Z,563.63,564.057,563,563.805,20597.619988,11609838.20742621
1784054100000,2026-07-14T18:35:00Z,563.84,564.275,562.22,562.695,33122.455151,18662936.78545986
1784054400000,2026-07-14T18:40:00Z,562.665,563.15,560.91,561.78,31485.205101,17698139.19376158
1784054700000,2026-07-14T18:45:00Z,561.49,561.772,560.5,560.5,19645.254405,11027399.93224279
1784055000000,2026-07-14T18:50:00Z,560.46,561.884,560,561.74,33755.47053,18933372.53378889
1784055300000,2026-07-14T18:55:00Z,561.855,564.32,560.98,564,42496.215943,23869066.33940612
1784055600000,2026-07-14T19:00:00Z,562.505,563.719,560.69,561.95,25606.087262,14392372.49761272
