ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,100.69,100.69,100.54,100.54,0.39,39.2106
1786549800000,2026-08-12T15:50:00Z,100.54,100.54,100.49,100.49,0.15,15.0735
1786550100000,2026-08-12T15:55:00Z,100.49,100.55,100.49,100.55,0.22,22.121
1786550400000,2026-08-12T16:00:00Z,100.55,100.7,100.55,100.7,0.34,34.238
1786550700000,2026-08-12T16:05:00Z,100.7,100.7,100.7,100.7,0,0
1786551000000,2026-08-12T16:10:00Z,100.7,100.7,100.7,100.7,0,0
1786551300000,2026-08-12T16:15:00Z,100.7,100.7,100.7,100.7,0,0
1786551600000,2026-08-12T16:20:00Z,100.7,100.7,100.52,100.52,0.18,18.0936
1786551900000,2026-08-12T16:25:00Z,100.52,100.53,100.52,100.53,0.11,11.0583
1786552200000,2026-08-12T16:30:00Z,100.53,100.56,100.53,100.56,0.34,34.1904
1786552500000,2026-08-12T16:35:00Z,100.56,100.56,100.53,100.53,0.13,13.0689
1786552800000,2026-08-12T16:40:00Z,100.53,100.53,100.53,100.53,0,0
1786553100000,2026-08-12T16:45:00Z,100.53,100.57,100.53,100.57,0.3,30.171
1786553400000,2026-08-12T16:50:00Z,100.57,100.57,100.57,100.57,0,0
1786553700000,2026-08-12T16:55:00Z,100.57,100.7,100.4,100.4,4.85,487.1257
1786554000000,2026-08-12T17:00:00Z,100.4,100.4,100.4,100.4,0,0
1786554300000,2026-08-12T17:05:00Z,100.4,100.4,100.4,100.4,0,0
1786554600000,2026-08-12T17:10:00Z,100.4,100.4,100.4,100.4,0,0
1786554900000,2026-08-12T17:15:00Z,100.4,100.4,100.4,100.4,0,0
1786555200000,2026-08-12T17:20:00Z,100.4,100.4,100.4,100.4,0,0
1786555500000,2026-08-12T17:25:00Z,100.4,100.49,100.4,100.49,0.18,18.0882
1786555800000,2026-08-12T17:30:00Z,100.49,100.67,100.49,100.67,0.17,17.1139
1786556100000,2026-08-12T17:35:00Z,100.67,100.67,100.46,100.46,0.27,27.1242
1786556400000,2026-08-12T17:40:00Z,100.46,100.47,100.46,100.47,0.24,24.1128
1786556700000,2026-08-12T17:45:00Z,100.47,100.47,100.47,100.47,0.13,13.0611
1786557000000,2026-08-12T17:50:00Z,100.47,100.47,100.47,100.47,0,0
1786557300000,2026-08-12T17:55:00Z,100.47,100.51,100.47,100.51,0.32,32.1632
1786557600000,2026-08-12T18:00:00Z,100.51,100.51,100.51,100.51,0,0
1786557900000,2026-08-12T18:05:00Z,100.51,100.51,100.5,100.5,0.29,29.145
1786558200000,2026-08-12T18:10:00Z,100.5,100.5,100.43,100.43,0.24,24.1032
1786558500000,2026-08-12T18:15:00Z,100.43,100.66,100.43,100.66,0.18,18.1188
1786558800000,2026-08-12T18:20:00Z,100.66,100.67,100.66,100.67,0.13,13.0871
1786559100000,2026-08-12T18:25:00Z,100.67,100.67,100.67,100.67,0,0
1786559400000,2026-08-12T18:30:00Z,100.67,100.67,100.67,100.67,0,0
1786559700000,2026-08-12T18:35:00Z,100.67,100.67,100.67,100.67,0,0
1786560000000,2026-08-12T18:40:00Z,100.67,100.67,100.6,100.6,0.33,33.198
1786560300000,2026-08-12T18:45:00Z,100.6,100.6,100.54,100.54,0.2,20.108
1786560600000,2026-08-12T18:50:00Z,100.54,100.54,100.49,100.49,0.35,35.1715
1786560900000,2026-08-12T18:55:00Z,100.49,100.49,100.49,100.49,0,0
1786561200000,2026-08-12T19:00:00Z,100.49,100.59,100.49,100.59,0.1,10.059
1786561500000,2026-08-12T19:05:00Z,100.59,100.59,100.59,100.59,0.25,25.1475
1786561800000,2026-08-12T19:10:00Z,100.59,100.6,100.59,100.6,0.14,14.084
1786562100000,2026-08-12T19:15:00Z,100.6,100.6,100.51,100.51,0.32,32.1632
1786562400000,2026-08-12T19:20:00Z,100.51,100.51,100.5,100.5,0.23,23.115
