ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,237.9,237.9,236.87,236.87,0.2,47.374
1786549800000,2026-08-12T15:50:00Z,236.87,237.01,236.87,237.01,1.4,331.814
1786550100000,2026-08-12T15:55:00Z,237.01,237.01,237.01,237.01,0,0
1786550400000,2026-08-12T16:00:00Z,237.01,238.89,237.01,238.89,0.09,21.5001
1786550700000,2026-08-12T16:05:00Z,238.89,238.89,238.89,238.89,0,0
1786551000000,2026-08-12T16:10:00Z,238.89,239.16,238.89,239.16,0.16,38.2656
1786551300000,2026-08-12T16:15:00Z,239.16,239.16,239.16,239.16,0,0
1786551600000,2026-08-12T16:20:00Z,239.16,242.51,239.16,241.42,1.86,449.881
1786551900000,2026-08-12T16:25:00Z,241.42,241.42,241.42,241.42,0,0
1786552200000,2026-08-12T16:30:00Z,241.42,241.42,241.42,241.42,0,0
1786552500000,2026-08-12T16:35:00Z,241.42,243.38,241.42,243.38,0.14,34.0732
1786552800000,2026-08-12T16:40:00Z,243.38,243.38,243.38,243.38,0,0
1786553100000,2026-08-12T16:45:00Z,243.38,243.82,243.38,243.82,0.09,21.9438
1786553400000,2026-08-12T16:50:00Z,243.82,244.17,243.78,243.78,1.31,319.3948
1786553700000,2026-08-12T16:55:00Z,243.78,243.78,243.78,243.78,0,0
1786554000000,2026-08-12T17:00:00Z,243.78,244.61,243.78,244.61,0.13,31.7993
1786554300000,2026-08-12T17:05:00Z,244.61,244.61,243.21,243.21,0.89,216.8949
1786554600000,2026-08-12T17:10:00Z,243.21,243.21,242.9,242.9,0.2,48.58
1786554900000,2026-08-12T17:15:00Z,242.9,242.9,242.9,242.9,0,0
1786555200000,2026-08-12T17:20:00Z,242.9,244.45,242.9,244.45,0.15,36.6675
1786555500000,2026-08-12T17:25:00Z,244.45,244.45,244.45,244.45,0,0
1786555800000,2026-08-12T17:30:00Z,244.45,245.42,244.45,245.41,0.74,181.6054
1786556100000,2026-08-12T17:35:00Z,245.41,246.02,245.41,246.02,0.08,19.6816
1786556400000,2026-08-12T17:40:00Z,246.02,246.02,246.02,246.02,0,0
1786556700000,2026-08-12T17:45:00Z,246.02,247.21,246.02,247.1,0.48,118.6168
1786557000000,2026-08-12T17:50:00Z,247.1,247.1,247.1,247.1,0,0
1786557300000,2026-08-12T17:55:00Z,247.1,247.1,247.1,247.1,0,0
1786557600000,2026-08-12T18:00:00Z,247.1,247.1,245.78,245.78,2.11,518.6178
1786557900000,2026-08-12T18:05:00Z,245.78,245.98,245.78,245.94,1,245.9764
1786558200000,2026-08-12T18:10:00Z,245.94,245.94,245.94,245.94,0,0
1786558500000,2026-08-12T18:15:00Z,245.94,245.94,245.94,245.94,0,0
1786558800000,2026-08-12T18:20:00Z,245.94,245.94,245.94,245.94,0,0
1786559100000,2026-08-12T18:25:00Z,245.94,247.34,245.94,247.34,0.1,24.734
1786559400000,2026-08-12T18:30:00Z,247.34,247.34,245.72,245.72,0.14,34.4008
1786559700000,2026-08-12T18:35:00Z,245.72,245.72,245.72,245.72,0,0
1786560000000,2026-08-12T18:40:00Z,245.72,245.72,245.72,245.72,0,0
1786560300000,2026-08-12T18:45:00Z,245.72,245.72,244.55,244.55,0.09,22.0095
1786560600000,2026-08-12T18:50:00Z,244.55,244.55,244.55,244.55,0,0
1786560900000,2026-08-12T18:55:00Z,244.55,245.1,244.55,245.1,0.08,19.608
1786561200000,2026-08-12T19:00:00Z,245.1,245.36,244.33,244.33,0.18,44.0721
1786561500000,2026-08-12T19:05:00Z,244.33,245.63,244.33,244.96,2.11,517.0228
1786561800000,2026-08-12T19:10:00Z,244.96,244.96,244.96,244.96,0,0
1786562100000,2026-08-12T19:15:00Z,244.96,244.96,244.96,244.96,0,0
1786562400000,2026-08-12T19:20:00Z,244.96,244.96,244.96,244.96,0,0
1786562700000,2026-08-12T19:25:00Z,244.96,244.96,242.75,242.75,0.13,31.5575
1786563000000,2026-08-12T19:30:00Z,242.75,242.75,242.75,242.75,0,0
1786563300000,2026-08-12T19:35:00Z,242.75,242.75,242.75,242.75,0,0
1786563600000,2026-08-12T19:40:00Z,242.75,242.75,242.63,242.63,0.14,33.9682
1786563900000,2026-08-12T19:45:00Z,242.63,242.63,242.63,242.63,0,0
1786564200000,2026-08-12T19:50:00Z,242.63,243.37,242.63,243.37,0.09,21.9033
1786564500000,2026-08-12T19:55:00Z,243.37,243.37,241.81,241.81,0.08,19.3448
1786564800000,2026-08-12T20:00:00Z,241.81,241.81,241.81,241.81,0,0
1786565100000,2026-08-12T20:05:00Z,241.81,242.43,241.81,242.43,0.15,36.3645
1786565400000,2026-08-12T20:10:00Z,242.43,242.43,240.94,240.94,0.2,48.392
1786565700000,2026-08-12T20:15:00Z,240.94,240.94,240.94,240.94,0,0
1786566000000,2026-08-12T20:20:00Z,240.94,240.94,240.94,240.94,0,0
1786566300000,2026-08-12T20:25:00Z,240.94,240.94,240.94,240.94,0,0
1786566600000,2026-08-12T20:30:00Z,240.94,241.36,240.94,241.36,0.08,19.3088
1786566900000,2026-08-12T20:35:00Z,241.36,243.53,241.36,243.53,0.08,19.4824
1786567200000,2026-08-12T20:40:00Z,243.53,243.53,239.3,239.3,0.16,38.288
1786567500000,2026-08-12T20:45:00Z,239.3,239.3,239.3,239.3,0,0
1786567800000,2026-08-12T20:50:00Z,239.3,239.3,239.3,239.3,0,0
1786568100000,2026-08-12T20:55:00Z,239.3,239.3,239.3,239.3,0,0
1786568400000,2026-08-12T21:00:00Z,239.3,239.3,239.3,239.3,0,0
1786568700000,2026-08-12T21:05:00Z,239.3,239.3,239.3,239.3,0,0
1786569000000,2026-08-12T21:10:00Z,239.3,242.76,239.3,242.76,0.08,19.4208
1786569300000,2026-08-12T21:15:00Z,242.76,242.76,242.76,242.76,0,0
1786569600000,2026-08-12T21:20:00Z,242.76,242.76,242.76,242.76,0,0
1786569900000,2026-08-12T21:25:00Z,242.76,242.76,242.76,242.76,0,0
1786570200000,2026-08-12T21:30:00Z,242.76,242.82,242.76,242.82,0.1,24.282
1786570500000,2026-08-12T21:35:00Z,242.82,242.82,242.82,242.82,0,0
1786570800000,2026-08-12T21:40:00Z,242.82,244.58,242.78,244.58,1.87,456.3418
1786571100000,2026-08-12T21:45:00Z,244.58,244.58,244.58,244.58,0,0
1786571400000,2026-08-12T21:50:00Z,244.58,244.58,244.58,244.58,0,0
1786571700000,2026-08-12T21:55:00Z,244.58,244.58,244.58,244.58,0,0
1786572000000,2026-08-12T22:00:00Z,244.58,244.58,243.12,243.12,0.09,21.8808
1786572300000,2026-08-12T22:05:00Z,243.12,244.64,240.24,244.64,0.16,38.7904
1786572600000,2026-08-12T22:10:00Z,244.64,244.64,241.04,241.04,0.13,31.3352
1786572900000,2026-08-12T22:15:00Z,241.04,241.04,241.04,241.04,0,0
1786573200000,2026-08-12T22:20:00Z,241.04,242.02,241.04,242.02,0.15,36.303
1786573500000,2026-08-12T22:25:00Z,242.02,242.02,242.02,242.02,0,0
1786573800000,2026-08-12T22:30:00Z,242.02,243.16,242.02,243.16,0.2,48.632
1786574100000,2026-08-12T22:35:00Z,243.16,243.37,243.16,243.37,0.1,24.337
1786574400000,2026-08-12T22:40:00Z,243.37,243.61,243.37,243.61,0.08,19.4888
1786574700000,2026-08-12T22:45:00Z,243.61,243.61,243.61,243.61,0,0
1786575000000,2026-08-12T22:50:00Z,243.61,243.61,243.61,243.61,0,0
1786575300000,2026-08-12T22:55:00Z,243.61,243.61,243.61,243.61,0,0
1786575600000,2026-08-12T23:00:00Z,243.61,244.1,243.61,244.1,0.09,21.969
1786575900000,2026-08-12T23:05:00Z,244.1,244.17,244.1,244.17,0.09,21.9753
1786576200000,2026-08-12T23:10:00Z,244.17,244.17,244.17,244.17,0,0
1786576500000,2026-08-12T23:15:00Z,244.17,244.17,244.17,244.17,0,0
1786576800000,2026-08-12T23:20:00Z,244.17,244.17,244.17,244.17,0,0
