ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,36.337,36.337,36.008,36.032,217.35,7855.9213
1786549800000,2026-08-12T15:50:00Z,36.032,36.333,36.032,36.333,273.43,9908.41049
1786550100000,2026-08-12T15:55:00Z,36.333,36.471,36.333,36.391,180.95,6587.88241
1786550400000,2026-08-12T16:00:00Z,36.391,36.5,36.3,36.3,1556.3,56670.83417
1786550700000,2026-08-12T16:05:00Z,36.3,36.318,35.894,35.921,1027.17,36961.80048
1786551000000,2026-08-12T16:10:00Z,35.921,35.921,35.768,35.768,23.56,843.27462
1786551300000,2026-08-12T16:15:00Z,35.768,35.774,35.558,35.739,96.59,3445.46176
1786551600000,2026-08-12T16:20:00Z,35.739,35.764,35.683,35.683,50.61,1807.29128
1786551900000,2026-08-12T16:25:00Z,35.683,35.937,35.479,35.887,6529.07,232688.11598
1786552200000,2026-08-12T16:30:00Z,35.887,36.091,35.88,36.034,547.06,19693.52951
1786552500000,2026-08-12T16:35:00Z,36.034,36.081,35.875,36.041,221.39,7960.70494
1786552800000,2026-08-12T16:40:00Z,36.041,36.041,35.935,35.935,71.07,2555.15625
1786553100000,2026-08-12T16:45:00Z,35.935,36.224,35.935,36.224,74.33,2685.29645
1786553400000,2026-08-12T16:50:00Z,36.224,36.622,36.209,36.62,8584.23,313155.88147
1786553700000,2026-08-12T16:55:00Z,36.62,36.94,36.62,36.94,241.9,8905.95274
1786554000000,2026-08-12T17:00:00Z,36.94,37.152,36.224,36.891,6469.34,237525.96897
1786554300000,2026-08-12T17:05:00Z,36.891,37.326,36.891,37.326,499.28,18510.04867
1786554600000,2026-08-12T17:10:00Z,37.326,37.388,37.19,37.303,89.1,3323.96756
1786554900000,2026-08-12T17:15:00Z,37.303,37.326,37.113,37.187,153.61,5718.05952
1786555200000,2026-08-12T17:20:00Z,37.187,37.372,37.187,37.372,197.77,7376.54393
1786555500000,2026-08-12T17:25:00Z,37.372,37.526,37.288,37.526,200.57,7509.26309
1786555800000,2026-08-12T17:30:00Z,37.526,37.526,37.448,37.457,7.15,267.9121
1786556100000,2026-08-12T17:35:00Z,37.457,37.457,37.152,37.196,912.9,34092.31029
1786556400000,2026-08-12T17:40:00Z,37.196,37.253,37.119,37.214,140.71,5235.39495
1786556700000,2026-08-12T17:45:00Z,37.214,37.326,37.199,37.326,77.43,2882.29199
1786557000000,2026-08-12T17:50:00Z,37.326,37.438,37.326,37.4,88.68,3317.3627
1786557300000,2026-08-12T17:55:00Z,37.4,37.459,37.362,37.362,26.53,993.63136
1786557600000,2026-08-12T18:00:00Z,37.362,37.439,37.197,37.422,1181.76,44042.39052
1786557900000,2026-08-12T18:05:00Z,37.422,37.48,37.326,37.438,864.21,32355.8002
1786558200000,2026-08-12T18:10:00Z,37.438,37.663,37.416,37.663,119,4468.35124
1786558500000,2026-08-12T18:15:00Z,37.663,37.777,37.642,37.767,167.34,6306.25337
