ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,144,144.15,143.52,144.15,5097.01,733298.3293
1786549800000,2026-08-12T15:50:00Z,144.15,144.68,143.93,144.24,2576.23,371703.1179
1786550100000,2026-08-12T15:55:00Z,144.24,144.54,144.06,144.5,2341.28,337867.4033
1786550400000,2026-08-12T16:00:00Z,144.5,145.29,144.48,145.03,3908.45,566489.7877
1786550700000,2026-08-12T16:05:00Z,145.03,145.43,144.99,145.4,2256.4,327573.6997
1786551000000,2026-08-12T16:10:00Z,145.4,145.5,145.14,145.22,1451.25,210935.9542
1786551300000,2026-08-12T16:15:00Z,145.22,145.35,144.83,144.94,1398.84,202926.8345
1786551600000,2026-08-12T16:20:00Z,144.94,145.64,144.85,145.64,1937.58,281836.7412
1786551900000,2026-08-12T16:25:00Z,145.64,145.75,145.1,145.11,1616.96,235079.4047
1786552200000,2026-08-12T16:30:00Z,145.11,145.2,144.58,144.6,3954.67,573050.786
1786552500000,2026-08-12T16:35:00Z,144.6,145.28,144.46,145.26,2365.84,342438.4735
1786552800000,2026-08-12T16:40:00Z,145.26,145.41,144.89,145.01,1542.5,223940.7681
1786553100000,2026-08-12T16:45:00Z,145.01,145.19,144.94,145.08,912.21,132332.0746
1786553400000,2026-08-12T16:50:00Z,145.08,145.59,145.08,145.53,2042.04,297036.7983
1786553700000,2026-08-12T16:55:00Z,145.53,145.62,145.39,145.54,1396.45,203211.0196
1786554000000,2026-08-12T17:00:00Z,145.54,146.09,145.51,146.03,2636.69,384517.9816
1786554300000,2026-08-12T17:05:00Z,146.03,146.12,145.47,145.53,2504.53,365249.2265
1786554600000,2026-08-12T17:10:00Z,145.53,145.59,145.21,145.57,2127.72,309375.559
1786554900000,2026-08-12T17:15:00Z,145.57,145.57,145.06,145.53,1305.05,189715.3159
1786555200000,2026-08-12T17:20:00Z,145.53,145.79,145.48,145.7,1226.03,178578.8296
1786555500000,2026-08-12T17:25:00Z,145.7,146.02,145.66,145.92,791.49,115461.5807
1786555800000,2026-08-12T17:30:00Z,145.92,146.14,145.83,145.95,1223.2,178579.6558
1786556100000,2026-08-12T17:35:00Z,145.95,146.42,145.94,146.41,1289.6,188539.8889
1786556400000,2026-08-12T17:40:00Z,146.41,146.83,146.33,146.74,4066.5,596080.7055
1786556700000,2026-08-12T17:45:00Z,146.74,146.97,146.72,146.93,1433.68,210504.0366
1786557000000,2026-08-12T17:50:00Z,146.93,147.27,146.62,146.64,2777.16,408329.5373
1786557300000,2026-08-12T17:55:00Z,146.64,146.88,146.59,146.75,1083.71,159017.609
1786557600000,2026-08-12T18:00:00Z,146.75,146.89,145.94,146.02,1975.34,289310.2778
1786557900000,2026-08-12T18:05:00Z,146.02,146.1,145.63,145.9,1903.9,277702.7912
1786558200000,2026-08-12T18:10:00Z,145.9,146.44,145.79,146.07,1334.34,195030.3398
1786558500000,2026-08-12T18:15:00Z,146.07,146.29,145.99,146.16,1155.96,168948.772
1786558800000,2026-08-12T18:20:00Z,146.16,146.38,145.95,146.38,1871.13,273579.4589
1786559100000,2026-08-12T18:25:00Z,146.38,146.48,146.02,146.06,1698.89,248573.6236
1786559400000,2026-08-12T18:30:00Z,146.06,146.36,146,146,2011.7,294047.4191
1786559700000,2026-08-12T18:35:00Z,146,146.17,145.98,146.04,1270.43,185578.5315
1786560000000,2026-08-12T18:40:00Z,146.04,146.54,146.04,146.11,1119.2,163754.2534
1786560300000,2026-08-12T18:45:00Z,146.11,146.11,145.72,145.84,853.51,124531.4613
1786560600000,2026-08-12T18:50:00Z,145.84,146,145.73,145.77,487.29,71074.2231
1786560900000,2026-08-12T18:55:00Z,145.77,145.77,145.13,145.45,1167.46,169714.6647
1786561200000,2026-08-12T19:00:00Z,145.45,145.8,145.04,145.1,1733.83,252056.0746
1786561500000,2026-08-12T19:05:00Z,145.1,145.62,145.05,145.11,1181.77,171770.4041
1786561800000,2026-08-12T19:10:00Z,145.11,145.24,144.84,145.09,1248.99,181153.365
1786562100000,2026-08-12T19:15:00Z,145.09,145.79,145.08,145.44,2040.26,296866.1159
1786562400000,2026-08-12T19:20:00Z,145.44,145.44,144.24,144.28,2166.95,313687.5829
1786562700000,2026-08-12T19:25:00Z,144.28,144.46,143.66,144.04,4408.64,635097.9396
1786563000000,2026-08-12T19:30:00Z,144.04,144.04,142.89,143.61,10284.6,1473317.8752
1786563300000,2026-08-12T19:35:00Z,143.61,143.9,143.12,143.46,3921.83,562931.1957
1786563600000,2026-08-12T19:40:00Z,143.46,143.64,142.56,142.9,4279.87,612316.649
1786563900000,2026-08-12T19:45:00Z,142.9,143.63,142.82,143.6,6169,883170.5294
1786564200000,2026-08-12T19:50:00Z,143.6,143.71,142.88,143.18,10238.67,1466895.8366
1786564500000,2026-08-12T19:55:00Z,143.18,143.25,142.12,142.38,10777.04,1536329.2582
1786564800000,2026-08-12T20:00:00Z,142.38,143.27,142.38,142.99,7076.27,1011666.3494
1786565100000,2026-08-12T20:05:00Z,142.99,143.33,142.04,142.23,8664.32,1236508.0037
1786565400000,2026-08-12T20:10:00Z,142.23,142.34,141.79,142.12,2916.52,414309.5647
1786565700000,2026-08-12T20:15:00Z,142.12,142.54,142.05,142.06,2451.66,348817.1647
1786566000000,2026-08-12T20:20:00Z,142.06,142.19,141.96,142.11,1163.03,165238.2004
1786566300000,2026-08-12T20:25:00Z,142.11,142.27,142.05,142.19,1088.15,154693.7277
1786566600000,2026-08-12T20:30:00Z,142.19,142.34,142.1,142.3,1357.52,193052.6778
1786566900000,2026-08-12T20:35:00Z,142.3,142.37,142.23,142.36,750.99,106876.7113
1786567200000,2026-08-12T20:40:00Z,142.36,142.36,142.22,142.32,772.03,109865.6029
1786567500000,2026-08-12T20:45:00Z,142.32,142.33,141.95,142.02,512.13,72783.3728
1786567800000,2026-08-12T20:50:00Z,142.02,142.14,141.86,141.98,2285.62,324638.9685
1786568100000,2026-08-12T20:55:00Z,141.98,142.04,141.87,142.02,443.92,63012.1677
1786568400000,2026-08-12T21:00:00Z,142.02,142.1,141.85,142.1,2347.64,333185.8746
1786568700000,2026-08-12T21:05:00Z,142.1,142.46,142.1,142.39,627.81,89355.8796
1786569000000,2026-08-12T21:10:00Z,142.39,142.66,142.39,142.58,843.33,120197.1099
1786569300000,2026-08-12T21:15:00Z,142.58,142.84,142.58,142.8,266.29,38011.6533
1786569600000,2026-08-12T21:20:00Z,142.8,142.8,142.6,142.63,469.73,67034.699
1786569900000,2026-08-12T21:25:00Z,142.63,142.94,142.54,142.77,552.36,78835.6685
1786570200000,2026-08-12T21:30:00Z,142.77,142.77,142.7,142.73,87.23,12450.3993
1786570500000,2026-08-12T21:35:00Z,142.73,142.96,142.73,142.93,287.7,41109.5907
1786570800000,2026-08-12T21:40:00Z,142.93,142.99,142.92,142.93,188.5,26948.1882
1786571100000,2026-08-12T21:45:00Z,142.93,143.01,142.78,142.78,124.83,17841.4362
1786571400000,2026-08-12T21:50:00Z,142.78,142.87,142.66,142.86,552.87,78953.126
1786571700000,2026-08-12T21:55:00Z,142.86,143.01,142.83,142.97,151.96,21719.599
1786572000000,2026-08-12T22:00:00Z,142.97,142.97,142.47,142.58,604.68,86306.7796
1786572300000,2026-08-12T22:05:00Z,142.58,142.89,142.58,142.84,302.84,43230.0749
1786572600000,2026-08-12T22:10:00Z,142.84,142.86,142.4,142.51,165.7,23635.586
1786572900000,2026-08-12T22:15:00Z,142.51,142.51,142.13,142.13,437.47,62263.5187
1786573200000,2026-08-12T22:20:00Z,142.13,142.41,142.06,142.33,470.16,66848.1375
1786573500000,2026-08-12T22:25:00Z,142.33,142.37,142.12,142.3,621.3,88373.3049
1786573800000,2026-08-12T22:30:00Z,142.3,142.3,142.11,142.2,426.47,60643.8226
1786574100000,2026-08-12T22:35:00Z,142.2,142.23,142.1,142.17,307.18,43675.9751
1786574400000,2026-08-12T22:40:00Z,142.17,142.39,142.17,142.39,286.59,40793.0817
1786574700000,2026-08-12T22:45:00Z,142.39,142.46,142.29,142.37,402.54,57319.8802
1786575000000,2026-08-12T22:50:00Z,142.37,142.51,142.34,142.51,105.95,15086.3412
1786575300000,2026-08-12T22:55:00Z,142.51,142.53,142.41,142.5,717.06,102153.4334
1786575600000,2026-08-12T23:00:00Z,142.5,142.78,142.44,142.72,500.68,71420.9689
1786575900000,2026-08-12T23:05:00Z,142.72,143.07,142.71,143.06,452.11,64606.9566
1786576200000,2026-08-12T23:10:00Z,143.06,143.29,143.06,143.19,668.24,95687.4113
1786576500000,2026-08-12T23:15:00Z,143.19,143.25,143.15,143.25,309.51,44321.5878
1786576800000,2026-08-12T23:20:00Z,143.25,143.4,143.21,143.32,499.48,71560.9021
1786577100000,2026-08-12T23:25:00Z,143.32,143.34,143.07,143.13,212.48,30418.1659
1786577400000,2026-08-12T23:30:00Z,143.13,143.16,142.93,143.08,286.43,40973.6223
1786577700000,2026-08-12T23:35:00Z,143.08,143.4,142.95,143.37,427.22,61159.2121
1786578000000,2026-08-12T23:40:00Z,143.37,143.55,143.22,143.43,518.9,74429.1931
1786578300000,2026-08-12T23:45:00Z,143.43,143.45,143.1,143.15,503.45,72098.1401
1786578600000,2026-08-12T23:50:00Z,143.15,143.47,143.13,143.43,492.39,70549.6211
1786578900000,2026-08-12T23:55:00Z,143.43,143.56,143.33,143.49,491.33,70488.9418
1786579200000,2026-08-13T00:00:00Z,143.49,144.53,142.89,143.86,10693.3,1538683.9194
1786579500000,2026-08-13T00:05:00Z,143.86,144.77,143.86,144.57,4312.06,622888.7566
1786579800000,2026-08-13T00:10:00Z,144.57,144.83,144.25,144.45,2605.97,376593.536
1786580100000,2026-08-13T00:15:00Z,144.45,144.9,144.21,144.87,1955.83,282496.3692
1786580400000,2026-08-13T00:20:00Z,144.87,144.98,144.56,144.7,1114.44,161313.462
1786580700000,2026-08-13T00:25:00Z,144.7,144.86,144.27,144.32,1869.37,270046.0048
1786581000000,2026-08-13T00:30:00Z,144.32,144.45,143.63,143.83,1858.04,267589.2698
1786581300000,2026-08-13T00:35:00Z,143.83,144.2,143.71,144.2,1346.72,193767.5395
1786581600000,2026-08-13T00:40:00Z,144.2,144.3,143.82,143.93,1259.52,181391.4579
1786581900000,2026-08-13T00:45:00Z,143.93,144.41,143.6,144.36,1079.94,155475.0291
1786582200000,2026-08-13T00:50:00Z,144.36,144.38,143.98,143.99,484.97,69948.7935
1786582500000,2026-08-13T00:55:00Z,143.99,144.31,143.82,144.27,736.48,106072.4652
1786582800000,2026-08-13T01:00:00Z,144.27,144.37,143.65,143.87,950.52,136756.0881
1786583100000,2026-08-13T01:05:00Z,143.87,144.13,143.83,144.12,757.1,109010.5577
1786583400000,2026-08-13T01:10:00Z,144.12,144.35,143.9,143.96,1218.88,175688.1226
1786583700000,2026-08-13T01:15:00Z,143.96,144.23,143.88,144.04,369.23,53182.8705
1786584000000,2026-08-13T01:20:00Z,144.04,144.11,143.86,143.98,760.37,109446.6437
1786584300000,2026-08-13T01:25:00Z,143.98,143.98,143.46,143.54,1518.74,218163.2363
1786584600000,2026-08-13T01:30:00Z,143.54,143.94,143.47,143.93,969.47,139326.8665
1786584900000,2026-08-13T01:35:00Z,143.93,144.14,143.92,144.13,1272.28,183278.9657
1786585200000,2026-08-13T01:40:00Z,144.13,144.34,143.94,144.18,1066.35,153689.8994
1786585500000,2026-08-13T01:45:00Z,144.18,144.29,143.91,143.96,1001.85,144326.7933
1786585800000,2026-08-13T01:50:00Z,143.96,144.59,143.94,144.58,840.14,121257.0099
1786586100000,2026-08-13T01:55:00Z,144.58,144.79,144.5,144.63,876.91,126823.8667
1786586400000,2026-08-13T02:00:00Z,144.63,144.87,144.56,144.77,815.66,118025.1559
1786586700000,2026-08-13T02:05:00Z,144.77,144.97,144.72,144.91,602.44,87263.4302
1786587000000,2026-08-13T02:10:00Z,144.91,144.91,144.8,144.86,515.78,74716.6023
