ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,550,550,548.7,549.18,19.49,10706.2309
1786549800000,2026-08-12T15:50:00Z,549.18,549.18,549.18,549.18,0,0
1786550100000,2026-08-12T15:55:00Z,549.18,549.18,549.18,549.18,0,0
1786550400000,2026-08-12T16:00:00Z,549.18,550.85,549.18,550.85,0.02,11.017
1786550700000,2026-08-12T16:05:00Z,550.85,550.85,550.74,550.74,0.58,319.4308
1786551000000,2026-08-12T16:10:00Z,550.74,551.42,550.74,551.42,0.99,545.8654
1786551300000,2026-08-12T16:15:00Z,551.42,551.42,550.88,550.88,0.06,33.0528
1786551600000,2026-08-12T16:20:00Z,550.88,551.24,550.88,551.24,0.04,22.0496
1786551900000,2026-08-12T16:25:00Z,551.24,551.87,551.24,551.87,5.42,2990.7731
1786552200000,2026-08-12T16:30:00Z,551.87,551.87,550.65,550.65,0.94,517.6694
1786552500000,2026-08-12T16:35:00Z,550.65,551.13,550.65,551.13,0.19,104.7067
1786552800000,2026-08-12T16:40:00Z,551.13,551.13,551.13,551.13,0,0
1786553100000,2026-08-12T16:45:00Z,551.13,551.13,551.13,551.13,0,0
1786553400000,2026-08-12T16:50:00Z,551.13,551.13,551,551,0.1,55.1004
1786553700000,2026-08-12T16:55:00Z,551,551.48,551,551.48,0.1,55.1368
1786554000000,2026-08-12T17:00:00Z,551.48,551.98,551.33,551.98,2.43,1340.1962
1786554300000,2026-08-12T17:05:00Z,551.98,552,551.98,552,0.06,33.12
1786554600000,2026-08-12T17:10:00Z,552,552,550.74,550.74,1.66,914.547
1786554900000,2026-08-12T17:15:00Z,550.74,551.35,550.74,551.35,0.08,44.108
1786555200000,2026-08-12T17:20:00Z,551.35,551.46,551.35,551.46,0.08,44.1168
1786555500000,2026-08-12T17:25:00Z,551.46,551.71,551.46,551.71,0.04,22.0684
1786555800000,2026-08-12T17:30:00Z,551.71,552.21,551.71,552.21,0.16,88.3496
1786556100000,2026-08-12T17:35:00Z,552.21,552.21,552.21,552.21,0,0
1786556400000,2026-08-12T17:40:00Z,552.21,552.9,552.21,552.85,0.58,320.519
1786556700000,2026-08-12T17:45:00Z,552.85,552.97,552.85,552.97,0.08,44.2376
1786557000000,2026-08-12T17:50:00Z,552.97,553.25,552.97,553.25,0.26,143.8216
1786557300000,2026-08-12T17:55:00Z,553.25,553.25,553.25,553.25,0,0
1786557600000,2026-08-12T18:00:00Z,553.25,553.25,551.65,551.65,4.58,2526.6384
1786557900000,2026-08-12T18:05:00Z,551.65,552.38,551.65,552.38,0.02,11.0476
1786558200000,2026-08-12T18:10:00Z,552.38,552.38,552.38,552.38,0,0
1786558500000,2026-08-12T18:15:00Z,552.38,552.38,552.05,552.05,0.01,5.5205
1786558800000,2026-08-12T18:20:00Z,552.05,552.05,552.05,552.05,0,0
1786559100000,2026-08-12T18:25:00Z,552.05,552.4,552.05,552.4,0.02,11.048
1786559400000,2026-08-12T18:30:00Z,552.4,552.4,552.36,552.36,0.02,11.0472
1786559700000,2026-08-12T18:35:00Z,552.36,552.36,551.95,552.01,0.07,38.6377
1786560000000,2026-08-12T18:40:00Z,552.01,552.43,552.01,552.43,0.36,198.8748
1786560300000,2026-08-12T18:45:00Z,552.43,552.43,551.85,551.85,0.08,44.148
1786560600000,2026-08-12T18:50:00Z,551.85,551.85,551.85,551.85,0,0
1786560900000,2026-08-12T18:55:00Z,551.85,551.85,551.18,551.18,0.08,44.0944
1786561200000,2026-08-12T19:00:00Z,551.18,551.37,550.96,550.96,0.19,104.6985
1786561500000,2026-08-12T19:05:00Z,550.96,551.06,550.96,551.06,0.08,44.0848
1786561800000,2026-08-12T19:10:00Z,551.06,551.06,550.85,550.93,0.21,115.6913
1786562100000,2026-08-12T19:15:00Z,550.93,551.13,550.93,551.13,0.52,286.586
1786562400000,2026-08-12T19:20:00Z,551.13,551.19,550,550,0.33,181.6076
1786562700000,2026-08-12T19:25:00Z,550,550,550,550,0,0
1786563000000,2026-08-12T19:30:00Z,550,550,548.41,548.41,8.39,4602.7481
1786563300000,2026-08-12T19:35:00Z,548.41,548.41,548.41,548.41,0,0
1786563600000,2026-08-12T19:40:00Z,548.41,548.65,548,548,0.16,87.732
1786563900000,2026-08-12T19:45:00Z,548,548.67,548,548.67,1.66,910.6812
1786564200000,2026-08-12T19:50:00Z,548.67,548.68,548.48,548.68,0.38,208.4534
1786564500000,2026-08-12T19:55:00Z,548.68,548.68,546.66,547.38,7.27,3977.5024
1786564800000,2026-08-12T20:00:00Z,547.38,548.83,547.38,548.25,2.11,1157.3623
1786565100000,2026-08-12T20:05:00Z,548.25,548.25,548.25,548.25,0,0
1786565400000,2026-08-12T20:10:00Z,548.25,548.25,548.25,548.25,0,0
1786565700000,2026-08-12T20:15:00Z,548.25,548.25,548.25,548.25,0,0
1786566000000,2026-08-12T20:20:00Z,548.25,548.25,548.25,548.25,0,0
1786566300000,2026-08-12T20:25:00Z,548.25,548.25,546.79,546.83,0.64,349.9612
1786566600000,2026-08-12T20:30:00Z,546.83,546.83,546.83,546.83,0,0
1786566900000,2026-08-12T20:35:00Z,546.83,546.83,546.83,546.83,0,0
1786567200000,2026-08-12T20:40:00Z,546.83,546.83,546.83,546.83,0,0
1786567500000,2026-08-12T20:45:00Z,546.83,546.83,546.83,546.83,0,0
1786567800000,2026-08-12T20:50:00Z,546.83,546.83,546.45,546.45,0.35,191.3137
1786568100000,2026-08-12T20:55:00Z,546.45,546.45,546.45,546.45,0,0
1786568400000,2026-08-12T21:00:00Z,546.45,547.13,546.45,547.13,0.74,404.831
1786568700000,2026-08-12T21:05:00Z,547.13,547.13,547.13,547.13,0,0
1786569000000,2026-08-12T21:10:00Z,547.13,547.13,547.13,547.13,0,0
1786569300000,2026-08-12T21:15:00Z,547.13,547.13,547.13,547.13,0,0
1786569600000,2026-08-12T21:20:00Z,547.13,547.13,547.13,547.13,0,0
1786569900000,2026-08-12T21:25:00Z,547.13,548.57,547.13,548.57,1.43,784.3879
1786570200000,2026-08-12T21:30:00Z,548.57,548.57,548.57,548.57,0,0
1786570500000,2026-08-12T21:35:00Z,548.57,548.57,548.57,548.57,0,0
1786570800000,2026-08-12T21:40:00Z,548.57,548.57,547.87,547.87,0.74,405.4238
1786571100000,2026-08-12T21:45:00Z,547.87,547.87,547.87,547.87,0.74,405.4238
