ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,772.71,772.72,772.63,772.7,0.93,718.579
1786549800000,2026-08-12T15:50:00Z,772.7,772.78,772.7,772.78,0.12,92.7256
1786550100000,2026-08-12T15:55:00Z,772.78,772.78,772.75,772.78,3.65,2820.644
1786550400000,2026-08-12T16:00:00Z,772.78,773.1,772.78,772.99,28.64,22138.5338
1786550700000,2026-08-12T16:05:00Z,772.99,772.99,772.86,772.92,10.62,8208.2412
1786551000000,2026-08-12T16:10:00Z,772.92,773.1,772.92,773.1,0.93,718.9198
1786551300000,2026-08-12T16:15:00Z,773.1,773.21,773.1,773.19,1.32,1020.5249
1786551600000,2026-08-12T16:20:00Z,773.19,773.22,773.08,773.22,1.17,904.6169
1786551900000,2026-08-12T16:25:00Z,773.22,773.29,773.18,773.29,1.75,1353.2272
1786552200000,2026-08-12T16:30:00Z,773.29,773.29,772.87,772.9,7.35,5681.5138
1786552500000,2026-08-12T16:35:00Z,772.9,773.33,772.9,773.33,0.91,703.6635
1786552800000,2026-08-12T16:40:00Z,773.33,773.49,773.33,773.41,0.89,688.3511
1786553100000,2026-08-12T16:45:00Z,773.41,773.41,773.32,773.41,0.28,216.5406
1786553400000,2026-08-12T16:50:00Z,773.41,773.73,773.41,773.73,3.55,2745.9672
1786553700000,2026-08-12T16:55:00Z,773.73,773.73,773.43,773.46,22.46,17373.3421
1786554000000,2026-08-12T17:00:00Z,773.46,773.68,773.42,773.68,2.74,2119.6494
1786554300000,2026-08-12T17:05:00Z,773.68,773.85,773.68,773.85,1,773.8082
1786554600000,2026-08-12T17:10:00Z,773.85,773.85,773.5,773.5,0.61,471.8773
1786554900000,2026-08-12T17:15:00Z,773.5,773.71,773.46,773.46,2.63,2034.6801
1786555200000,2026-08-12T17:20:00Z,773.46,773.56,773.46,773.56,0.77,595.606
1786555500000,2026-08-12T17:25:00Z,773.56,773.71,773.56,773.71,0.08,61.892
1786555800000,2026-08-12T17:30:00Z,773.71,773.71,773.51,773.55,3.51,2715.1671
1786556100000,2026-08-12T17:35:00Z,773.55,773.6,773.53,773.53,1.88,1454.3228
1786556400000,2026-08-12T17:40:00Z,773.53,773.68,773.51,773.52,12.08,9344.6178
1786556700000,2026-08-12T17:45:00Z,773.52,773.55,773.52,773.55,0.29,224.3295
1786557000000,2026-08-12T17:50:00Z,773.55,773.62,773.55,773.58,6.41,4958.8942
1786557300000,2026-08-12T17:55:00Z,773.58,773.58,773.58,773.58,0.46,355.8468
1786557600000,2026-08-12T18:00:00Z,773.58,773.74,773.55,773.67,4.08,3156.5198
1786557900000,2026-08-12T18:05:00Z,773.67,773.67,773.67,773.67,0,0
1786558200000,2026-08-12T18:10:00Z,773.67,773.72,773.67,773.72,0.05,38.686
1786558500000,2026-08-12T18:15:00Z,773.72,773.82,773.72,773.82,2.81,2174.4194
1786558800000,2026-08-12T18:20:00Z,773.82,773.86,773.81,773.85,0.26,201.1948
1786559100000,2026-08-12T18:25:00Z,773.85,773.9,773.85,773.9,0.15,116.0832
1786559400000,2026-08-12T18:30:00Z,773.9,774.16,773.83,774.16,0.79,611.4292
1786559700000,2026-08-12T18:35:00Z,774.16,774.16,774.14,774.14,0.01,7.7414
1786560000000,2026-08-12T18:40:00Z,774.14,774.32,774.14,774.24,5.8,4490.5938
1786560300000,2026-08-12T18:45:00Z,774.24,774.25,774.22,774.23,2.53,1958.7806
1786560600000,2026-08-12T18:50:00Z,774.23,774.23,774.22,774.22,0.15,116.133
1786560900000,2026-08-12T18:55:00Z,774.22,774.22,773.86,773.86,1.53,1184.1645
1786561200000,2026-08-12T19:00:00Z,773.86,774.04,773.86,774.04,2.69,2082.1146
1786561500000,2026-08-12T19:05:00Z,774.04,774.11,774.04,774.11,5.71,4419.9465
1786561800000,2026-08-12T19:10:00Z,774.11,774.11,773.88,773.88,0.2,154.783
1786562100000,2026-08-12T19:15:00Z,773.88,773.94,773.88,773.94,0.1,77.394
1786562400000,2026-08-12T19:20:00Z,773.94,773.94,773.81,773.81,0.51,394.6536
1786562700000,2026-08-12T19:25:00Z,773.81,773.81,773.67,773.67,5.84,4518.2653
1786563000000,2026-08-12T19:30:00Z,773.67,773.73,773.64,773.64,0.58,448.7416
