ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,37.47,37.48,37.47,37.48,2.38,89.1905
1786549800000,2026-08-12T15:50:00Z,37.48,37.48,37.48,37.48,0,0
1786550100000,2026-08-12T15:55:00Z,37.48,37.48,37.48,37.48,0,0
1786550400000,2026-08-12T16:00:00Z,37.48,37.48,37.48,37.48,0,0
1786550700000,2026-08-12T16:05:00Z,37.48,37.48,37.32,37.32,338.49,12652.5644
1786551000000,2026-08-12T16:10:00Z,37.32,37.32,37.3,37.3,1.32,49.236
1786551300000,2026-08-12T16:15:00Z,37.3,37.35,37.3,37.34,3.2,119.5003
1786551600000,2026-08-12T16:20:00Z,37.34,37.34,37.34,37.34,0,0
1786551900000,2026-08-12T16:25:00Z,37.34,37.34,37.31,37.32,77.84,2904.2348
1786552200000,2026-08-12T16:30:00Z,37.32,37.34,37.3,37.34,5.13,191.5342
1786552500000,2026-08-12T16:35:00Z,37.34,37.38,37.34,37.38,1.19,44.4822
1786552800000,2026-08-12T16:40:00Z,37.38,37.38,37.25,37.26,60.28,2246.0326
1786553100000,2026-08-12T16:45:00Z,37.26,37.26,37.23,37.23,9.14,340.3556
1786553400000,2026-08-12T16:50:00Z,37.23,37.23,37.16,37.16,46.83,1742.8008
1786553700000,2026-08-12T16:55:00Z,37.16,37.18,37.16,37.18,102.98,3827.9617
1786554000000,2026-08-12T17:00:00Z,37.18,37.18,37.14,37.14,23.23,862.9823
1786554300000,2026-08-12T17:05:00Z,37.14,37.14,37.1,37.1,202.94,7530.5355
1786554600000,2026-08-12T17:10:00Z,37.1,37.19,37.1,37.16,28.43,1057.1633
1786554900000,2026-08-12T17:15:00Z,37.16,37.22,37.16,37.22,33.64,1252.0602
1786555200000,2026-08-12T17:20:00Z,37.22,37.22,37.22,37.22,0,0
1786555500000,2026-08-12T17:25:00Z,37.22,37.22,37.13,37.13,317.97,11822.6491
1786555800000,2026-08-12T17:30:00Z,37.13,37.18,37.13,37.13,4.75,176.4026
