ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786548900000,2026-08-12T15:35:00Z,95.52,95.6,95.52,95.6,0.31,29.636
1786549200000,2026-08-12T15:40:00Z,95.6,95.6,95.6,95.6,0,0
1786549500000,2026-08-12T15:45:00Z,95.6,95.6,95.6,95.6,0,0
1786549800000,2026-08-12T15:50:00Z,95.6,95.6,95.3,95.3,0.5,47.6544
1786550100000,2026-08-12T15:55:00Z,95.3,95.3,95.3,95.3,0,0
1786550400000,2026-08-12T16:00:00Z,95.3,95.39,95.3,95.39,0.16,15.2624
1786550700000,2026-08-12T16:05:00Z,95.39,95.39,95.39,95.39,0,0
1786551000000,2026-08-12T16:10:00Z,95.39,95.39,95.39,95.39,0,0
1786551300000,2026-08-12T16:15:00Z,95.39,95.39,95.19,95.35,0.44,41.9156
1786551600000,2026-08-12T16:20:00Z,95.35,95.35,95.11,95.11,0.62,59.0209
1786551900000,2026-08-12T16:25:00Z,95.11,95.11,95.11,95.11,0,0
1786552200000,2026-08-12T16:30:00Z,95.11,95.11,95.11,95.11,0,0
1786552500000,2026-08-12T16:35:00Z,95.11,95.11,95.11,95.11,0,0
1786552800000,2026-08-12T16:40:00Z,95.11,95.22,95.11,95.22,0.16,15.2352
1786553100000,2026-08-12T16:45:00Z,95.22,95.27,95.22,95.27,0.22,20.9594
1786553400000,2026-08-12T16:50:00Z,95.27,95.27,95.27,95.27,0,0
1786553700000,2026-08-12T16:55:00Z,95.27,95.31,95.27,95.31,0.31,29.5461
1786554000000,2026-08-12T17:00:00Z,95.31,95.31,95.31,95.31,0,0
1786554300000,2026-08-12T17:05:00Z,95.31,95.31,95.31,95.31,0,0
1786554600000,2026-08-12T17:10:00Z,95.31,95.31,95.31,95.31,0,0
1786554900000,2026-08-12T17:15:00Z,95.31,95.33,95.31,95.33,0.4,38.132
1786555200000,2026-08-12T17:20:00Z,95.33,95.33,95.33,95.33,0,0
1786555500000,2026-08-12T17:25:00Z,95.33,95.33,95.33,95.33,0,0
1786555800000,2026-08-12T17:30:00Z,95.33,95.33,95.33,95.33,0,0
1786556100000,2026-08-12T17:35:00Z,95.33,95.37,95.2,95.2,0.58,55.2653
1786556400000,2026-08-12T17:40:00Z,95.2,95.2,95.2,95.2,0,0
1786556700000,2026-08-12T17:45:00Z,95.2,95.3,95.18,95.3,0.41,39.0478
1786557000000,2026-08-12T17:50:00Z,95.3,95.3,95.2,95.2,0.37,35.224
1786557300000,2026-08-12T17:55:00Z,95.2,95.2,95.2,95.2,0,0
1786557600000,2026-08-12T18:00:00Z,95.2,95.2,95.2,95.2,0,0
1786557900000,2026-08-12T18:05:00Z,95.2,95.2,95.2,95.2,0,0
1786558200000,2026-08-12T18:10:00Z,95.2,95.26,95.2,95.26,0.14,13.3364
1786558500000,2026-08-12T18:15:00Z,95.26,95.3,95.16,95.3,0.41,39.0436
1786558800000,2026-08-12T18:20:00Z,95.3,95.3,95.3,95.3,0,0
1786559100000,2026-08-12T18:25:00Z,95.3,95.3,95.3,95.3,0,0
1786559400000,2026-08-12T18:30:00Z,95.3,95.3,95.3,95.3,0,0
1786559700000,2026-08-12T18:35:00Z,95.3,95.32,95.29,95.32,28.14,2681.6403
1786560000000,2026-08-12T18:40:00Z,95.32,95.32,95.32,95.32,0,0
1786560300000,2026-08-12T18:45:00Z,95.32,95.32,95.13,95.13,0.32,30.4416
1786560600000,2026-08-12T18:50:00Z,95.13,95.27,95.13,95.27,8.66,825.0382
1786560900000,2026-08-12T18:55:00Z,95.27,95.31,95.13,95.31,9.58,912.9458
1786561200000,2026-08-12T19:00:00Z,95.31,95.31,95.31,95.31,0,0
1786561500000,2026-08-12T19:05:00Z,95.31,95.43,95.31,95.43,12.31,1174.3103
1786561800000,2026-08-12T19:10:00Z,95.43,95.54,95.43,95.54,21.3,2033.758
1786562100000,2026-08-12T19:15:00Z,95.54,95.54,95.54,95.54,0,0
1786562400000,2026-08-12T19:20:00Z,95.54,95.65,95.54,95.65,9.5,908.0474
1786562700000,2026-08-12T19:25:00Z,95.65,95.65,95.65,95.65,0,0
1786563000000,2026-08-12T19:30:00Z,95.65,95.65,95.37,95.37,1.76,167.8869
1786563300000,2026-08-12T19:35:00Z,95.37,95.37,95.37,95.37,0,0
1786563600000,2026-08-12T19:40:00Z,95.37,95.5,95.37,95.5,8.87,847.085
1786563900000,2026-08-12T19:45:00Z,95.5,95.5,95.5,95.5,0,0
1786564200000,2026-08-12T19:50:00Z,95.5,95.5,95.49,95.49,2.6,248.274
1786564500000,2026-08-12T19:55:00Z,95.49,95.49,95.49,95.49,0,0
1786564800000,2026-08-12T20:00:00Z,95.49,95.49,95.49,95.49,0,0
1786565100000,2026-08-12T20:05:00Z,95.49,95.49,95.34,95.34,0.36,34.3224
1786565400000,2026-08-12T20:10:00Z,95.34,95.34,95.34,95.34,0,0
1786565700000,2026-08-12T20:15:00Z,95.34,95.34,95.34,95.34,0,0
1786566000000,2026-08-12T20:20:00Z,95.34,95.34,95.34,95.34,0,0
1786566300000,2026-08-12T20:25:00Z,95.34,95.34,95.34,95.34,0,0
1786566600000,2026-08-12T20:30:00Z,95.34,95.42,95.34,95.42,0.19,18.1298
1786566900000,2026-08-12T20:35:00Z,95.42,95.42,95.41,95.41,0.12,11.4492
1786567200000,2026-08-12T20:40:00Z,95.41,95.41,95.34,95.34,0.26,24.7884
1786567500000,2026-08-12T20:45:00Z,95.34,95.34,95.34,95.34,0,0
1786567800000,2026-08-12T20:50:00Z,95.34,95.34,95.34,95.34,0,0
1786568100000,2026-08-12T20:55:00Z,95.34,95.48,95.33,95.48,0.78,74.4159
1786568400000,2026-08-12T21:00:00Z,95.48,95.48,95.44,95.44,0.25,23.86
1786568700000,2026-08-12T21:05:00Z,95.44,95.44,95.44,95.44,0,0
1786569000000,2026-08-12T21:10:00Z,95.44,95.44,95.44,95.44,0,0
1786569300000,2026-08-12T21:15:00Z,95.44,95.44,95.44,95.44,0,0
1786569600000,2026-08-12T21:20:00Z,95.44,95.44,95.34,95.34,0.36,34.3224
1786569900000,2026-08-12T21:25:00Z,95.34,95.34,95.3,95.3,0.28,26.684
1786570200000,2026-08-12T21:30:00Z,95.3,95.3,95.3,95.3,0,0
1786570500000,2026-08-12T21:35:00Z,95.3,95.3,95.3,95.3,0,0
1786570800000,2026-08-12T21:40:00Z,95.3,95.3,95.3,95.3,0,0
1786571100000,2026-08-12T21:45:00Z,95.3,95.38,95.3,95.38,0.78,74.3964
1786571400000,2026-08-12T21:50:00Z,95.38,95.38,95.38,95.38,0,0
1786571700000,2026-08-12T21:55:00Z,95.38,95.38,95.27,95.27,0.52,49.5404
1786572000000,2026-08-12T22:00:00Z,95.27,95.27,95.17,95.17,0.57,54.2469
1786572300000,2026-08-12T22:05:00Z,95.17,95.17,95.17,95.17,0,0
1786572600000,2026-08-12T22:10:00Z,95.17,95.33,95.17,95.33,1.27,121.0664
1786572900000,2026-08-12T22:15:00Z,95.33,95.33,95.33,95.33,0,0
