ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,405.46,405.46,403.58,403.58,0.08,32.3078
1786549800000,2026-08-12T15:50:00Z,403.58,405.86,403.58,405.86,0.02,8.1172
1786550100000,2026-08-12T15:55:00Z,405.86,405.86,404.65,404.65,1.02,412.743
1786550400000,2026-08-12T16:00:00Z,404.65,407.08,404.65,407.08,0.04,16.2588
1786550700000,2026-08-12T16:05:00Z,407.08,407.3,407.08,407.3,0.05,20.365
1786551000000,2026-08-12T16:10:00Z,407.3,407.69,407.3,407.69,0.09,36.6921
1786551300000,2026-08-12T16:15:00Z,407.69,407.69,406.33,406.33,0.33,134.0994
1786551600000,2026-08-12T16:20:00Z,406.33,406.48,406.33,406.48,0.03,12.1944
1786551900000,2026-08-12T16:25:00Z,406.48,406.48,405.59,405.59,2.33,945.8573
1786552200000,2026-08-12T16:30:00Z,405.59,405.59,404.65,405.06,5.92,2396.1209
1786552500000,2026-08-12T16:35:00Z,405.06,405.06,405.06,405.06,0,0
1786552800000,2026-08-12T16:40:00Z,405.06,405.06,405.06,405.06,0,0
1786553100000,2026-08-12T16:45:00Z,405.06,405.06,403.11,403.19,0.89,359.1924
1786553400000,2026-08-12T16:50:00Z,403.19,403.19,403.12,403.12,0.05,20.156
1786553700000,2026-08-12T16:55:00Z,403.12,403.12,403.12,403.12,0,0
1786554000000,2026-08-12T17:00:00Z,403.12,403.12,403.12,403.12,0,0
1786554300000,2026-08-12T17:05:00Z,403.12,403.8,403.12,403.8,0.04,16.152
1786554600000,2026-08-12T17:10:00Z,403.8,403.8,403.44,403.44,0.04,16.1376
1786554900000,2026-08-12T17:15:00Z,403.44,403.44,403.44,403.44,0,0
1786555200000,2026-08-12T17:20:00Z,403.44,403.44,403.44,403.44,0,0
1786555500000,2026-08-12T17:25:00Z,403.44,403.44,403.44,403.44,0,0
1786555800000,2026-08-12T17:30:00Z,403.44,404.22,403.44,404.22,0.07,28.2954
1786556100000,2026-08-12T17:35:00Z,404.22,404.65,404.22,404.65,0.04,16.186
1786556400000,2026-08-12T17:40:00Z,404.65,405.4,404.65,405.4,0.56,226.9629
1786556700000,2026-08-12T17:45:00Z,405.4,405.46,405.4,405.46,0.06,24.3276
1786557000000,2026-08-12T17:50:00Z,405.46,406.21,405.46,406.21,0.1,40.6035
1786557300000,2026-08-12T17:55:00Z,406.21,406.21,406.21,406.21,0,0
1786557600000,2026-08-12T18:00:00Z,406.21,406.74,406.21,406.74,0.07,28.4718
1786557900000,2026-08-12T18:05:00Z,406.74,406.74,405.55,405.55,0.04,16.222
1786558200000,2026-08-12T18:10:00Z,405.55,405.55,405.55,405.55,0,0
1786558500000,2026-08-12T18:15:00Z,405.55,405.55,405.55,405.55,0,0
