ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,325.08,325.68,325.04,325.54,336.57,109501.1644
1786549800000,2026-08-12T15:50:00Z,325.54,326.17,325.54,326,269.52,87825.2542
1786550100000,2026-08-12T15:55:00Z,326,326.58,326,326.47,240.33,78438.1585
1786550400000,2026-08-12T16:00:00Z,326.47,327.24,326.42,327.2,200.16,65406.1196
1786550700000,2026-08-12T16:05:00Z,327.2,327.3,326.93,327.07,120.43,39393.6911
1786551000000,2026-08-12T16:10:00Z,327.07,327.42,326.75,327.23,862.19,282112.1889
1786551300000,2026-08-12T16:15:00Z,327.23,327.23,326.46,327.1,224.22,73304.0094
1786551600000,2026-08-12T16:20:00Z,327.1,327.43,327.09,327.15,125.19,40984.8532
1786551900000,2026-08-12T16:25:00Z,327.15,327.61,327.15,327.5,150.1,49144.5776
1786552200000,2026-08-12T16:30:00Z,327.5,327.61,327.33,327.41,77.27,25303.3531
1786552500000,2026-08-12T16:35:00Z,327.41,327.63,327.27,327.31,157.49,51569.4802
1786552800000,2026-08-12T16:40:00Z,327.31,327.42,327.01,327.15,136.49,44671.5219
1786553100000,2026-08-12T16:45:00Z,327.15,327.64,327.15,327.38,29.87,9780.1932
1786553400000,2026-08-12T16:50:00Z,327.38,327.6,327.38,327.49,39.13,12814.4905
1786553700000,2026-08-12T16:55:00Z,327.49,327.56,327.4,327.45,11.7,3831.6264
1786554000000,2026-08-12T17:00:00Z,327.45,327.49,327.01,327.3,122.15,39985.7804
1786554300000,2026-08-12T17:05:00Z,327.3,327.65,327.27,327.4,22.12,7244.844
1786554600000,2026-08-12T17:10:00Z,327.4,327.48,327.18,327.27,44.51,14566.1716
1786554900000,2026-08-12T17:15:00Z,327.27,327.32,326.69,326.77,73.96,24183.0258
1786555200000,2026-08-12T17:20:00Z,326.77,327.01,326.67,326.69,34.56,11294.5833
1786555500000,2026-08-12T17:25:00Z,326.69,326.76,326.46,326.71,88.41,28875.9871
1786555800000,2026-08-12T17:30:00Z,326.71,326.79,326.32,326.35,26.37,8613.1566
1786556100000,2026-08-12T17:35:00Z,326.35,326.54,326.15,326.22,92.43,30159.7169
1786556400000,2026-08-12T17:40:00Z,326.22,326.48,326.22,326.46,79.03,25789.8165
1786556700000,2026-08-12T17:45:00Z,326.46,326.46,326.19,326.31,48.37,15782.9235
1786557000000,2026-08-12T17:50:00Z,326.31,326.64,326.23,326.41,83.95,27412.8628
1786557300000,2026-08-12T17:55:00Z,326.41,326.91,326.35,326.78,226.39,73923.2706
1786557600000,2026-08-12T18:00:00Z,326.78,326.87,326.24,326.87,93.68,30575.3943
1786557900000,2026-08-12T18:05:00Z,326.87,327.05,326.69,327.05,152.3,49789.6522
1786558200000,2026-08-12T18:10:00Z,327.05,327.2,326.85,326.93,83.27,27235.8206
1786558500000,2026-08-12T18:15:00Z,326.93,327.07,326.66,326.66,26.68,8718.4515
1786558800000,2026-08-12T18:20:00Z,326.66,326.84,326.59,326.84,7.67,2506.2721
1786559100000,2026-08-12T18:25:00Z,326.84,327.03,326.77,326.96,79.58,26012.8991
1786559400000,2026-08-12T18:30:00Z,326.96,327.81,326.96,327.5,122.04,39972.1594
1786559700000,2026-08-12T18:35:00Z,327.5,327.5,327.04,327.14,31.55,10323.7434
1786560000000,2026-08-12T18:40:00Z,327.14,327.31,327.01,327.04,132.48,43346.595
1786560300000,2026-08-12T18:45:00Z,327.04,327.27,326.88,327.17,64.61,21134.0005
1786560600000,2026-08-12T18:50:00Z,327.17,327.89,327.17,327.82,166.71,54635.7434
1786560900000,2026-08-12T18:55:00Z,327.82,327.83,327.61,327.68,183.29,60066.8287
1786561200000,2026-08-12T19:00:00Z,327.68,327.68,327.25,327.39,48.1,15748.8138
1786561500000,2026-08-12T19:05:00Z,327.39,327.68,327.39,327.67,34.95,11447.2398
1786561800000,2026-08-12T19:10:00Z,327.67,327.77,327.62,327.73,28.96,9489.3995
1786562100000,2026-08-12T19:15:00Z,327.73,327.94,327.51,327.67,183.08,60004.2106
1786562400000,2026-08-12T19:20:00Z,327.67,328.15,327.54,328.09,23.21,7605.5356
1786562700000,2026-08-12T19:25:00Z,328.09,328.4,327.99,328.3,43.64,14316.1751
1786563000000,2026-08-12T19:30:00Z,328.3,328.38,328.04,328.15,84.54,27750.2085
1786563300000,2026-08-12T19:35:00Z,328.15,328.15,327.85,327.9,54.69,17932.8141
1786563600000,2026-08-12T19:40:00Z,327.9,328.04,327.8,327.94,25.08,8224.9
1786563900000,2026-08-12T19:45:00Z,327.94,328.15,327.79,328.03,16.29,5341.5284
1786564200000,2026-08-12T19:50:00Z,328.03,328.1,327.47,328.1,351.93,115377.3462
1786564500000,2026-08-12T19:55:00Z,328.1,328.48,327.9,328.11,233.9,76771.6061
1786564800000,2026-08-12T20:00:00Z,328.11,328.45,328.04,328.14,165.77,54408.3908
1786565100000,2026-08-12T20:05:00Z,328.14,328.23,327.66,327.66,148.6,48735.8839
1786565400000,2026-08-12T20:10:00Z,327.66,327.81,327.66,327.81,76.83,25176.0477
1786565700000,2026-08-12T20:15:00Z,327.81,327.81,327.6,327.6,117.43,38484.3638
1786566000000,2026-08-12T20:20:00Z,327.6,327.6,327.43,327.43,0.92,301.2785
1786566300000,2026-08-12T20:25:00Z,327.43,327.54,327.22,327.22,188.36,61664.8981
1786566600000,2026-08-12T20:30:00Z,327.22,327.57,327.22,327.57,36.54,11963.4643
1786566900000,2026-08-12T20:35:00Z,327.57,327.64,327.54,327.56,30.26,9913.2108
1786567200000,2026-08-12T20:40:00Z,327.56,327.76,327.56,327.71,64.16,21020.2719
1786567500000,2026-08-12T20:45:00Z,327.71,327.79,327.6,327.61,51.9,17010.47
1786567800000,2026-08-12T20:50:00Z,327.61,327.81,327.61,327.8,26.87,8805.1328
1786568100000,2026-08-12T20:55:00Z,327.8,327.84,327.77,327.79,28.94,9486.4958
1786568400000,2026-08-12T21:00:00Z,327.79,327.86,327.78,327.84,14.71,4822.0638
1786568700000,2026-08-12T21:05:00Z,327.84,327.95,327.74,327.95,41.76,13687.0533
1786569000000,2026-08-12T21:10:00Z,327.95,328.08,327.9,328.05,164.41,53923.4375
1786569300000,2026-08-12T21:15:00Z,328.05,328.1,328,328.01,28.99,9510.2785
1786569600000,2026-08-12T21:20:00Z,328.01,328.07,327.96,327.98,3.93,1289.1011
1786569900000,2026-08-12T21:25:00Z,327.98,328.03,327.91,328.03,26.2,8592.4835
1786570200000,2026-08-12T21:30:00Z,328.03,328.15,328.03,328.15,26.43,8672.0113
1786570500000,2026-08-12T21:35:00Z,328.15,328.15,328.1,328.15,1.69,554.5584
1786570800000,2026-08-12T21:40:00Z,328.15,328.15,328.02,328.15,48.49,15910.8296
1786571100000,2026-08-12T21:45:00Z,328.15,328.15,328.09,328.09,9.33,3061.6128
1786571400000,2026-08-12T21:50:00Z,328.09,328.13,328.06,328.08,27.63,9065.5441
1786571700000,2026-08-12T21:55:00Z,328.08,328.14,328.08,328.14,55.06,18066.8007
1786572000000,2026-08-12T22:00:00Z,328.14,328.16,328.05,328.09,11.74,3852.3758
1786572300000,2026-08-12T22:05:00Z,328.09,328.12,328.07,328.12,0.06,19.6862
1786572600000,2026-08-12T22:10:00Z,328.12,328.12,327.85,327.91,13.37,4384.536
1786572900000,2026-08-12T22:15:00Z,327.91,327.99,327.8,327.8,22.24,7292.0111
1786573200000,2026-08-12T22:20:00Z,327.8,327.84,327.73,327.84,15.69,5143.3403
1786573500000,2026-08-12T22:25:00Z,327.84,327.84,327.73,327.75,53.41,17507.6157
1786573800000,2026-08-12T22:30:00Z,327.75,327.79,327.61,327.61,16.72,5478.2776
1786574100000,2026-08-12T22:35:00Z,327.61,327.61,327.58,327.6,1.57,514.3333
1786574400000,2026-08-12T22:40:00Z,327.6,327.6,327.52,327.54,78.58,25738.6377
1786574700000,2026-08-12T22:45:00Z,327.54,327.66,327.54,327.65,39.25,12858.4861
1786575000000,2026-08-12T22:50:00Z,327.65,327.66,327.65,327.66,0.31,101.5746
1786575300000,2026-08-12T22:55:00Z,327.66,327.66,327.62,327.65,43.78,14343.5216
1786575600000,2026-08-12T23:00:00Z,327.65,327.65,327.6,327.64,16.7,5471.348
1786575900000,2026-08-12T23:05:00Z,327.64,327.74,327.61,327.74,59.29,19426.4394
1786576200000,2026-08-12T23:10:00Z,327.74,327.77,327.73,327.74,20.12,6594.2347
1786576500000,2026-08-12T23:15:00Z,327.74,327.75,327.7,327.74,9.45,3097.0229
1786576800000,2026-08-12T23:20:00Z,327.74,327.79,327.7,327.7,7.52,2464.6789
1786577100000,2026-08-12T23:25:00Z,327.7,327.7,327.65,327.65,40.29,13201.3589
1786577400000,2026-08-12T23:30:00Z,327.65,327.69,327.64,327.64,1.75,573.4066
1786577700000,2026-08-12T23:35:00Z,327.64,327.75,327.64,327.75,68.1,22316.25
1786578000000,2026-08-12T23:40:00Z,327.75,327.75,327.65,327.65,482.59,158151.1439
1786578300000,2026-08-12T23:45:00Z,327.65,327.65,327.64,327.64,2.41,789.6124
1786578600000,2026-08-12T23:50:00Z,327.64,327.64,327.55,327.57,19.62,6427.0624
1786578900000,2026-08-12T23:55:00Z,327.57,327.67,327.57,327.6,82.6,27063.8288
