ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,20.792,20.803,20.769,20.794,40.35,838.94203
1786549800000,2026-08-12T15:50:00Z,20.794,20.803,20.765,20.8,12.5,259.81813
1786550100000,2026-08-12T15:55:00Z,20.8,20.811,20.792,20.792,6.76,140.60056
1786550400000,2026-08-12T16:00:00Z,20.792,20.806,20.792,20.806,5.17,107.55804
1786550700000,2026-08-12T16:05:00Z,20.806,20.806,20.7,20.7,66.38,1378.66674
1786551000000,2026-08-12T16:10:00Z,20.7,20.73,20.686,20.726,13.84,286.64513
1786551300000,2026-08-12T16:15:00Z,20.726,20.744,20.69,20.697,13.85,286.93699
1786551600000,2026-08-12T16:20:00Z,20.697,20.716,20.681,20.714,12.37,256.07172
1786551900000,2026-08-12T16:25:00Z,20.714,20.714,20.682,20.682,3.7,76.54028
1786552200000,2026-08-12T16:30:00Z,20.682,20.714,20.576,20.601,112.87,2329.82303
1786552500000,2026-08-12T16:35:00Z,20.601,20.601,20.427,20.498,839.7,17170.54207
1786552800000,2026-08-12T16:40:00Z,20.498,20.509,20.438,20.438,116.97,2396.32992
1786553100000,2026-08-12T16:45:00Z,20.438,20.466,20.438,20.466,3.42,69.98942
1786553400000,2026-08-12T16:50:00Z,20.466,20.466,20.421,20.461,96.59,1973.53699
1786553700000,2026-08-12T16:55:00Z,20.461,20.506,20.461,20.506,11.62,237.97396
1786554000000,2026-08-12T17:00:00Z,20.506,20.506,20.441,20.441,21.86,447.53687
1786554300000,2026-08-12T17:05:00Z,20.441,20.478,20.441,20.478,8.64,176.8357
1786554600000,2026-08-12T17:10:00Z,20.478,20.492,20.47,20.492,2.89,59.20538
1786554900000,2026-08-12T17:15:00Z,20.492,20.53,20.492,20.508,11.18,229.38209
1786555200000,2026-08-12T17:20:00Z,20.508,20.537,20.485,20.537,9.46,193.92373
1786555500000,2026-08-12T17:25:00Z,20.537,20.547,20.537,20.547,3.6,73.94182
1786555800000,2026-08-12T17:30:00Z,20.547,20.547,20.514,20.523,28.46,584.29556
1786556100000,2026-08-12T17:35:00Z,20.523,20.523,20.495,20.506,28.46,583.48652
1786556400000,2026-08-12T17:40:00Z,20.506,20.506,20.479,20.491,13.02,266.75066
1786556700000,2026-08-12T17:45:00Z,20.491,20.491,20.491,20.491,0,0
1786557000000,2026-08-12T17:50:00Z,20.491,20.516,20.491,20.509,2.94,60.3022
1786557300000,2026-08-12T17:55:00Z,20.509,20.509,20.475,20.506,6.74,138.06233
1786557600000,2026-08-12T18:00:00Z,20.506,20.513,20.484,20.484,18.91,387.71563
1786557900000,2026-08-12T18:05:00Z,20.484,20.499,20.399,20.399,35.48,725.74428
1786558200000,2026-08-12T18:10:00Z,20.399,20.44,20.399,20.44,11.58,236.5219
1786558500000,2026-08-12T18:15:00Z,20.44,20.44,20.383,20.426,18.31,373.80869
1786558800000,2026-08-12T18:20:00Z,20.426,20.427,20.426,20.427,12.24,250.02648
1786559100000,2026-08-12T18:25:00Z,20.427,20.427,20.4,20.404,6.66,135.88525
1786559400000,2026-08-12T18:30:00Z,20.404,20.438,20.385,20.399,15.9,324.43806
1786559700000,2026-08-12T18:35:00Z,20.399,20.399,20.38,20.385,4.35,88.6638
1786560000000,2026-08-12T18:40:00Z,20.385,20.385,20.243,20.333,4632.18,94018.61401
1786560300000,2026-08-12T18:45:00Z,20.333,20.339,20.333,20.333,7.31,148.65307
1786560600000,2026-08-12T18:50:00Z,20.333,20.336,20.309,20.319,43.18,877.1771
1786560900000,2026-08-12T18:55:00Z,20.319,20.344,20.316,20.336,19.2,390.40648
1786561200000,2026-08-12T19:00:00Z,20.336,20.336,20.322,20.322,4.54,92.26408
1786561500000,2026-08-12T19:05:00Z,20.322,20.324,20.311,20.322,30.46,618.83609
1786561800000,2026-08-12T19:10:00Z,20.322,20.349,20.31,20.315,51.11,1038.55012
1786562100000,2026-08-12T19:15:00Z,20.315,20.321,20.312,20.312,11.79,239.54308
1786562400000,2026-08-12T19:20:00Z,20.312,20.323,20.294,20.294,12.7,257.96861
1786562700000,2026-08-12T19:25:00Z,20.294,20.335,20.294,20.314,9.02,183.29768
1786563000000,2026-08-12T19:30:00Z,20.314,20.32,20.2,20.2,101.78,2062.97325
1786563300000,2026-08-12T19:35:00Z,20.2,20.334,20.2,20.309,997.55,20219.57333
1786563600000,2026-08-12T19:40:00Z,20.309,20.309,20.281,20.281,14.45,293.06681
1786563900000,2026-08-12T19:45:00Z,20.281,20.304,20.234,20.304,38.84,787.33296
1786564200000,2026-08-12T19:50:00Z,20.304,20.304,20.286,20.288,2.57,52.1358
1786564500000,2026-08-12T19:55:00Z,20.288,20.329,20.288,20.328,17.88,363.31542
1786564800000,2026-08-12T20:00:00Z,20.328,20.328,20.282,20.282,4.78,97.02604
1786565100000,2026-08-12T20:05:00Z,20.282,20.322,20.282,20.322,1.17,23.77674
1786565400000,2026-08-12T20:10:00Z,20.322,20.355,20.311,20.343,31.54,641.12377
1786565700000,2026-08-12T20:15:00Z,20.343,20.397,20.334,20.397,24.77,504.52841
1786566000000,2026-08-12T20:20:00Z,20.397,20.397,20.392,20.392,0.03,0.61176
1786566300000,2026-08-12T20:25:00Z,20.392,20.397,20.378,20.393,1.89,38.53243
1786566600000,2026-08-12T20:30:00Z,20.393,20.402,20.393,20.402,3.14,64.05971
1786566900000,2026-08-12T20:35:00Z,20.402,20.402,20.402,20.402,0,0
1786567200000,2026-08-12T20:40:00Z,20.402,20.402,20.402,20.402,0,0
1786567500000,2026-08-12T20:45:00Z,20.402,20.402,20.402,20.402,0,0
1786567800000,2026-08-12T20:50:00Z,20.402,20.402,20.391,20.391,1.64,33.44124
1786568100000,2026-08-12T20:55:00Z,20.391,20.391,20.365,20.386,150,3057.24318
1786568400000,2026-08-12T21:00:00Z,20.386,20.386,20.36,20.36,50,1018.51198
1786568700000,2026-08-12T21:05:00Z,20.36,20.385,20.36,20.385,1.51,30.78135
1786569000000,2026-08-12T21:10:00Z,20.385,20.385,20.363,20.382,7.73,157.50251
1786569300000,2026-08-12T21:15:00Z,20.382,20.393,20.372,20.387,12.9,262.9585
