ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,147.15,147.33,146.76,146.83,2.33,342.6064
1786549800000,2026-08-12T15:50:00Z,146.83,147.06,146.71,147.06,131.28,19268.5745
1786550100000,2026-08-12T15:55:00Z,147.06,147.07,146.95,147.07,12.26,1802.8605
1786550400000,2026-08-12T16:00:00Z,147.07,147.1,146.8,147.01,28.33,4164.7251
1786550700000,2026-08-12T16:05:00Z,147.01,147.1,147.01,147.03,0.64,94.1349
1786551000000,2026-08-12T16:10:00Z,147.03,147.15,147.02,147.15,7.37,1084.078
1786551300000,2026-08-12T16:15:00Z,147.15,147.15,147.03,147.1,3.6,529.428
1786551600000,2026-08-12T16:20:00Z,147.1,147.1,147.1,147.1,0,0
1786551900000,2026-08-12T16:25:00Z,147.1,147.1,146.59,146.68,13.72,2012.0796
1786552200000,2026-08-12T16:30:00Z,146.68,146.83,146.68,146.83,3.23,473.8781
1786552500000,2026-08-12T16:35:00Z,146.83,146.83,146.74,146.74,3.85,564.949
1786552800000,2026-08-12T16:40:00Z,146.74,146.74,146.67,146.67,7.7,1129.359
1786553100000,2026-08-12T16:45:00Z,146.67,146.78,146.67,146.78,29.56,4336.5523
1786553400000,2026-08-12T16:50:00Z,146.78,146.9,146.67,146.69,13.82,2027.2658
1786553700000,2026-08-12T16:55:00Z,146.69,146.91,146.69,146.91,20.73,3043.9888
1786554000000,2026-08-12T17:00:00Z,146.91,146.91,146.87,146.87,7,1028.09
1786554300000,2026-08-12T17:05:00Z,146.87,146.87,146.73,146.73,0.07,10.2711
1786554600000,2026-08-12T17:10:00Z,146.73,146.73,146.73,146.73,0,0
1786554900000,2026-08-12T17:15:00Z,146.73,146.95,146.69,146.84,4.63,679.3197
1786555200000,2026-08-12T17:20:00Z,146.84,146.84,146.76,146.79,10.56,1549.9255
1786555500000,2026-08-12T17:25:00Z,146.79,146.92,146.79,146.92,3,440.7492
1786555800000,2026-08-12T17:30:00Z,146.92,147.06,146.92,147.06,13.03,1916.0298
1786556100000,2026-08-12T17:35:00Z,147.06,147.06,147.06,147.06,0,0
1786556400000,2026-08-12T17:40:00Z,147.06,147.06,146.93,146.93,0.68,99.9124
1786556700000,2026-08-12T17:45:00Z,146.93,146.93,146.85,146.88,1.02,149.8081
1786557000000,2026-08-12T17:50:00Z,146.88,146.96,146.84,146.96,1.11,163.0512
1786557300000,2026-08-12T17:55:00Z,146.96,146.96,146.81,146.83,5.98,877.9462
1786557600000,2026-08-12T18:00:00Z,146.83,146.87,146.83,146.87,0.96,140.9952
1786557900000,2026-08-12T18:05:00Z,146.87,146.87,146.78,146.79,9.97,1463.4933
1786558200000,2026-08-12T18:10:00Z,146.79,146.95,146.79,146.95,0.79,116.0563
1786558500000,2026-08-12T18:15:00Z,146.95,146.95,146.86,146.86,0.45,66.0938
1786558800000,2026-08-12T18:20:00Z,146.86,146.86,146.86,146.86,0,0
1786559100000,2026-08-12T18:25:00Z,146.86,147.01,146.78,147.01,1.26,185.0538
1786559400000,2026-08-12T18:30:00Z,147.01,147.07,146.85,147.07,0.97,142.5137
