ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,114.83,115,114.83,115,0.28,32.2
1786549500000,2026-08-12T15:45:00Z,115,115,115,115,0,0
1786549800000,2026-08-12T15:50:00Z,115,115,115,115,0,0
1786550100000,2026-08-12T15:55:00Z,115,115,115,115,0,0
1786550400000,2026-08-12T16:00:00Z,115,115.1,115,115.1,1.22,140.394
1786550700000,2026-08-12T16:05:00Z,115.1,115.1,114.92,114.92,4.35,499.902
1786551000000,2026-08-12T16:10:00Z,114.92,115.07,114.92,115.07,87.75,10092.6741
1786551300000,2026-08-12T16:15:00Z,115.07,115.07,115.07,115.07,0,0
1786551600000,2026-08-12T16:20:00Z,115.07,115.07,115.07,115.07,0,0
1786551900000,2026-08-12T16:25:00Z,115.07,115.07,115.07,115.07,0,0
1786552200000,2026-08-12T16:30:00Z,115.07,115.09,115.06,115.09,11.24,1293.495
1786552500000,2026-08-12T16:35:00Z,115.09,115.12,115.09,115.12,5.01,576.7512
1786552800000,2026-08-12T16:40:00Z,115.12,115.12,115.12,115.12,0,0
1786553100000,2026-08-12T16:45:00Z,115.12,115.15,115.11,115.15,17.52,2017.4216
1786553400000,2026-08-12T16:50:00Z,115.15,115.22,115.15,115.22,7.88,907.8623
1786553700000,2026-08-12T16:55:00Z,115.22,115.22,115.22,115.22,0,0
1786554000000,2026-08-12T17:00:00Z,115.22,115.43,115.22,115.43,0.41,47.3263
1786554300000,2026-08-12T17:05:00Z,115.43,115.49,115.43,115.49,0.42,48.505
1786554600000,2026-08-12T17:10:00Z,115.49,115.5,115.49,115.5,0.14,16.17
1786554900000,2026-08-12T17:15:00Z,115.5,115.57,115.5,115.57,0.21,24.2697
1786555200000,2026-08-12T17:20:00Z,115.57,115.72,115.57,115.72,5.47,632.5522
1786555500000,2026-08-12T17:25:00Z,115.72,115.72,115.72,115.72,0,0
1786555800000,2026-08-12T17:30:00Z,115.72,115.72,115.54,115.54,0.42,48.5268
1786556100000,2026-08-12T17:35:00Z,115.54,115.54,115.42,115.42,0.42,48.4764
1786556400000,2026-08-12T17:40:00Z,115.42,115.42,115.14,115.14,4.01,461.8765
1786556700000,2026-08-12T17:45:00Z,115.14,115.14,115.14,115.14,0,0
1786557000000,2026-08-12T17:50:00Z,115.14,115.14,115.14,115.14,0,0
1786557300000,2026-08-12T17:55:00Z,115.14,115.14,115.14,115.14,0,0
1786557600000,2026-08-12T18:00:00Z,115.14,115.54,115.14,115.54,0.62,71.5945
1786557900000,2026-08-12T18:05:00Z,115.54,115.54,115.47,115.47,0.26,30.0222
1786558200000,2026-08-12T18:10:00Z,115.47,115.66,115.47,115.66,1.93,223.0575
1786558500000,2026-08-12T18:15:00Z,115.66,115.66,115.44,115.44,4.62,533.3724
1786558800000,2026-08-12T18:20:00Z,115.44,115.44,115.44,115.44,0,0
1786559100000,2026-08-12T18:25:00Z,115.44,115.44,115.44,115.44,0,0
1786559400000,2026-08-12T18:30:00Z,115.44,115.57,115.44,115.57,0.4,46.228
1786559700000,2026-08-12T18:35:00Z,115.57,115.67,115.57,115.67,0.92,106.4122
1786560000000,2026-08-12T18:40:00Z,115.67,115.68,115.67,115.68,0.02,2.3136
1786560300000,2026-08-12T18:45:00Z,115.68,115.68,115.68,115.68,0,0
1786560600000,2026-08-12T18:50:00Z,115.68,115.69,115.68,115.69,0.08,9.2552
1786560900000,2026-08-12T18:55:00Z,115.69,115.69,115.69,115.69,0,0
1786561200000,2026-08-12T19:00:00Z,115.69,115.69,115.63,115.63,0.12,13.8756
1786561500000,2026-08-12T19:05:00Z,115.63,115.64,115.63,115.64,0.26,30.0664
1786561800000,2026-08-12T19:10:00Z,115.64,115.64,115.64,115.64,0,0
1786562100000,2026-08-12T19:15:00Z,115.64,115.64,115.42,115.42,0.31,35.7802
1786562400000,2026-08-12T19:20:00Z,115.42,115.42,115.42,115.42,0,0
1786562700000,2026-08-12T19:25:00Z,115.42,115.42,115.42,115.42,0,0
1786563000000,2026-08-12T19:30:00Z,115.42,115.53,115.42,115.53,0.17,19.6401
1786563300000,2026-08-12T19:35:00Z,115.53,115.74,115.53,115.74,0.42,48.6108
1786563600000,2026-08-12T19:40:00Z,115.74,115.74,115.74,115.74,0,0
1786563900000,2026-08-12T19:45:00Z,115.74,115.77,115.74,115.77,0.29,33.5733
1786564200000,2026-08-12T19:50:00Z,115.77,115.77,115.63,115.63,0.13,15.0319
1786564500000,2026-08-12T19:55:00Z,115.63,116.02,115.63,116.02,17.29,2005.631
1786564800000,2026-08-12T20:00:00Z,116.02,116.05,116.02,116.05,0.1,11.605
1786565100000,2026-08-12T20:05:00Z,116.05,116.15,116.05,116.15,1.46,169.513
1786565400000,2026-08-12T20:10:00Z,116.15,116.15,115.89,115.89,1.88,217.9006
1786565700000,2026-08-12T20:15:00Z,115.89,115.89,115.89,115.89,0,0
1786566000000,2026-08-12T20:20:00Z,115.89,115.89,115.89,115.89,0,0
1786566300000,2026-08-12T20:25:00Z,115.89,115.92,115.89,115.92,0.27,31.2984
1786566600000,2026-08-12T20:30:00Z,115.92,115.92,115.92,115.92,0,0
1786566900000,2026-08-12T20:35:00Z,115.92,115.92,115.71,115.71,0.82,94.8945
1786567200000,2026-08-12T20:40:00Z,115.71,115.83,115.7,115.71,1.35,156.2278
1786567500000,2026-08-12T20:45:00Z,115.71,115.81,115.71,115.81,0.83,96.1223
1786567800000,2026-08-12T20:50:00Z,115.81,115.81,115.81,115.81,0,0
1786568100000,2026-08-12T20:55:00Z,115.81,116.06,115.81,116.06,0.56,64.9348
1786568400000,2026-08-12T21:00:00Z,116.06,116.06,116.06,116.06,0,0
1786568700000,2026-08-12T21:05:00Z,116.06,116.06,116.06,116.06,0,0
1786569000000,2026-08-12T21:10:00Z,116.06,116.06,116.06,116.06,0,0
1786569300000,2026-08-12T21:15:00Z,116.06,116.06,115.92,115.92,0.21,24.3432
1786569600000,2026-08-12T21:20:00Z,115.92,115.96,115.92,115.96,0.13,15.0748
1786569900000,2026-08-12T21:25:00Z,115.96,116.33,115.96,116.26,0.69,80.2578
1786570200000,2026-08-12T21:30:00Z,116.26,116.26,116.26,116.26,0,0
1786570500000,2026-08-12T21:35:00Z,116.26,116.26,116.07,116.07,0.17,19.7319
1786570800000,2026-08-12T21:40:00Z,116.07,116.07,116.07,116.07,0,0
1786571100000,2026-08-12T21:45:00Z,116.07,116.07,116.07,116.07,0,0
1786571400000,2026-08-12T21:50:00Z,116.07,116.07,116.07,116.07,0,0
1786571700000,2026-08-12T21:55:00Z,116.07,116.33,116.05,116.33,0.38,44.1522
1786572000000,2026-08-12T22:00:00Z,116.33,116.33,116.09,116.09,0.14,16.2526
1786572300000,2026-08-12T22:05:00Z,116.09,116.09,116.09,116.09,0,0
1786572600000,2026-08-12T22:10:00Z,116.09,116.09,116.09,116.09,0,0
1786572900000,2026-08-12T22:15:00Z,116.09,116.21,116.09,116.21,0.3,34.863
1786573200000,2026-08-12T22:20:00Z,116.21,116.21,116.21,116.21,0,0
1786573500000,2026-08-12T22:25:00Z,116.21,116.21,116.21,116.21,0,0
1786573800000,2026-08-12T22:30:00Z,116.21,116.21,116.17,116.17,0.52,60.4106
1786574100000,2026-08-12T22:35:00Z,116.17,116.17,116.17,116.17,0,0
1786574400000,2026-08-12T22:40:00Z,116.17,116.17,116.17,116.17,0,0
1786574700000,2026-08-12T22:45:00Z,116.17,116.17,116.17,116.17,0,0
1786575000000,2026-08-12T22:50:00Z,116.17,116.17,116.17,116.17,0,0
1786575300000,2026-08-12T22:55:00Z,116.17,116.17,116.11,116.11,0.29,33.6719
1786575600000,2026-08-12T23:00:00Z,116.11,116.11,116.11,116.11,0,0
1786575900000,2026-08-12T23:05:00Z,116.11,116.14,116.11,116.14,0.18,20.9052
1786576200000,2026-08-12T23:10:00Z,116.14,116.14,116.14,116.14,0,0
1786576500000,2026-08-12T23:15:00Z,116.14,116.14,116.14,116.14,0,0
1786576800000,2026-08-12T23:20:00Z,116.14,116.17,116.14,116.17,0.21,24.3957
1786577100000,2026-08-12T23:25:00Z,116.17,116.17,116.17,116.17,0.16,18.5872
1786577400000,2026-08-12T23:30:00Z,116.17,116.2,116.17,116.2,3.29,382.298
1786577700000,2026-08-12T23:35:00Z,116.2,116.27,116.14,116.18,0.94,109.2254
1786578000000,2026-08-12T23:40:00Z,116.18,116.18,116.05,116.05,0.81,94.0085
1786578300000,2026-08-12T23:45:00Z,116.05,116.05,116.05,116.05,0,0
1786578600000,2026-08-12T23:50:00Z,116.05,116.15,116.05,116.15,0.2,23.23
1786578900000,2026-08-12T23:55:00Z,116.15,116.15,116.15,116.15,0,0
1786579200000,2026-08-13T00:00:00Z,116.15,116.15,115.95,115.95,3.27,379.2758
1786579500000,2026-08-13T00:05:00Z,115.95,115.95,115.72,115.94,0.59,68.365
1786579800000,2026-08-13T00:10:00Z,115.94,116.08,115.94,116.08,0.41,47.5928
1786580100000,2026-08-13T00:15:00Z,116.08,116.08,116.08,116.08,0,0
1786580400000,2026-08-13T00:20:00Z,116.08,116.08,116.08,116.08,0,0
1786580700000,2026-08-13T00:25:00Z,116.08,116.18,116.08,116.18,0.41,47.6338
1786581000000,2026-08-13T00:30:00Z,116.18,116.2,116.18,116.2,0.18,20.916
1786581300000,2026-08-13T00:35:00Z,116.2,116.2,116.02,116.18,0.36,41.796
1786581600000,2026-08-13T00:40:00Z,116.18,116.18,116.12,116.12,0.16,18.5792
1786581900000,2026-08-13T00:45:00Z,116.12,116.12,116.11,116.11,0.32,37.1552
1786582200000,2026-08-13T00:50:00Z,116.11,116.11,116.11,116.11,0,0
1786582500000,2026-08-13T00:55:00Z,116.11,116.11,116.11,116.11,0,0
1786582800000,2026-08-13T01:00:00Z,116.11,116.11,116.11,116.11,0,0
1786583100000,2026-08-13T01:05:00Z,116.11,116.11,116.07,116.07,0.28,32.4996
1786583400000,2026-08-13T01:10:00Z,116.07,116.07,116.07,116.07,0,0
1786583700000,2026-08-13T01:15:00Z,116.07,116.07,116.07,116.07,0,0
1786584000000,2026-08-13T01:20:00Z,116.07,116.07,115.96,115.96,0.41,47.5436
