ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549200000,2026-08-12T15:40:00Z,159.98,160.18,159.98,160.18,0.2,32.036
1786549500000,2026-08-12T15:45:00Z,160.18,160.18,160.18,160.18,0,0
1786549800000,2026-08-12T15:50:00Z,160.18,160.18,159.96,159.96,0.14,22.3944
1786550100000,2026-08-12T15:55:00Z,159.96,160.08,159.96,160.08,0.31,49.6248
1786550400000,2026-08-12T16:00:00Z,160.08,160.21,160.08,160.12,2.41,386.0169
1786550700000,2026-08-12T16:05:00Z,160.12,160.13,160.07,160.07,0.39,62.4381
1786551000000,2026-08-12T16:10:00Z,160.07,160.18,160.07,160.18,0.3,48.054
1786551300000,2026-08-12T16:15:00Z,160.18,160.18,160.18,160.18,0,0
1786551600000,2026-08-12T16:20:00Z,160.18,160.18,160.18,160.18,0,0
1786551900000,2026-08-12T16:25:00Z,160.18,160.18,160.02,160.02,0.25,40.005
1786552200000,2026-08-12T16:30:00Z,160.02,160.02,160.02,160.02,0,0
1786552500000,2026-08-12T16:35:00Z,160.02,160.02,159.93,159.97,0.64,102.3676
1786552800000,2026-08-12T16:40:00Z,159.97,159.97,159.97,159.97,0,0
1786553100000,2026-08-12T16:45:00Z,159.97,159.97,159.97,159.97,0,0
1786553400000,2026-08-12T16:50:00Z,159.97,159.97,159.49,159.49,0.99,158.1103
1786553700000,2026-08-12T16:55:00Z,159.49,159.56,159.49,159.56,0.25,39.89
1786554000000,2026-08-12T17:00:00Z,159.56,159.56,159.56,159.56,0,0
1786554300000,2026-08-12T17:05:00Z,159.56,159.56,159.56,159.56,0,0
1786554600000,2026-08-12T17:10:00Z,159.56,159.56,159.37,159.38,5.57,887.797
1786554900000,2026-08-12T17:15:00Z,159.38,159.38,159.38,159.38,0,0
1786555200000,2026-08-12T17:20:00Z,159.38,159.38,159.29,159.29,0.08,12.7432
1786555500000,2026-08-12T17:25:00Z,159.29,159.38,159.29,159.38,0.29,46.2202
1786555800000,2026-08-12T17:30:00Z,159.38,159.47,159.38,159.47,0.69,110.0286
1786556100000,2026-08-12T17:35:00Z,159.47,159.47,159.26,159.36,0.89,141.8143
1786556400000,2026-08-12T17:40:00Z,159.36,159.36,159.11,159.11,0.97,154.4192
1786556700000,2026-08-12T17:45:00Z,159.11,159.11,158.98,158.98,3.48,553.254
1786557000000,2026-08-12T17:50:00Z,158.98,159.03,158.98,159.03,0.18,28.6254
1786557300000,2026-08-12T17:55:00Z,159.03,159.03,158.95,158.97,8.64,1373.5959
1786557600000,2026-08-12T18:00:00Z,158.97,159.05,158.93,158.93,10.32,1640.5109
1786557900000,2026-08-12T18:05:00Z,158.93,159.1,158.93,159.1,0.12,19.092
1786558200000,2026-08-12T18:10:00Z,159.1,159.1,159.03,159.03,0.16,25.4448
1786558500000,2026-08-12T18:15:00Z,159.03,159.06,159.03,159.06,0.86,136.7892
1786558800000,2026-08-12T18:20:00Z,159.06,159.22,159.02,159.19,12.09,1924.0069
1786559100000,2026-08-12T18:25:00Z,159.19,159.22,159.19,159.22,0.03,4.7766
1786559400000,2026-08-12T18:30:00Z,159.22,159.22,159.12,159.16,1.53,243.4825
1786559700000,2026-08-12T18:35:00Z,159.16,159.26,159.16,159.26,0.38,60.5093
1786560000000,2026-08-12T18:40:00Z,159.26,159.34,159.26,159.34,0.01,1.5934
1786560300000,2026-08-12T18:45:00Z,159.34,159.38,159.34,159.38,0.24,38.2512
1786560600000,2026-08-12T18:50:00Z,159.38,159.38,159.29,159.29,0.2,31.858
1786560900000,2026-08-12T18:55:00Z,159.29,159.36,159.29,159.36,0.14,22.309
1786561200000,2026-08-12T19:00:00Z,159.36,159.43,159.36,159.43,0.36,57.3912
1786561500000,2026-08-12T19:05:00Z,159.43,159.43,159.43,159.43,0,0
1786561800000,2026-08-12T19:10:00Z,159.43,159.43,159.43,159.43,0,0
1786562100000,2026-08-12T19:15:00Z,159.43,159.43,159.43,159.43,0,0
1786562400000,2026-08-12T19:20:00Z,159.43,159.43,159.43,159.43,0,0
1786562700000,2026-08-12T19:25:00Z,159.43,159.55,159.43,159.55,0.24,38.292
1786563000000,2026-08-12T19:30:00Z,159.55,159.55,159.55,159.55,0,0
1786563300000,2026-08-12T19:35:00Z,159.55,159.55,159.41,159.41,0.2,31.882
1786563600000,2026-08-12T19:40:00Z,159.41,159.41,159.41,159.41,0,0
1786563900000,2026-08-12T19:45:00Z,159.41,159.42,159.41,159.42,0.19,30.2898
1786564200000,2026-08-12T19:50:00Z,159.42,159.42,158.99,159.32,4.9,779.4644
1786564500000,2026-08-12T19:55:00Z,159.32,159.46,159.32,159.46,1.99,317.219
1786564800000,2026-08-12T20:00:00Z,159.46,159.66,159.26,159.49,4.08,650.7848
1786565100000,2026-08-12T20:05:00Z,159.49,159.49,159.49,159.49,0,0
1786565400000,2026-08-12T20:10:00Z,159.49,159.49,159.49,159.49,0,0
1786565700000,2026-08-12T20:15:00Z,159.49,159.54,159.44,159.54,0.8,127.589
1786566000000,2026-08-12T20:20:00Z,159.54,159.75,159.54,159.56,13.65,2179.6683
1786566300000,2026-08-12T20:25:00Z,159.56,159.56,159.56,159.56,0,0
1786566600000,2026-08-12T20:30:00Z,159.56,159.64,159.1,159.36,0.78,124.2397
1786566900000,2026-08-12T20:35:00Z,159.36,159.7,159.36,159.7,0.07,11.179
1786567200000,2026-08-12T20:40:00Z,159.7,159.7,159.63,159.63,0.19,30.3297
1786567500000,2026-08-12T20:45:00Z,159.63,159.63,159,159.51,1.44,229.3417
1786567800000,2026-08-12T20:50:00Z,159.51,159.54,159.51,159.54,0.14,22.3356
1786568100000,2026-08-12T20:55:00Z,159.54,159.54,159.54,159.54,0,0
1786568400000,2026-08-12T21:00:00Z,159.54,159.54,159.54,159.54,0,0
1786568700000,2026-08-12T21:05:00Z,159.54,159.81,159.32,159.4,0.51,81.3501
1786569000000,2026-08-12T21:10:00Z,159.4,159.4,159.3,159.3,0.17,27.081
1786569300000,2026-08-12T21:15:00Z,159.3,159.3,159.3,159.3,0,0
1786569600000,2026-08-12T21:20:00Z,159.3,159.57,159.3,159.57,0.09,14.3613
1786569900000,2026-08-12T21:25:00Z,159.57,159.57,159.48,159.48,0.12,19.1376
