ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1786549500000,2026-08-12T15:45:00Z,43.952,43.955,43.952,43.955,0.7,30.7685
1786549800000,2026-08-12T15:50:00Z,43.955,43.955,43.934,43.934,0.72,31.63248
1786550100000,2026-08-12T15:55:00Z,43.934,43.96,43.934,43.96,0.29,12.7484
1786550400000,2026-08-12T16:00:00Z,43.96,43.96,43.96,43.96,0,0
1786550700000,2026-08-12T16:05:00Z,43.96,43.96,43.812,43.812,2.5,109.55118
1786551000000,2026-08-12T16:10:00Z,43.812,43.812,43.812,43.812,0,0
1786551300000,2026-08-12T16:15:00Z,43.812,43.812,43.812,43.812,0,0
1786551600000,2026-08-12T16:20:00Z,43.812,43.812,43.812,43.812,0,0
1786551900000,2026-08-12T16:25:00Z,43.812,43.812,43.812,43.812,0,0
1786552200000,2026-08-12T16:30:00Z,43.812,43.821,43.768,43.768,2.72,119.1394
1786552500000,2026-08-12T16:35:00Z,43.768,43.768,43.768,43.768,0,0
1786552800000,2026-08-12T16:40:00Z,43.768,43.768,43.768,43.768,0,0
1786553100000,2026-08-12T16:45:00Z,43.768,43.793,43.768,43.768,1.43,62.59749
1786553400000,2026-08-12T16:50:00Z,43.768,43.768,43.768,43.768,0,0
1786553700000,2026-08-12T16:55:00Z,43.768,43.768,43.766,43.766,7.72,337.87352
1786554000000,2026-08-12T17:00:00Z,43.766,43.795,43.766,43.795,2.95,129.19525
1786554300000,2026-08-12T17:05:00Z,43.795,43.795,43.795,43.795,0,0
1786554600000,2026-08-12T17:10:00Z,43.795,43.835,43.795,43.835,0.8,35.068
1786554900000,2026-08-12T17:15:00Z,43.835,43.844,43.835,43.844,0.9,39.4596
1786555200000,2026-08-12T17:20:00Z,43.844,43.844,43.844,43.844,0,0
1786555500000,2026-08-12T17:25:00Z,43.844,43.844,43.824,43.824,0.43,18.84432
1786555800000,2026-08-12T17:30:00Z,43.824,43.824,43.824,43.824,0,0
1786556100000,2026-08-12T17:35:00Z,43.824,43.824,43.824,43.824,0,0
1786556400000,2026-08-12T17:40:00Z,43.824,43.824,43.824,43.824,0,0
1786556700000,2026-08-12T17:45:00Z,43.824,43.84,43.82,43.84,1.38,60.483
1786557000000,2026-08-12T17:50:00Z,43.84,43.84,43.84,43.84,5.51,241.5584
1786557300000,2026-08-12T17:55:00Z,43.84,43.84,43.84,43.84,0,0
1786557600000,2026-08-12T18:00:00Z,43.84,43.84,43.84,43.84,0,0
1786557900000,2026-08-12T18:05:00Z,43.84,43.84,43.84,43.84,0,0
1786558200000,2026-08-12T18:10:00Z,43.84,43.84,43.84,43.84,0,0
1786558500000,2026-08-12T18:15:00Z,43.84,43.84,43.84,43.84,0,0
1786558800000,2026-08-12T18:20:00Z,43.84,43.84,43.791,43.791,0.31,13.57521
1786559100000,2026-08-12T18:25:00Z,43.791,43.91,43.791,43.91,1.26,55.3266
1786559400000,2026-08-12T18:30:00Z,43.91,43.91,43.91,43.91,0,0
1786559700000,2026-08-12T18:35:00Z,43.91,43.941,43.91,43.941,1.2,52.7262
1786560000000,2026-08-12T18:40:00Z,43.941,43.941,43.941,43.941,0,0
1786560300000,2026-08-12T18:45:00Z,43.941,43.945,43.941,43.945,0.86,37.7927
1786560600000,2026-08-12T18:50:00Z,43.945,43.954,43.823,43.823,1.16,50.91066
1786560900000,2026-08-12T18:55:00Z,43.823,43.823,43.823,43.823,0,0
1786561200000,2026-08-12T19:00:00Z,43.823,43.823,43.823,43.823,0,0
1786561500000,2026-08-12T19:05:00Z,43.823,43.823,43.818,43.818,0.74,32.42532
1786561800000,2026-08-12T19:10:00Z,43.818,43.818,43.818,43.818,0,0
1786562100000,2026-08-12T19:15:00Z,43.818,43.818,43.818,43.818,0,0
1786562400000,2026-08-12T19:20:00Z,43.818,43.818,43.818,43.818,0,0
1786562700000,2026-08-12T19:25:00Z,43.818,43.865,43.818,43.865,0.73,32.02145
1786563000000,2026-08-12T19:30:00Z,43.865,43.865,43.865,43.865,0,0
1786563300000,2026-08-12T19:35:00Z,43.865,43.865,43.865,43.865,0,0
1786563600000,2026-08-12T19:40:00Z,43.865,43.865,43.865,43.865,0,0
1786563900000,2026-08-12T19:45:00Z,43.865,43.865,43.815,43.815,0.71,31.10865
1786564200000,2026-08-12T19:50:00Z,43.815,43.84,43.794,43.794,1.99,87.19
1786564500000,2026-08-12T19:55:00Z,43.794,43.794,43.794,43.794,0,0
1786564800000,2026-08-12T20:00:00Z,43.794,43.823,43.794,43.823,0.8,35.0584
1786565100000,2026-08-12T20:05:00Z,43.823,43.936,43.823,43.936,0.6,26.3616
1786565400000,2026-08-12T20:10:00Z,43.936,43.936,43.936,43.936,0,0
1786565700000,2026-08-12T20:15:00Z,43.936,43.936,43.936,43.936,0,0
1786566000000,2026-08-12T20:20:00Z,43.936,43.958,43.936,43.958,1.86,81.75168
1786566300000,2026-08-12T20:25:00Z,43.958,43.958,43.958,43.958,0,0
1786566600000,2026-08-12T20:30:00Z,43.958,43.983,43.833,43.983,0.83,36.43489
1786566900000,2026-08-12T20:35:00Z,43.983,43.983,43.95,43.95,0.84,36.918
1786567200000,2026-08-12T20:40:00Z,43.95,43.99,43.829,43.99,1.74,76.40005
1786567500000,2026-08-12T20:45:00Z,43.99,43.99,43.967,43.967,0.5,21.9835
1786567800000,2026-08-12T20:50:00Z,43.967,43.967,43.943,43.943,0.69,30.32067
1786568100000,2026-08-12T20:55:00Z,43.943,43.943,43.938,43.938,0.38,16.69644
1786568400000,2026-08-12T21:00:00Z,43.938,43.948,43.938,43.948,0.27,11.86596
1786568700000,2026-08-12T21:05:00Z,43.948,43.948,43.948,43.948,0,0
1786569000000,2026-08-12T21:10:00Z,43.948,43.948,43.948,43.948,0,0
1786569300000,2026-08-12T21:15:00Z,43.948,43.948,43.877,43.877,0.32,14.04064
1786569600000,2026-08-12T21:20:00Z,43.877,43.877,43.877,43.877,0,0
1786569900000,2026-08-12T21:25:00Z,43.877,43.877,43.877,43.877,0,0
1786570200000,2026-08-12T21:30:00Z,43.877,43.95,43.877,43.95,0.56,24.612
1786570500000,2026-08-12T21:35:00Z,43.95,43.95,43.869,43.869,0.45,19.74105
1786570800000,2026-08-12T21:40:00Z,43.869,43.963,43.869,43.963,0.54,23.74002
1786571100000,2026-08-12T21:45:00Z,43.963,43.963,43.876,43.876,0.56,24.57056
1786571400000,2026-08-12T21:50:00Z,43.876,43.877,43.876,43.877,0.6,26.3262
1786571700000,2026-08-12T21:55:00Z,43.877,43.956,43.877,43.956,0.43,18.90108
1786572000000,2026-08-12T22:00:00Z,43.956,43.981,43.956,43.981,0.88,38.70328
1786572300000,2026-08-12T22:05:00Z,43.981,43.981,43.981,43.981,0,0
1786572600000,2026-08-12T22:10:00Z,43.981,43.981,43.895,43.895,0.63,27.65385
1786572900000,2026-08-12T22:15:00Z,43.895,43.895,43.867,43.867,0.61,26.75887
1786573200000,2026-08-12T22:20:00Z,43.867,43.867,43.867,43.867,0,0
1786573500000,2026-08-12T22:25:00Z,43.867,43.867,43.867,43.867,0,0
1786573800000,2026-08-12T22:30:00Z,43.867,43.935,43.867,43.935,0.84,36.9054
1786574100000,2026-08-12T22:35:00Z,43.935,43.935,43.872,43.872,0.59,25.88448
1786574400000,2026-08-12T22:40:00Z,43.872,43.872,43.872,43.872,0,0
1786574700000,2026-08-12T22:45:00Z,43.872,43.917,43.872,43.917,0.4,17.5668
1786575000000,2026-08-12T22:50:00Z,43.917,43.922,43.917,43.922,0.65,28.5493
1786575300000,2026-08-12T22:55:00Z,43.922,43.922,43.922,43.922,0,0
1786575600000,2026-08-12T23:00:00Z,43.922,43.922,43.922,43.922,0,0
1786575900000,2026-08-12T23:05:00Z,43.922,43.922,43.861,43.861,0.31,13.59691
1786576200000,2026-08-12T23:10:00Z,43.861,43.861,43.861,43.861,0,0
1786576500000,2026-08-12T23:15:00Z,43.861,43.96,43.861,43.96,0.86,37.8056
1786576800000,2026-08-12T23:20:00Z,43.96,43.96,43.96,43.96,0,0
1786577100000,2026-08-12T23:25:00Z,43.96,43.96,43.916,43.916,0.41,18.00556
1786577400000,2026-08-12T23:30:00Z,43.916,43.916,43.872,43.872,0.34,14.91648
1786577700000,2026-08-12T23:35:00Z,43.872,43.872,43.872,43.872,0,0
1786578000000,2026-08-12T23:40:00Z,43.872,43.872,43.872,43.872,0,0
1786578300000,2026-08-12T23:45:00Z,43.872,43.872,43.872,43.872,0,0
1786578600000,2026-08-12T23:50:00Z,43.872,43.908,43.872,43.908,0.83,36.44364
1786578900000,2026-08-12T23:55:00Z,43.908,43.981,43.908,43.981,0.43,18.91183
1786579200000,2026-08-13T00:00:00Z,43.981,43.981,43.914,43.914,0.55,24.1527
1786579500000,2026-08-13T00:05:00Z,43.914,43.914,43.914,43.914,0,0
1786579800000,2026-08-13T00:10:00Z,43.914,43.914,43.862,43.862,0.66,28.94892
1786580100000,2026-08-13T00:15:00Z,43.862,43.91,43.862,43.91,0.9,39.519
1786580400000,2026-08-13T00:20:00Z,43.91,43.964,43.91,43.964,0.82,36.05048
1786580700000,2026-08-13T00:25:00Z,43.964,43.964,43.895,43.895,0.58,25.4591
1786581000000,2026-08-13T00:30:00Z,43.895,43.895,43.879,43.879,0.84,36.85836
1786581300000,2026-08-13T00:35:00Z,43.879,43.917,43.879,43.917,0.75,32.93775
1786581600000,2026-08-13T00:40:00Z,43.917,43.917,43.917,43.917,0,0
1786581900000,2026-08-13T00:45:00Z,43.917,43.917,43.917,43.917,0,0
1786582200000,2026-08-13T00:50:00Z,43.917,43.936,43.917,43.936,0.88,38.66368
1786582500000,2026-08-13T00:55:00Z,43.936,43.958,43.936,43.958,0.5,21.979
1786582800000,2026-08-13T01:00:00Z,43.958,43.958,43.958,43.958,0,0
1786583100000,2026-08-13T01:05:00Z,43.958,43.958,43.923,43.923,0.68,29.86764
1786583400000,2026-08-13T01:10:00Z,43.923,43.923,43.923,43.923,0,0
1786583700000,2026-08-13T01:15:00Z,43.923,43.923,43.923,43.923,0,0
1786584000000,2026-08-13T01:20:00Z,43.923,43.923,43.923,43.923,0,0
1786584300000,2026-08-13T01:25:00Z,43.923,43.948,43.923,43.948,0.86,37.79528
1786584600000,2026-08-13T01:30:00Z,43.948,43.948,43.945,43.945,0.29,12.74405
1786584900000,2026-08-13T01:35:00Z,43.945,43.95,43.945,43.95,0.54,23.733
