ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1787977200000,2026-08-29T04:20:00Z,324,324,323.92,323.92,0.2484,80.471664
1787980800000,2026-08-29T05:20:00Z,323.92,323.92,323.9,323.9,0.3775,122.278744
1787982000000,2026-08-29T05:40:00Z,323.86,323.86,323.86,323.86,0.1309,42.393274
1787985300000,2026-08-29T06:35:00Z,323.94,323.94,323.94,323.94,0.8988,291.157272
1787990400000,2026-08-29T08:00:00Z,323.9,323.9,323.9,323.9,0.1938,62.77182
1787990700000,2026-08-29T08:05:00Z,323.9,324,323.84,324,3.914,1267.799148
1787991000000,2026-08-29T08:10:00Z,323.75,323.75,323.65,323.65,0.7475,241.975615
1787995800000,2026-08-29T09:30:00Z,324,324,323.64,323.74,0.5644,182.768601
1788001200000,2026-08-29T11:00:00Z,324,324,323.64,323.64,0.5134,166.247298
1788006000000,2026-08-29T12:20:00Z,323.64,323.64,323.64,323.64,0.1,32.364
1788010200000,2026-08-29T13:30:00Z,324,324,324,324,0.0617,19.9908
1788011700000,2026-08-29T13:55:00Z,324,324,324,324,0.2704,87.6096
1788012000000,2026-08-29T14:00:00Z,323.64,323.64,323.6,323.6,1.0772,348.593508
1788013800000,2026-08-29T14:30:00Z,323.84,323.84,323.84,323.84,0.0741,23.996544
1788015000000,2026-08-29T14:50:00Z,323.59,323.59,322.98,322.98,1.3125,424.218821
1788015600000,2026-08-29T15:00:00Z,323,323,322.92,322.92,0.6206,200.428976
1788015900000,2026-08-29T15:05:00Z,322.92,322.92,322.92,322.92,0.7503,242.286876
1788016200000,2026-08-29T15:10:00Z,322.92,322.92,322.75,322.75,0.836,269.909288
1788016500000,2026-08-29T15:15:00Z,322.75,323.07,322.75,322.81,0.9318,300.79416
1788016800000,2026-08-29T15:20:00Z,322.81,322.81,322.74,322.74,0.7661,247.281231
1788017100000,2026-08-29T15:25:00Z,322.74,322.74,322.73,322.73,0.8365,269.967555
1788017400000,2026-08-29T15:30:00Z,322.73,322.73,322.73,322.73,0.0837,27.012501
1788018900000,2026-08-29T15:55:00Z,323.02,323.07,322.7,323.07,1.1649,376.161767
1788019500000,2026-08-29T16:05:00Z,323.08,323.08,322.7,322.7,0.4002,129.261086
1788021000000,2026-08-29T16:30:00Z,323.09,323.09,323.09,323.09,0.0619,19.999271
1788024000000,2026-08-29T17:20:00Z,322.7,322.7,322.56,322.56,0.417,134.558634
1788024900000,2026-08-29T17:35:00Z,323.09,323.11,322.82,322.82,0.4014,129.634925
1788026400000,2026-08-29T18:00:00Z,323.11,323.11,323.11,323.11,0.3373,108.985003
1788028200000,2026-08-29T18:30:00Z,323.13,323.13,323.13,323.13,0.0436,14.088468
1788044100000,2026-08-29T22:55:00Z,323.13,323.13,323.13,323.13,0.5879,189.968127
1788053100000,2026-08-30T01:25:00Z,322.96,322.96,322.96,322.96,0.1,32.296
1788064800000,2026-08-30T04:40:00Z,322.96,322.96,322.96,322.96,0.1,32.296
1788067200000,2026-08-30T05:20:00Z,322.96,322.96,322.82,322.82,0.3166,102.235248
1788069300000,2026-08-30T05:55:00Z,323.07,323.07,322.81,322.81,0.6188,199.8663
1788069900000,2026-08-30T06:05:00Z,322.81,322.81,322.81,322.81,0.1628,52.553468
1788072600000,2026-08-30T06:50:00Z,322.81,322.81,322.81,322.81,0.2101,67.822381
1788073200000,2026-08-30T07:00:00Z,322.98,322.98,322.98,322.98,0.1238,39.984924
1788083400000,2026-08-30T09:50:00Z,322.81,322.81,322.79,322.79,0.1258,40.60754
1788084000000,2026-08-30T10:00:00Z,323.01,323.2,323.01,323.2,3.6806,1189.317584
1788087900000,2026-08-30T11:05:00Z,323.24,323.24,323.1,323.1,0.334,107.93878
1788093600000,2026-08-30T12:40:00Z,323.25,323.27,323.25,323.27,0.9294,300.432018
1788096600000,2026-08-30T13:30:00Z,323.28,323.28,323.28,323.28,0.0618,19.978704
1788100200000,2026-08-30T14:30:00Z,323.28,323.28,323.28,323.28,0.0742,23.987376
1788103500000,2026-08-30T15:25:00Z,323.1,323.1,323.1,323.1,0.285,92.0835
1788103800000,2026-08-30T15:30:00Z,323.1,323.29,323.1,323.29,0.1244,40.211253
1788105000000,2026-08-30T15:50:00Z,323.34,323.34,323.34,323.34,0.0692,22.375128
1788105300000,2026-08-30T15:55:00Z,323.4,323.4,323.4,323.4,0.0773,24.99882
1788105600000,2026-08-30T16:00:00Z,323.42,323.42,323.42,323.42,0.1855,59.99441
1788106200000,2026-08-30T16:10:00Z,323.4,323.43,323.1,323.43,0.697,225.336354
1788112200000,2026-08-30T17:50:00Z,323.46,323.46,323.28,323.28,0.1408,45.530568
1788112500000,2026-08-30T17:55:00Z,323.28,323.28,323.28,323.28,0.1568,50.690304
1788113100000,2026-08-30T18:05:00Z,323.5,323.5,323.28,323.28,0.074,23.93086
1788116400000,2026-08-30T19:00:00Z,323.5,323.5,323.5,323.5,0.0663,21.44805
1788117000000,2026-08-30T19:10:00Z,323.51,323.51,323.25,323.25,1.2879,416.484418
1788117300000,2026-08-30T19:15:00Z,323.51,323.51,323.25,323.25,0.304,98.30752
1788117600000,2026-08-30T19:20:00Z,323.51,323.51,323.22,323.22,1.4928,482.638728
1788119400000,2026-08-30T19:50:00Z,323.37,323.39,323.22,323.22,0.2441,78.91775
1788119700000,2026-08-30T19:55:00Z,323.39,323.51,323.11,323.51,3.0862,997.702915
1788120000000,2026-08-30T20:00:00Z,323.11,323.56,323.11,323.21,1.6814,543.691442
1788122100000,2026-08-30T20:35:00Z,323.56,323.56,323.56,323.56,0.0309,9.998004
1788129600000,2026-08-30T22:40:00Z,323.56,323.56,322.38,322.38,5.5294,1785.921082
1788130800000,2026-08-30T23:00:00Z,322.66,322.66,322.65,322.65,0.3198,103.186602
1788132000000,2026-08-30T23:20:00Z,322.65,322.65,319.82,319.82,42.4664,13632.668243
1788132300000,2026-08-30T23:25:00Z,319.8,319.8,319.8,319.8,0.11,35.178
1788133500000,2026-08-30T23:45:00Z,319.75,319.75,319.7,319.7,1.5944,509.77672
1788134400000,2026-08-31T00:00:00Z,319,319.47,318.5,318.75,2154,686681.41
1788134700000,2026-08-31T00:05:00Z,318.84,319.07,318.58,319,5208,1660893.5
1788135000000,2026-08-31T00:10:00Z,319.07,319.34,318.99,319.17,659,210311.99
1788135300000,2026-08-31T00:15:00Z,319.13,319.34,319.13,319.16,399,127367.13
1788135600000,2026-08-31T00:20:00Z,319.17,319.28,319.17,319.23,122,38945.15
1788135900000,2026-08-31T00:25:00Z,319.19,319.28,319.12,319.28,465,148431.51
1788136200000,2026-08-31T00:30:00Z,319.29,319.36,319.23,319.3,116,37037.38
1788136500000,2026-08-31T00:35:00Z,319.29,319.45,319.26,319.45,727,232202.07
1788136800000,2026-08-31T00:40:00Z,319.45,319.5,319.41,319.45,201,64211.79
1788137100000,2026-08-31T00:45:00Z,319.44,319.46,319.41,319.41,121,38650.92
1788137400000,2026-08-31T00:50:00Z,319.45,319.45,319.26,319.26,281,89747.14
1788137700000,2026-08-31T00:55:00Z,319.31,319.31,319.12,319.12,453,144594.57
1788138000000,2026-08-31T01:00:00Z,319.15,319.23,319.12,319.19,387,123509.6
1788138300000,2026-08-31T01:05:00Z,319.19,319.34,319.19,319.3,738,235635.12
1788138600000,2026-08-31T01:10:00Z,319.31,319.56,319.24,319.35,880,281013.92
1788138900000,2026-08-31T01:15:00Z,319.34,319.37,319.21,319.24,581,185490.04
1788139200000,2026-08-31T01:20:00Z,319.23,319.29,319.16,319.22,109,34794.15
1788139500000,2026-08-31T01:25:00Z,319.25,319.28,319.21,319.27,189,60341.05
1788139800000,2026-08-31T01:30:00Z,319.24,319.26,319.13,319.14,505,161185.78
1788140100000,2026-08-31T01:35:00Z,319.13,319.26,319.12,319.24,153,48840.56
1788140400000,2026-08-31T01:40:00Z,319.17,319.23,319.17,319.19,61,19471.62
1788140700000,2026-08-31T01:45:00Z,319.2,319.29,319.2,319.29,637,203358.49
1788141000000,2026-08-31T01:50:00Z,319.26,319.28,319.23,319.26,73,23305.64
1788141300000,2026-08-31T01:55:00Z,319.2,319.24,319.12,319.14,572,182564.18
1788141600000,2026-08-31T02:00:00Z,319.11,319.17,319.11,319.13,117,37338.31
1788141900000,2026-08-31T02:05:00Z,319.2,319.22,319.15,319.17,144,45965.79
1788142200000,2026-08-31T02:10:00Z,319.22,319.28,319.15,319.16,509,162488.38
