ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1788015600000,2026-08-29T15:00:00Z,218.59,218.61,218.52,218.52,3.6024,787.335405
1788015900000,2026-08-29T15:05:00Z,218.56,218.95,218.53,218.95,17.363,3798.627626
1788016200000,2026-08-29T15:10:00Z,218.95,219.26,218.92,218.96,28.0083,6135.723714
1788016500000,2026-08-29T15:15:00Z,219.12,219.67,219.11,219.67,29.1511,6393.479339
1788016800000,2026-08-29T15:20:00Z,219.7,220.01,219.6,219.97,21.1485,4650.796433
1788017100000,2026-08-29T15:25:00Z,219.97,219.97,219.87,219.87,16.1787,3558.783629
1788017400000,2026-08-29T15:30:00Z,219.97,219.97,219.5,219.58,10.396,2284.549721
1788017700000,2026-08-29T15:35:00Z,219.58,219.58,219.4,219.58,3.0502,669.539233
1788018000000,2026-08-29T15:40:00Z,219.46,219.55,218.99,218.99,8.684,1904.198169
1788018300000,2026-08-29T15:45:00Z,219.07,219.22,218.99,219.06,15.0302,3292.998815
1788018600000,2026-08-29T15:50:00Z,219.23,219.26,219.04,219.04,8.7949,1927.43636
1788018900000,2026-08-29T15:55:00Z,219.1,219.15,218.99,219.01,10.4034,2278.936359
1788019200000,2026-08-29T16:00:00Z,219.15,219.3,218.97,219.01,56.6147,12406.039996
1788019500000,2026-08-29T16:05:00Z,219.14,219.29,218.98,219.1,51.6197,11308.782267
1788019800000,2026-08-29T16:10:00Z,219.18,219.38,219.01,219.1,63.2514,13860.910811
1788020100000,2026-08-29T16:15:00Z,219.28,219.42,219.08,219.17,24.397,5348.952892
1788020400000,2026-08-29T16:20:00Z,219.13,219.34,219.1,219.3,24.7928,5434.136557
1788020700000,2026-08-29T16:25:00Z,219.11,219.4,219.11,219.35,14.9126,3269.950296
1788021000000,2026-08-29T16:30:00Z,219.31,219.37,219.29,219.31,4.6443,1018.587795
1788021300000,2026-08-29T16:35:00Z,219.31,219.4,219.06,219.3,37.1599,8147.055632
1788021600000,2026-08-29T16:40:00Z,219.26,219.32,219.12,219.19,3.1482,690.085721
1788021900000,2026-08-29T16:45:00Z,219.17,219.35,219.14,219.15,15.8142,3466.377518
1788022200000,2026-08-29T16:50:00Z,219.2,219.41,219.15,219.23,10.6994,2346.155636
1788022500000,2026-08-29T16:55:00Z,219.2,219.41,219.16,219.16,14.2716,3129.422654
1788022800000,2026-08-29T17:00:00Z,219.39,219.4,219.16,219.35,4.3704,958.376688
1788023100000,2026-08-29T17:05:00Z,219.39,219.39,219.02,219.16,20.9919,4600.208832
1788023400000,2026-08-29T17:10:00Z,219.21,219.28,218.96,218.99,18.3896,4030.245761
1788023700000,2026-08-29T17:15:00Z,219.1,219.1,219.02,219.02,0.94,205.916192
1788024000000,2026-08-29T17:20:00Z,219.15,219.28,218.96,218.96,2.5298,554.258663
1788024300000,2026-08-29T17:25:00Z,219.1,219.25,218.94,219.09,11.2902,2474.366901
1788024600000,2026-08-29T17:30:00Z,219.08,219.24,218.93,218.99,5.4429,1192.598627
1788024900000,2026-08-29T17:35:00Z,219,219,218.9,218.98,9.3019,2036.631124
1788025200000,2026-08-29T17:40:00Z,219,219.08,218.85,218.98,10.4557,2289.701777
1788025500000,2026-08-29T17:45:00Z,218.96,219.13,218.84,219.06,12.2585,2685.16486
1788025800000,2026-08-29T17:50:00Z,219.03,219.15,218.84,219.03,17.1941,3766.104457
1788026100000,2026-08-29T17:55:00Z,219.08,219.17,218.92,219.09,4.5631,999.60116
1788026400000,2026-08-29T18:00:00Z,219.12,219.15,219.07,219.1,3.5853,785.567383
1788026700000,2026-08-29T18:05:00Z,219.08,219.25,218.86,219.12,19.5254,4279.207534
1788027000000,2026-08-29T18:10:00Z,219.23,219.23,219.09,219.18,5.7654,1263.617656
1788027300000,2026-08-29T18:15:00Z,219.18,219.22,219.01,219.14,11.2111,2457.04254
1788027600000,2026-08-29T18:20:00Z,219.15,219.22,219.08,219.1,3.9147,857.921218
1788027900000,2026-08-29T18:25:00Z,219.19,219.28,219.01,219.2,10.8622,2380.747389
1788028200000,2026-08-29T18:30:00Z,219.24,219.25,218.91,218.92,5.9099,1294.977204
1788028500000,2026-08-29T18:35:00Z,219.17,219.19,218.91,218.91,6.8987,1510.646768
1788028800000,2026-08-29T18:40:00Z,219.02,219.04,218.9,218.93,11.9873,2624.974018
1788029100000,2026-08-29T18:45:00Z,219.05,219.05,218.92,219.05,2.2223,486.660584
1788029400000,2026-08-29T18:50:00Z,219.06,219.08,218.91,218.93,3.8544,844.091862
1788029700000,2026-08-29T18:55:00Z,219.08,219.14,218.89,219,6.0159,1317.786814
