ts_ms,ts_utc,open,high,low,close,base_vol,quote_vol
1787922900000,2026-08-28T13:15:00Z,772.079,772.112,771.975,771.975,1814.506852,1400883.664312618
1787923200000,2026-08-28T13:20:00Z,771.974,771.974,771.834,771.896,3784.270556,2921117.3401977783
1787923500000,2026-08-28T13:25:00Z,771.83,771.878,771.44,771.78,94182.112386,72674666.36511056
1787923800000,2026-08-28T13:30:00Z,771.74,772.09,771.47,771.985,586764.886657,452869070.8466132
1787924100000,2026-08-28T13:35:00Z,771.985,772.42,771.745,772.26,353780.200227,273153126.54694634
1787924400000,2026-08-28T13:40:00Z,772.26,772.79,772.18,772.62,289303.057351,223505474.36298679
1787924700000,2026-08-28T13:45:00Z,772.57,772.87,772.08,772.145,367015.981832,283511881.71841425
1787925000000,2026-08-28T13:50:00Z,772.11,772.204,771.67,771.71,365523.057113,282149623.68539593
1787925300000,2026-08-28T13:55:00Z,771.71,772.355,771.63,771.68,322793.031277,249197414.48005972
1787925600000,2026-08-28T14:00:00Z,771.74,773.1,771.27,771.74,934554.2611380001,721485235.14114746
1787925900000,2026-08-28T14:05:00Z,771.75,771.75,770.61,771.085,735241.639776,566893214.46816132
1787926200000,2026-08-28T14:10:00Z,770.99,771.099,769.77,770.22,684474.0926120001,527325754.13662026
1787926500000,2026-08-28T14:15:00Z,770.141,771.71,770.13,771.515,726185.195384,559765068.9908541568
1787926800000,2026-08-28T14:20:00Z,771.498,772.23,771.02,771.476,485005.497062,374332090.202060208
1787927100000,2026-08-28T14:25:00Z,771.58,771.68,770.6,771.217,527268.136017,406542543.2141695394
1787927400000,2026-08-28T14:30:00Z,771.3,772.135,770.96,772.13,370317.739204,285684878.7050308
1787927700000,2026-08-28T14:35:00Z,772.14,772.65,772.02,772.39,325066.451932,251060815.77915989
1787928000000,2026-08-28T14:40:00Z,772.34,773.55,772.34,773.39,375018.01788099995,289871902.00400116
1787928300000,2026-08-28T14:45:00Z,773.44,773.85,773.2,773.85,549291.7780009999,424881804.33470863
1787928600000,2026-08-28T14:50:00Z,773.86,774.685,773.78,774.58,577931.605082,447416154.84312178
1787928900000,2026-08-28T14:55:00Z,774.54,774.99,774.49,774.93,645737.554657,500300797.31933345
1787929200000,2026-08-28T15:00:00Z,774.94,775.29,774.78,774.93,546215.018262,423321718.95271984
1787929500000,2026-08-28T15:05:00Z,774.9,775.045,774.155,774.21,505920.141645,391918677.11943809
1787929800000,2026-08-28T15:10:00Z,774.21,774.41,773.84,774.197,328706.309223,254456853.4437625297
1787930100000,2026-08-28T15:15:00Z,774.197,774.68,774.197,774.292,215180.530437,166642024.9143072353
1787930400000,2026-08-28T15:20:00Z,774.295,774.89,774.295,774.824,247403.076631,191641953.8140210194
1787930700000,2026-08-28T15:25:00Z,774.824,775.185,774.78,774.922,387889.950697,300589421.9200634144
1787931000000,2026-08-28T15:30:00Z,774.932,774.99,774.46,774.521,220612.133222,170928544.668012678
1787931300000,2026-08-28T15:35:00Z,774.47,774.56,773.61,773.669,325962.086708,252350781.7310982627
1787931600000,2026-08-28T15:40:00Z,773.669,773.669,772.69,772.792,645567.212667,499096833.2041434578
1787931900000,2026-08-28T15:45:00Z,772.84,773.01,772.17,772.241,462436.252913,357287360.5638719986
1787932200000,2026-08-28T15:50:00Z,772.248,772.49,771.485,772.044,487178.193545,376050072.6041252576
1787932500000,2026-08-28T15:55:00Z,772.06,772.1,770.85,771.09,432320.32999699994,333414517.22061629
1787932800000,2026-08-28T16:00:00Z,771.095,771.23,770.5,770.82,584770.309033,450810951.20862765
1787933100000,2026-08-28T16:05:00Z,770.815,771.62,770.79,771.59,457207.19352800003,352616338.77437668
1787933400000,2026-08-28T16:10:00Z,771.5,771.575,770.975,770.98,335342.297046,258634691.58205037
1787933700000,2026-08-28T16:15:00Z,770.97,771.141,769.8,770.23,368823.05907899997,284123286.14917852
1787934000000,2026-08-28T16:20:00Z,770.24,770.345,769.16,769.5,455999.6547559999,351007330.24722257
1787934300000,2026-08-28T16:25:00Z,769.518,769.875,769.32,769.61,201415.843417,155007108.0158285396
1787934600000,2026-08-28T16:30:00Z,769.61,770.51,769.61,769.64,231427.074102,178198407.4568436674
1787934900000,2026-08-28T16:35:00Z,769.683,770.62,769.64,770.315,252580.453673,194557908.1548537601
1787935200000,2026-08-28T16:40:00Z,770.315,770.33,769.578,769.617,177569.62502,136711556.7589639232
1787935500000,2026-08-28T16:45:00Z,769.68,770.561,769.623,770.42,663815.929612,511328529.0734019932
1787935800000,2026-08-28T16:50:00Z,770.352,770.619,769.87,769.909,221493.772064,170627282.3149253916
1787936100000,2026-08-28T16:55:00Z,769.94,770.09,769.69,769.743,316715.075959,243836262.7386332532
1787936400000,2026-08-28T17:00:00Z,769.734,769.734,768.66,769.051,321382.053401,247153276.0163098726
1787936700000,2026-08-28T17:05:00Z,768.99,769.04,768.48,768.49,300395.795084,230923139.39660529
